This file was created using the 201606 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RMW,CMA,RF
19900702    ,0.69   ,-0.06   ,-0.31    ,0.21    ,0.05    ,0.03
19900703    ,0.18    ,0.08   ,-0.17    ,0.08    ,0.04    ,0.03
19900704    ,0.63   ,-0.19   ,-0.15   ,-0.04    ,0.03    ,0.03
19900705   ,-0.74    ,0.30    ,0.17   ,-0.14    ,0.08    ,0.03
19900706    ,0.20   ,-0.15    ,0.03    ,0.21   ,-0.02    ,0.03
19900709    ,0.24    ,0.19    ,0.04    ,0.03   ,-0.24    ,0.03
19900710    ,0.15    ,0.15   ,-0.24    ,0.07   ,-0.07    ,0.03
19900711    ,0.32   ,-0.49   ,-0.29    ,0.13    ,0.16    ,0.03
19900712    ,0.56   ,-0.14   ,-0.17   ,-0.05   ,-0.08    ,0.03
19900713    ,0.78   ,-0.55   ,-0.17    ,0.15    ,0.16    ,0.03
19900716    ,0.53   ,-0.35    ,0.02    ,0.00   ,-0.24    ,0.03
19900717    ,0.00    ,0.14    ,0.12   ,-0.11    ,0.09    ,0.03
19900718   ,-0.19    ,0.03    ,0.00   ,-0.36    ,0.23    ,0.03
19900719   ,-0.27    ,0.08   ,-0.25    ,0.08    ,0.19    ,0.03
19900720   ,-0.84    ,0.73    ,0.23   ,-0.03    ,0.21    ,0.03
19900723   ,-1.00    ,0.18    ,0.40   ,-0.16    ,0.34    ,0.03
19900724   ,-0.50    ,0.23   ,-0.10   ,-0.12    ,0.39    ,0.03
19900725    ,0.08    ,0.15    ,0.17   ,-0.03   ,-0.18    ,0.03
19900726   ,-0.69    ,0.61    ,0.15   ,-0.06   ,-0.17    ,0.03
19900727   ,-0.71    ,0.61    ,0.48    ,0.01    ,0.25    ,0.03
19900730    ,0.03   ,-0.27    ,0.05    ,0.27    ,0.13    ,0.03
19900731    ,1.39   ,-0.69   ,-0.18   ,-0.02    ,0.37    ,0.03
19900801   ,-0.50    ,0.14   ,-0.17    ,0.02    ,0.15    ,0.03
19900802   ,-1.79    ,0.52    ,0.06   ,-0.23    ,0.73    ,0.03
19900803   ,-1.70    ,0.29    ,0.05   ,-0.21    ,0.15    ,0.03
19900806   ,-3.23    ,0.63    ,0.07   ,-0.47    ,0.64    ,0.03
19900807   ,-0.79   ,-0.26   ,-0.04    ,0.41   ,-0.08    ,0.03
19900808    ,0.68   ,-0.70   ,-0.14    ,0.14   ,-0.55    ,0.03
19900809   ,-0.12    ,0.46   ,-0.40    ,0.24   ,-0.25    ,0.03
19900810   ,-0.69    ,0.27    ,0.32   ,-0.17    ,0.25    ,0.03
19900813   ,-1.15    ,0.34   ,-0.21    ,0.26    ,0.10    ,0.03
19900814    ,0.86   ,-0.62   ,-0.09   ,-0.09   ,-0.18    ,0.03
19900815    ,2.13   ,-1.36    ,0.12   ,-0.12   ,-0.14    ,0.03
19900816   ,-1.43    ,0.93    ,0.28   ,-0.31    ,0.31    ,0.03
19900817   ,-1.33    ,0.26    ,0.10   ,-0.11    ,0.59    ,0.03
19900820   ,-0.68   ,-0.60    ,0.03    ,0.01    ,0.14    ,0.03
19900821   ,-1.48   ,-0.07    ,0.13   ,-0.47    ,0.26    ,0.03
19900822   ,-1.61    ,0.40    ,0.65    ,0.14    ,0.02    ,0.03
19900823   ,-3.65    ,1.08    ,0.90    ,0.04   ,-0.32    ,0.03
19900824    ,0.66   ,-1.56   ,-0.04    ,0.36   ,-0.75    ,0.03
19900827    ,3.34   ,-1.44   ,-0.43    ,0.81   ,-0.35    ,0.03
19900828    ,1.31   ,-0.07   ,-0.36   ,-0.13   ,-0.10    ,0.03
19900829   ,-0.42    ,0.42   ,-0.08    ,0.11    ,0.40    ,0.03
19900830    ,0.14   ,-0.50    ,0.40   ,-0.31   ,-0.11    ,0.03
19900831    ,0.43   ,-0.37   ,-0.81    ,0.07    ,0.29    ,0.03
19900903   ,-0.77    ,0.30   ,-0.05    ,0.01    ,0.01    ,0.03
19900904   ,-0.97    ,0.37   ,-0.12    ,0.08    ,0.08    ,0.03
19900905   ,-0.05    ,0.40    ,0.02    ,0.10    ,0.16    ,0.03
19900906   ,-0.66    ,0.15    ,0.12   ,-0.05    ,0.34    ,0.03
19900907    ,0.16   ,-0.78    ,0.01    ,0.26   ,-0.04    ,0.03
19900910    ,1.17   ,-1.12   ,-0.12   ,-0.01    ,0.02    ,0.03
19900911   ,-0.85    ,0.52    ,0.07   ,-0.09    ,0.14    ,0.03
19900912    ,1.34   ,-0.86   ,-0.15   ,-0.31    ,0.30    ,0.03
19900913   ,-0.16    ,0.34   ,-0.10   ,-0.13    ,0.24    ,0.03
19900914   ,-0.51    ,0.26   ,-0.21   ,-0.10    ,0.14    ,0.03
19900917   ,-0.75    ,0.32    ,0.05   ,-0.13    ,0.06    ,0.03
19900918   ,-1.22    ,0.28    ,0.22   ,-0.03    ,0.27    ,0.03
19900919   ,-1.07   ,-0.02    ,0.20   ,-0.27    ,0.11    ,0.03
19900920   ,-1.63    ,0.11    ,0.24   ,-0.18    ,0.49    ,0.03
19900921   ,-0.46   ,-0.96    ,0.20    ,0.12    ,0.36    ,0.03
19900924   ,-0.58   ,-0.04    ,0.13   ,-0.18    ,0.03    ,0.03
19900925   ,-1.49    ,0.61   ,-0.24    ,0.23   ,-0.18    ,0.03
19900926   ,-1.84    ,0.89    ,0.19    ,0.21    ,0.03    ,0.03
19900927   ,-1.42    ,0.25    ,0.42    ,0.16    ,0.16    ,0.03
19900928   ,-0.79    ,0.35   ,-0.41    ,0.44   ,-0.40    ,0.03
19901001    ,0.94   ,-0.64    ,0.10    ,1.05   ,-0.40    ,0.03
19901002    ,3.36   ,-3.09    ,0.58    ,0.34   ,-0.89    ,0.03
19901003    ,0.17    ,0.34   ,-0.11   ,-0.60    ,0.28    ,0.03
19901004    ,0.28    ,0.13    ,0.01   ,-0.07    ,0.23    ,0.03
19901005    ,1.14   ,-0.86   ,-0.27   ,-0.23   ,-0.34    ,0.03
19901008    ,2.53   ,-0.92   ,-0.36    ,0.46    ,0.01    ,0.03
19901009   ,-1.03    ,0.61   ,-0.16   ,-0.32    ,0.64    ,0.03
19901010   ,-0.81   ,-0.04    ,0.00   ,-0.04    ,0.02    ,0.03
19901011   ,-1.72    ,0.54    ,0.32   ,-0.08    ,0.34    ,0.03
19901012    ,0.65   ,-0.59    ,0.04    ,0.48   ,-0.24    ,0.03
19901015    ,1.13   ,-1.51   ,-0.67    ,0.53   ,-0.05    ,0.03
19901016    ,0.49   ,-0.05    ,0.09    ,0.05   ,-0.18    ,0.03
19901017    ,0.87   ,-0.85   ,-0.53   ,-0.09    ,0.24    ,0.03
19901018    ,1.64   ,-0.75   ,-1.18    ,0.17   ,-0.25    ,0.03
19901019    ,1.21   ,-0.54   ,-0.54    ,0.31    ,0.22    ,0.03
19901022    ,1.00   ,-0.82   ,-0.67    ,0.28    ,0.15    ,0.03
19901023   ,-0.12    ,0.41    ,0.19   ,-0.13   ,-0.13    ,0.03
19901024   ,-0.39    ,0.72    ,0.17   ,-0.10    ,0.55    ,0.03
19901025    ,0.74   ,-0.25   ,-0.53    ,0.06    ,0.34    ,0.03
19901026   ,-1.53    ,0.70   ,-0.02   ,-0.11    ,0.10    ,0.03
19901029   ,-0.25   ,-0.17    ,0.03    ,0.04    ,0.13    ,0.03
