country,pct,value,code
Canada,0.99890,F0CAN05MYF,CA
Canada,0.97910,F0CAN05NJO,CA
Canada,0.38410,0P000071HA,CA
Canada,0.81030,0P000070GR,CA
Canada,0.15710,F0CAN05MF4,CA
Canada,0.89030,0P000070LK,CA
Canada,0.99540,F0CAN05MS0,CA
Canada,0.97970,F0CAN05M16,CA
Canada,0.00140,F0CAN05M17,CA
Canada,0.07090,F0CAN05LYE,CA
Canada,1.00000,F0CAN05MZ0,CA
Canada,0.69360,F0CAN05NSU,CA
Canada,0.97640,F0CAN05NCN,CA
Canada,0.09250,F0CAN05MVZ,CA
Canada,0.97910,F0CAN05P92,CA
Canada,0.88320,F0CAN05NGC,CA
Canada,0.50210,F0CAN05LUC,CA
Canada,0.98690,0P000070TE,CA
Canada,0.03040,0P000073I7,CA
Canada,0.97960,0P0000704N,CA
Canada,0.80540,0P0000704T,CA
Canada,0.70480,0P000070TG,CA
Canada,0.62670,F0CAN05OEZ,CA
United States,0.00060,F0CAN05MYF,US
United States,0.01900,F0CAN05NJO,US
United States,0.01250,F0CAN05MYB,US
United States,0.99090,0P000071W8,US
United States,0.39560,0P000071HA,US
United States,0.08360,0P000070GR,US
United States,0.68960,F0CAN05MF4,US
United States,0.09020,0P000070LK,US
United States,0.00100,F0CAN05MS0,US
United States,0.01860,F0CAN05M16,US
United States,0.98960,F0CAN05M17,US
United States,0.59780,F0CAN05LYE,US
United States,0.22040,F0CAN05NSU,US
United States,0.28930,F0CAN05MVZ,US
United States,0.01900,F0CAN05P92,US
United States,0.99090,F0CAN05LYG,US
United States,0.01300,F0CAN05OYJ,US
United States,0.05230,F0CAN05NGC,US
United States,0.22870,F0CAN05LUC,US
United States,0.99100,0P0000704P,US
United States,0.33740,0P000073I7,US
United States,0.01850,0P0000704N,US
United States,0.01780,0P0000707T,US
United States,0.00070,0P000071B6,US
United States,0.00120,0P000071GP,US
United States,0.08300,0P0000704T,US
United States,0.29520,0P000070TG,US
United States,0.18980,F0CAN05OEZ,US
Bermuda,0.00050,F0CAN05MYF,BM
Bermuda,0.00090,F0CAN05MS0,BM
Bermuda,0.00100,0P000070TE,BM
Colombia,0.00070,F0CAN05NJO,CO
Colombia,0.00060,F0CAN05M16,CO
Colombia,0.00070,F0CAN05P92,CO
Colombia,0.00070,0P0000704N,CO
Colombia,0.00420,0P000071B6,CO
