m,3m,6m,ytd,y,yy,category
0.28000,1.15000,0.54000,1.15000,2.87000,3.09000,Miscellaneous - Income and Real Property
1.12000,1.83000,2.89000,1.83000,9.00000,3.00000,Canadian Equity Balanced
1.02000,2.38000,5.95000,2.38000,15.49000,4.42000,Canadian Focused Equity
0.64000,2.25000,7.90000,2.25000,15.78000,2.12000,Canadian Focused Equity
0.39000,2.59000,7.99000,2.59000,14.30000,8.14000,Canadian Dividend & Income Equity
0.62000,2.49000,2.43000,2.49000,7.44000,2.82000,Global Fixed Income Balanced
1.18000,3.83000,6.25000,3.83000,12.71000,4.45000,Global Equity Balanced
2.28000,10.40000,3.85000,10.40000,13.18000,-1.81000,Emerging Markets Equity
5.36000,5.64000,9.94000,5.64000,11.31000,-4.11000,European Equity
1.06000,3.04000,3.90000,3.04000,10.91000,4.53000,Global Equity Balanced
1.29000,4.79000,8.23000,4.79000,16.83000,6.48000,Global Equity
-0.65000,-8.29000,-4.65000,-8.29000,10.81000,-7.21000,Natural Resources Equity
0.49000,1.60000,4.91000,1.60000,12.87000,1.68000,Canadian Equity Balanced
0.48000,2.59000,1.92000,2.59000,7.57000,2.46000,High Yield Fixed Income
1.78000,10.65000,17.82000,10.65000,22.40000,6.23000,U.S. Small/Mid Cap Equity
0.51000,1.24000,3.38000,1.24000,7.79000,2.61000,Global Neutral Balanced
0.63000,2.00000,1.24000,2.00000,4.99000,1.70000,Canadian Fixed Income Balanced
0.87000,3.45000,6.04000,3.45000,13.21000,4.56000,Global Equity Balanced
0.97000,2.75000,3.17000,2.75000,7.89000,2.55000,Canadian Neutral Balanced
0.73000,2.38000,3.37000,2.38000,7.33000,2.71000,Global Neutral Balanced
0.75000,2.35000,3.30000,2.35000,7.19000,2.57000,Global Neutral Balanced
0.79000,2.60000,5.35000,2.60000,12.60000,3.61000,Global Equity Balanced
0.55000,1.94000,3.01000,1.94000,7.42000,2.28000,Canadian Neutral Balanced
0.76000,2.26000,3.83000,2.26000,8.64000,2.91000,Global Neutral Balanced
0.49000,1.51000,3.60000,1.51000,8.35000,2.99000,Canadian Neutral Balanced
0.43000,1.28000,1.71000,1.28000,5.71000,2.24000,Canadian Fixed Income Balanced
0.85000,2.35000,1.33000,2.35000,6.92000,2.18000,Canadian Fixed Income Balanced
1.46000,3.39000,4.09000,3.39000,12.28000,3.50000,Canadian Equity Balanced
0.83000,7.81000,16.04000,7.81000,28.12000,12.73000,U.S. Equity
1.31000,3.47000,9.27000,3.47000,19.24000,9.35000,Canadian Dividend & Income Equity
3.74000,9.02000,13.28000,9.02000,23.69000,8.49000,Global Equity
5.42000,9.26000,10.25000,9.26000,18.02000,4.17000,International Equity
0.05000,0.14000,0.29000,0.14000,0.62000,0.61000,Canadian Money Market
1.68000,6.32000,7.50000,6.32000,13.50000,6.73000,Global Equity Balanced
4.25000,7.09000,8.23000,7.09000,14.96000,10.44000,Global Equity
4.39000,7.48000,8.91000,7.48000,16.55000,11.83000,Global Equity
4.34000,11.86000,12.87000,11.86000,18.31000,9.41000,International Equity
-2.15000,7.64000,-7.86000,7.64000,2.63000,-1.78000,Commodity
0.40000,1.18000,-2.30000,1.18000,1.39000,0.93000,Canadian Fixed Income
2.18000,9.09000,-0.75000,9.09000,4.49000,-0.19000,Asia Pacific ex-Japan Equity
0.95000,2.75000,4.39000,2.75000,10.78000,3.06000,Global Neutral Balanced
0.39000,0.95000,-2.74000,0.95000,0.64000,-0.47000,Canadian Fixed Income
0.94000,0.99000,3.67000,0.99000,12.11000,3.69000,Canadian Equity
0.84000,2.82000,2.46000,2.82000,7.80000,4.10000,Global Equity Balanced
1.27000,3.31000,7.34000,3.31000,12.66000,5.07000,Canadian Dividend & Income Equity
-0.03000,2.70000,-0.74000,2.70000,5.80000,4.86000,High Yield Fixed Income
0.30000,4.31000,4.93000,4.31000,11.27000,4.03000,Real Estate Equity
-0.04000,9.86000,3.92000,9.86000,12.25000,1.81000,Sector Equity
1.52000,6.79000,10.99000,6.79000,21.49000,8.78000,U.S. Equity
1.62000,1.16000,4.25000,1.16000,16.33000,4.89000,Canadian Small/Mid Cap Equity
0.98000,2.26000,5.72000,2.26000,15.02000,4.00000,Canadian Focused Equity
1.39000,2.73000,4.88000,2.73000,16.04000,7.83000,Canadian Small/Mid Cap Equity
0.43000,2.40000,1.47000,2.40000,5.88000,0.56000,Global Fixed Income Balanced
0.88000,3.01000,4.23000,3.01000,10.31000,3.17000,Global Neutral Balanced
1.39000,4.45000,7.48000,4.45000,14.01000,5.20000,Global Equity
0.50000,2.44000,1.73000,2.44000,6.59000,3.12000,Global Fixed Income Balanced
2.42000,9.54000,5.46000,9.54000,16.31000,0.78000,Emerging Markets Equity
0.26000,1.40000,-1.93000,1.40000,1.38000,-0.54000,Canadian Fixed Income
1.30000,4.07000,6.47000,4.07000,11.47000,6.18000,Global Equity
1.23000,4.74000,8.16000,4.74000,16.83000,6.32000,Global Equity
-0.30000,2.53000,3.43000,2.53000,12.04000,2.28000,High Yield Fixed Income
-0.97000,5.61000,-15.71000,5.61000,24.16000,18.47000,Precious Metals Equity
0.56000,2.15000,4.62000,2.15000,10.20000,1.97000,Canadian Equity Balanced
1.36000,4.12000,6.67000,4.12000,14.45000,4.84000,Global Equity
0.63000,2.00000,1.25000,2.00000,5.02000,1.72000,Canadian Fixed Income Balanced
1.26000,2.79000,5.05000,2.79000,12.37000,3.39000,Global Equity Balanced
0.88000,3.46000,6.03000,3.46000,13.16000,4.49000,Global Equity Balanced
0.97000,2.76000,3.17000,2.76000,7.86000,2.50000,Canadian Neutral Balanced
0.73000,2.39000,3.36000,2.39000,7.29000,2.67000,Global Neutral Balanced
0.93000,3.65000,7.94000,3.65000,17.05000,5.53000,Global Equity
0.83000,3.12000,6.00000,3.12000,13.29000,4.31000,Global Equity Balanced
0.76000,2.26000,3.85000,2.26000,8.70000,2.97000,Global Neutral Balanced
0.44000,1.51000,3.88000,1.51000,8.99000,3.35000,Canadian Neutral Balanced
0.43000,1.28000,1.72000,1.28000,5.74000,2.27000,Canadian Fixed Income Balanced
1.24000,3.15000,3.04000,3.15000,10.26000,3.02000,Canadian Equity Balanced
0.89000,1.68000,2.55000,1.68000,9.27000,3.02000,Canadian Neutral Balanced
1.37000,3.43000,5.30000,3.43000,13.07000,5.30000,Canadian Neutral Balanced
1.77000,4.50000,6.96000,4.50000,14.43000,5.62000,Canadian Equity Balanced
1.47000,2.72000,8.66000,2.72000,17.18000,6.84000,Canadian Equity
0.33000,1.20000,-2.30000,1.20000,1.45000,0.23000,Canadian Fixed Income
0.90000,1.74000,-5.98000,1.74000,1.68000,-0.75000,Canadian Long Term Fixed Income
1.83000,6.27000,9.99000,6.27000,28.00000,9.86000,Canadian Small/Mid Cap Equity
