country,code,mkt,rc,mkt_pct
Australia,AU,28.73469,0.00034,0.01537
Austria,AT,0.64451,0.00001,0.00034
Belgium,BE,3.70591,0.00005,0.00198
Bermuda,BM,0.19017,0.00000,0.00010
Brazil,BR,16.20697,0.00028,0.00867
Canada,CA,924.45712,0.05558,0.49440
Cayman Islands,KY,,,
Chile,CL,2.66562,0.00005,0.00143
Colombia,CO,1.03132,0.00002,0.00055
Czech Republic,CZ,0.40517,0.00001,0.00022
Denmark,DK,5.17619,0.00006,0.00277
Egypt,EG,0.23457,0.00000,0.00013
Finland,FI,3.06141,0.00004,0.00164
France,FR,42.88644,0.00048,0.02294
Germany,DE,48.52081,0.00052,0.02595
Greece,GR,0.42650,0.00001,0.00023
Hong Kong,HK,12.54172,0.00015,0.00671
Hungary,HU,0.74637,0.00001,0.00040
India,IN,27.50149,0.00042,0.01471
Indonesia,ID,7.87494,0.00012,0.00421
Ireland,IE,0.54380,0.00001,0.00029
Israel,IL,,,
Italy,IT,17.85858,0.00017,0.00955
Japan,JP,109.87039,0.00121,0.05876
Luxembourg,LU,0.20141,0.00000,0.00011
Malaysia,MY,8.43394,0.00013,0.00451
Mexico,MX,8.18879,0.00014,0.00438
Netherlands,NL,11.68166,0.00015,0.00625
New Zealand,NZ,0.61580,0.00001,0.00033
Norway,NO,1.99394,0.00002,0.00107
Papua New Guinea,PG,0.22579,0.00000,0.00012
Peru,PE,0.68240,0.00001,0.00036
Philippines,PH,3.97613,0.00006,0.00213
Poland,PL,2.28177,0.00004,0.00122
Portugal,PT,0.46324,0.00001,0.00025
Qatar,QA,1.68467,0.00003,0.00090
Russia,RU,7.93289,0.00013,0.00424
Singapore,SG,4.95341,0.00006,0.00265
South Africa,ZA,13.21674,0.00022,0.00707
Spain,ES,16.13189,0.00018,0.00863
Sweden,SE,9.18422,0.00012,0.00491
Switzerland,CH,28.85043,0.00036,0.01543
Thailand,TH,6.38561,0.00010,0.00342
Turkey,TR,2.13250,0.00004,0.00114
United Arab Emirates,AE,1.57805,0.00003,0.00084
United Kingdom,GB,121.85067,0.00755,0.06517
United States,US,361.91971,0.00719,0.19356
