Date,Fund,benchmark
2015-08-18,-0.00567,-0.00393
2015-08-19,-0.00490,-0.00871
2015-08-20,-0.01366,-0.02574
2015-08-21,-0.02643,-0.04147
2015-08-24,-0.04939,-0.06504
2015-08-25,-0.04737,-0.06082
2015-08-26,-0.04118,-0.04466
2015-08-27,-0.03006,-0.03076
2015-08-28,-0.02697,-0.02904
2015-08-31,-0.03403,-0.03481
2015-09-01,-0.04729,-0.05293
2015-09-02,-0.03985,-0.04271
2015-09-03,-0.04358,-0.04318
2015-09-04,-0.04975,-0.05068
2015-09-07,-0.04975,-0.05068
2015-09-08,-0.04215,-0.03959
2015-09-09,-0.04410,-0.04202
2015-09-10,-0.04377,-0.04048
2015-09-11,-0.04166,-0.04010
2015-09-14,-0.04412,-0.04349
2015-09-15,-0.04216,-0.03859
2015-09-16,-0.03311,-0.03060
2015-09-17,-0.02869,-0.02926
2015-09-18,-0.03313,-0.03739
2015-09-21,-0.03352,-0.03336
2015-09-22,-0.04536,-0.04584
2015-09-23,-0.04592,-0.04659
2015-09-24,-0.04385,-0.05075
2015-09-25,-0.04371,-0.04879
2015-09-28,-0.05480,-0.06248
2015-09-29,-0.05321,-0.06151
2015-09-30,-0.05211,-0.04934
2015-10-01,-0.05661,-0.05239
2015-10-02,-0.04981,-0.04698
2015-10-05,-0.04386,-0.03683
2015-10-06,-0.04454,-0.03802
2015-10-07,-0.03611,-0.02892
2015-10-08,-0.03643,-0.02577
2015-10-09,-0.03611,-0.02874
2015-10-12,-0.03611,-0.02874
2015-10-13,-0.03681,-0.03161
2015-10-14,-0.03657,-0.03631
2015-10-15,-0.03427,-0.03115
2015-10-16,-0.03244,-0.02718
2015-10-19,-0.02982,-0.02408
2015-10-20,-0.03110,-0.02492
2015-10-21,-0.02664,-0.02304
2015-10-22,-0.02193,-0.01411
2015-10-23,-0.01592,-0.00558
2015-10-26,-0.01925,-0.00938
2015-10-27,-0.01688,-0.00943
2015-10-28,-0.01980,-0.00516
2015-10-29,-0.02656,-0.01005
2015-10-30,-0.03458,-0.01866
2015-11-02,-0.02951,-0.01118
2015-11-03,-0.03119,-0.01056
2015-11-04,-0.03005,-0.00827
2015-11-05,-0.03236,-0.00938
2015-11-06,-0.03499,-0.00666
2015-11-09,-0.04108,-0.01473
2015-11-10,-0.04326,-0.01615
2015-11-11,-0.04230,-0.01708
2015-11-12,-0.04575,-0.02596
2015-11-13,-0.04816,-0.03106
2015-11-16,-0.04323,-0.02085
2015-11-17,-0.04414,-0.02025
2015-11-18,-0.03766,-0.01242
2015-11-19,-0.03396,-0.01143
2015-11-20,-0.03231,-0.00924
2015-11-23,-0.03351,-0.01015
2015-11-24,-0.03410,-0.01262
2015-11-25,-0.03527,-0.01201
2015-11-26,-0.03316,-0.01051
2015-11-27,-0.03357,-0.00968
2015-11-30,-0.03533,-0.01036
2015-12-01,-0.02609,-0.00098
