Date,Fund,benchmark
2011-07-04,0.00557,0.00662
2011-07-05,0.00790,0.00850
2011-07-06,0.01168,0.00886
2011-07-07,0.01322,0.01065
2011-07-08,0.01115,0.00781
2011-07-11,-0.00154,-0.00343
2011-07-12,-0.00388,-0.00806
2011-07-13,0.00339,-0.00445
2011-07-14,-0.00117,-0.00943
2011-07-15,0.00110,-0.00785
2011-07-18,-0.00183,-0.01303
2011-07-19,-0.00337,-0.00733
2011-07-20,-0.00137,-0.00795
2011-07-21,0.00452,-0.00143
2011-07-22,0.01425,0.00344
2011-07-25,0.00643,-0.00203
2011-07-26,0.00433,-0.00583
2011-07-27,-0.00811,-0.01856
2011-07-28,-0.00763,-0.01785
2011-07-29,-0.00662,-0.01939
2011-08-01,-0.00662,-0.01939
2011-08-02,-0.01744,-0.03640
2011-08-03,-0.01859,-0.03357
2011-08-04,-0.05210,-0.06188
2011-08-05,-0.06042,-0.06936
2011-08-08,-0.09560,-0.10615
2011-08-09,-0.06738,-0.07952
2011-08-10,-0.07582,-0.08978
2011-08-11,-0.05473,-0.06657
2011-08-12,-0.05090,-0.06164
2011-08-15,-0.04003,-0.05388
2011-08-16,-0.04782,-0.06106
2011-08-17,-0.04440,-0.05944
2011-08-18,-0.06782,-0.08571
2011-08-19,-0.07743,-0.09716
2011-08-22,-0.06944,-0.09515
2011-08-23,-0.05698,-0.07713
2011-08-24,-0.06253,-0.07475
2011-08-25,-0.06984,-0.08355
2011-08-26,-0.06200,-0.07763
2011-08-29,-0.05275,-0.06587
2011-08-30,-0.04633,-0.06117
2011-08-31,-0.03877,-0.05417
2011-09-01,-0.04319,-0.06006
2011-09-02,-0.04740,-0.06816
2011-09-05,-0.04740,-0.06816
2011-09-06,-0.05306,-0.07428
2011-09-07,-0.04005,-0.05948
2011-09-08,-0.04114,-0.06357
2011-09-09,-0.05503,-0.07711
2011-09-12,-0.06414,-0.08333
2011-09-13,-0.06501,-0.08158
2011-09-14,-0.06139,-0.07364
2011-09-15,-0.05470,-0.06708
2011-09-16,-0.05259,-0.06959
2011-09-19,-0.06185,-0.07264
2011-09-20,-0.05436,-0.07110
2011-09-21,-0.06776,-0.08323
2011-09-22,-0.08893,-0.09794
2011-09-23,-0.09646,-0.09695
2011-09-26,-0.08847,-0.08628
2011-09-27,-0.07966,-0.07984
2011-09-28,-0.09127,-0.08857
2011-09-29,-0.08208,-0.08149
2011-09-30,-0.08039,-0.08894
2011-10-03,-0.08990,-0.10792
2011-10-04,-0.08699,-0.10153
2011-10-05,-0.08974,-0.09402
2011-10-06,-0.08025,-0.07904
2011-10-07,-0.08750,-0.08508
2011-10-10,-0.08750,-0.08508
2011-10-11,-0.07633,-0.06939
2011-10-12,-0.07822,-0.06565
2011-10-13,-0.07609,-0.06663
2011-10-14,-0.07662,-0.06028
2011-10-17,-0.07724,-0.06750
2011-10-18,-0.07521,-0.06043
2011-10-19,-0.08194,-0.06796
2011-10-20,-0.08526,-0.06980
2011-10-21,-0.08191,-0.06119
2011-10-24,-0.07434,-0.05064
2011-10-25,-0.06930,-0.05403
2011-10-26,-0.07043,-0.05200
2011-10-27,-0.06370,-0.03474
2011-10-28,-0.06009,-0.03486
2011-10-31,-0.07100,-0.05155
2011-11-01,-0.06675,-0.05863
2011-11-02,-0.06249,-0.04984
2011-11-03,-0.05824,-0.03863
2011-11-04,-0.05362,-0.03836
2011-11-07,-0.05074,-0.03755
2011-11-08,-0.05159,-0.03389
2011-11-09,-0.06135,-0.05327
2011-11-10,-0.06432,-0.05299
2011-11-11,-0.05761,-0.04181
2011-11-14,-0.05918,-0.04580
2011-11-15,-0.05750,-0.04256
2011-11-16,-0.06337,-0.05088
2011-11-17,-0.06855,-0.06166
2011-11-18,-0.07084,-0.06391
2011-11-21,-0.07457,-0.07129
2011-11-22,-0.07298,-0.07280
2011-11-23,-0.07955,-0.08474
2011-11-24,-0.08039,-0.08640
2011-11-25,-0.08434,-0.08895
2011-11-28,-0.07890,-0.07617
2011-11-29,-0.07957,-0.07417
2011-11-30,-0.06552,-0.04960
2011-12-01,-0.06696,-0.05441
2011-12-02,-0.06624,-0.05340
2011-12-05,-0.06231,-0.04845
2011-12-06,-0.06605,-0.05292
2011-12-07,-0.06346,-0.05059
2011-12-08,-0.06792,-0.06017
2011-12-09,-0.06424,-0.05283
2011-12-12,-0.06926,-0.06137
2011-12-13,-0.07254,-0.06536
2011-12-14,-0.07691,-0.07365
2011-12-15,-0.07818,-0.07439
2011-12-16,-0.07164,-0.06886
2011-12-19,-0.07706,-0.07571
2011-12-20,-0.06969,-0.06247
2011-12-21,-0.07092,-0.06360
2011-12-22,-0.07075,-0.05897
2011-12-23,-0.06902,-0.06583
2011-12-26,-0.06902,-0.06583
2011-12-27,-0.06902,-0.06583
2011-12-28,-0.07575,-0.07306
2011-12-29,-0.07161,-0.06739
2011-12-30,-0.07161,-0.06683
2012-01-02,-0.07161,-0.06683
2012-01-03,-0.06431,-0.05735
2012-01-04,-0.06491,-0.05638
2012-01-05,-0.06204,-0.05316
2012-01-06,-0.06106,-0.05216
2012-01-09,-0.06047,-0.05182
2012-01-10,-0.05863,-0.04837
2012-01-11,-0.05556,-0.04741
2012-01-12,-0.05384,-0.04590
2012-01-13,-0.05334,-0.04786
2012-01-16,-0.05504,-0.04899
2012-01-17,-0.05198,-0.04735
2012-01-18,-0.04892,-0.04074
2012-01-19,-0.04663,-0.03722
2012-01-20,-0.04414,-0.03703
2012-01-23,-0.04574,-0.03609
2012-01-24,-0.04765,-0.03801
2012-01-25,-0.04417,-0.03307
2012-01-26,-0.04462,-0.03736
2012-01-27,-0.04177,-0.03647
2012-01-30,-0.04384,-0.03906
2012-01-31,-0.04116,-0.03714
2012-02-01,-0.03677,-0.03136
