Date,Fund,benchmark
2016-06-02,0.00484,0.00435
2016-06-03,0.01970,0.00053
2016-06-06,0.01582,-0.00189
2016-06-07,0.01651,0.00169
2016-06-08,0.01990,-0.00066
2016-06-09,0.01988,-0.00460
2016-06-10,0.00996,-0.01465
2016-06-13,0.00590,-0.01932
2016-06-14,-0.00085,-0.02353
2016-06-15,0.01238,-0.01875
2016-06-16,0.00996,-0.01781
2016-06-17,0.00676,-0.02033
2016-06-20,0.01145,-0.01461
2016-06-21,0.00907,-0.01234
2016-06-22,0.01482,-0.01093
2016-06-23,0.01761,-0.00363
2016-06-24,0.01568,-0.02499
2016-06-27,0.01482,-0.03663
2016-06-28,0.02210,-0.02385
2016-06-29,0.03321,-0.01387
2016-06-30,0.03393,-0.00754
2016-07-01,0.03393,-0.00754
