Date,Fund,benchmark
2010-01-04,0.00346,0.01016
2010-01-05,0.00617,0.01262
2010-01-06,0.00542,0.01218
2010-01-07,0.00528,0.01298
2010-01-08,0.00824,0.01689
2010-01-11,0.01150,0.01803
2010-01-12,0.00812,0.01096
2010-01-13,0.01055,0.01211
2010-01-14,0.00808,0.01047
2010-01-15,0.00364,0.00396
2010-01-18,0.00509,0.00502
2010-01-19,0.01046,0.01169
2010-01-20,0.00907,0.00792
2010-01-21,-0.00406,-0.00545
2010-01-22,-0.00865,-0.01721
2010-01-25,-0.00439,-0.01334
2010-01-26,-0.00558,-0.01490
2010-01-27,-0.00559,-0.01462
2010-01-28,-0.01306,-0.02183
2010-01-29,-0.01814,-0.02926
2010-02-01,-0.00913,-0.01903
2010-02-02,-0.00450,-0.01183
2010-02-03,-0.00668,-0.01432
2010-02-04,-0.02196,-0.03427
2010-02-05,-0.02114,-0.03457
2010-02-08,-0.02631,-0.03994
2010-02-09,-0.01679,-0.03105
2010-02-10,-0.02002,-0.03395
2010-02-11,-0.01955,-0.03077
2010-02-12,-0.02095,-0.03176
2010-02-15,-0.02095,-0.03176
2010-02-16,-0.01733,-0.02294
2010-02-17,-0.01386,-0.01954
2010-02-18,-0.01319,-0.01637
2010-02-19,-0.01294,-0.01648
2010-02-22,-0.01452,-0.01661
2010-02-23,-0.01647,-0.01985
2010-02-24,-0.01233,-0.01703
2010-02-25,-0.00402,-0.01358
2010-02-26,-0.00266,-0.01414
2010-03-01,-0.00391,-0.01022
2010-03-02,-0.00485,-0.00796
2010-03-03,-0.00419,-0.00749
2010-03-04,-0.00378,-0.00785
2010-03-05,0.00123,0.00324
2010-03-08,0.00274,0.00113
2010-03-09,0.00240,-0.00028
2010-03-10,0.00300,0.00273
2010-03-11,0.00836,0.00407
2010-03-12,0.00335,0.00298
2010-03-15,0.00454,0.00115
2010-03-16,0.00841,0.00623
2010-03-17,0.01004,0.00762
2010-03-18,0.00766,0.00515
2010-03-19,0.00320,0.00066
2010-03-22,0.00746,0.00467
2010-03-23,0.01044,0.00932
2010-03-24,0.00843,0.00666
2010-03-25,0.00330,0.00463
2010-03-26,0.01094,0.00793
2010-03-29,0.01155,0.01038
2010-03-30,0.01006,0.00973
2010-03-31,0.01113,0.00700
2010-04-01,0.01897,0.01249
2010-04-02,0.01897,0.01249
2010-04-05,0.01987,0.01376
2010-04-06,0.01956,0.01337
2010-04-07,0.02203,0.01122
2010-04-08,0.02051,0.01104
2010-04-09,0.02850,0.01712
2010-04-12,0.02700,0.01689
2010-04-13,0.02591,0.01548
2010-04-14,0.03112,0.02258
2010-04-15,0.03178,0.02493
2010-04-16,0.02669,0.01636
2010-04-19,0.02493,0.01655
2010-04-20,0.01879,0.01358
2010-04-21,0.02012,0.01341
2010-04-22,0.01892,0.01563
2010-04-23,0.02536,0.02141
2010-04-26,0.02689,0.02208
2010-04-27,0.01995,0.01143
2010-04-28,0.01713,0.00716
2010-04-29,0.02372,0.01535
2010-04-30,0.02842,0.01183
2010-05-03,0.02671,0.01450
2010-05-04,0.01412,0.00285
2010-05-05,0.00857,-0.00433
2010-05-06,0.00691,-0.01249
2010-05-07,-0.00729,-0.02775
2010-05-10,0.00929,-0.00727
2010-05-11,0.01196,-0.01090
2010-05-12,0.01912,0.00025
2010-05-13,0.01346,-0.00647
2010-05-14,0.00980,-0.01399
2010-05-17,0.00401,-0.01813
2010-05-18,-0.00650,-0.02577
2010-05-19,-0.01087,-0.02678
2010-05-20,-0.02461,-0.04026
2010-05-21,-0.01633,-0.03334
2010-05-24,-0.01633,-0.03334
2010-05-25,-0.01538,-0.03707
2010-05-26,-0.01702,-0.03737
2010-05-27,-0.00317,-0.02221
2010-05-28,-0.00971,-0.02878
2010-05-31,-0.00872,-0.02971
2010-06-01,-0.01623,-0.03715
2010-06-02,-0.01167,-0.02837
2010-06-03,-0.01101,-0.02480
2010-06-04,-0.01985,-0.03796
2010-06-07,-0.02522,-0.04661
2010-06-08,-0.02452,-0.04718
2010-06-09,-0.03137,-0.05043
2010-06-10,-0.02071,-0.03735
2010-06-11,-0.01426,-0.03330
2010-06-14,-0.01585,-0.03298
2010-06-15,-0.00219,-0.01962
2010-06-16,-0.00171,-0.02042
2010-06-17,0.00666,-0.01760
2010-06-18,0.00487,-0.02035
2010-06-21,0.00485,-0.01945
2010-06-22,-0.00170,-0.02799
2010-06-23,0.00851,-0.02354
2010-06-24,0.00245,-0.03324
2010-06-25,0.00423,-0.03291
2010-06-28,-0.00059,-0.03634
2010-06-29,-0.01109,-0.05182
2010-06-30,-0.00950,-0.05196
2010-07-01,-0.00950,-0.05196
2010-07-02,-0.01308,-0.05784
2010-07-05,-0.01330,-0.05876
2010-07-06,-0.01329,-0.05551
2010-07-07,-0.00461,-0.04118
2010-07-08,-0.00688,-0.03840
2010-07-09,-0.00914,-0.03661
2010-07-12,-0.00748,-0.03556
2010-07-13,-0.00210,-0.02748
