Date,Fund,benchmark
2008-09-02,-0.00780,-0.01197
2008-09-03,-0.01754,-0.02068
2008-09-04,-0.03157,-0.04048
2008-09-05,-0.03316,-0.04128
2008-09-08,-0.02960,-0.03552
2008-09-09,-0.05017,-0.05939
2008-09-10,-0.04549,-0.04878
2008-09-11,-0.04465,-0.03829
2008-09-12,-0.04210,-0.03960
2008-09-15,-0.06100,-0.06705
2008-09-16,-0.05895,-0.06100
2008-09-17,-0.07212,-0.09050
2008-09-18,-0.06242,-0.07508
2008-09-19,-0.04544,-0.04646
2008-09-22,-0.05952,-0.07441
2008-09-23,-0.06584,-0.08263
2008-09-24,-0.06553,-0.08171
2008-09-25,-0.06491,-0.07423
2008-09-26,-0.07154,-0.08353
2008-09-29,-0.10531,-0.13606
2008-09-30,-0.10184,-0.09997
2008-10-01,-0.10084,-0.10339
2008-10-02,-0.11556,-0.13012
2008-10-03,-0.11559,-0.13575
2008-10-06,-0.11989,-0.15702
2008-10-07,-0.13393,-0.18293
2008-10-08,-0.12561,-0.18135
2008-10-09,-0.13051,-0.20965
2008-10-10,-0.13165,-0.21537
2008-10-13,-0.13165,-0.21537
2008-10-14,-0.13200,-0.16687
2008-10-15,-0.14227,-0.21105
2008-10-16,-0.14123,-0.19339
2008-10-17,-0.14522,-0.19386
2008-10-20,-0.13002,-0.15769
2008-10-21,-0.13135,-0.17390
2008-10-22,-0.13335,-0.19551
2008-10-23,-0.13400,-0.19051
2008-10-24,-0.13343,-0.20672
2008-10-27,-0.14184,-0.23241
2008-10-28,-0.13130,-0.18302
2008-10-29,-0.14204,-0.19511
2008-10-30,-0.13438,-0.17249
2008-10-31,-0.14125,-0.16918
2008-11-03,-0.14768,-0.17779
2008-11-04,-0.14525,-0.16208
2008-11-05,-0.14879,-0.18209
2008-11-06,-0.15360,-0.20233
2008-11-07,-0.14908,-0.18883
2008-11-10,-0.14356,-0.18823
2008-11-11,-0.14788,-0.20047
2008-11-12,-0.14822,-0.21966
2008-11-13,-0.13926,-0.19254
2008-11-14,-0.14903,-0.21130
2008-11-17,-0.14992,-0.22454
2008-11-18,-0.15568,-0.21835
2008-11-19,-0.15977,-0.24220
2008-11-20,-0.14852,-0.26871
2008-11-21,-0.13759,-0.24421
2008-11-24,-0.14651,-0.22772
2008-11-25,-0.14166,-0.22565
2008-11-26,-0.13253,-0.20885
2008-11-27,-0.12925,-0.20729
2008-11-28,-0.11881,-0.19444
2008-12-01,-0.13521,-0.24146
2008-12-02,-0.12867,-0.22442
2008-12-03,-0.12687,-0.21811
2008-12-04,-0.12722,-0.22721
2008-12-05,-0.11441,-0.21637
2008-12-08,-0.11873,-0.19911
2008-12-09,-0.11938,-0.20727
2008-12-10,-0.10926,-0.19659
2008-12-11,-0.12184,-0.21821
2008-12-12,-0.11241,-0.21015
2008-12-15,-0.10787,-0.21954
2008-12-16,-0.09731,-0.20385
2008-12-17,-0.09465,-0.20817
2008-12-18,-0.10309,-0.21843
2008-12-19,-0.09730,-0.21805
2008-12-22,-0.10367,-0.23052
2008-12-23,-0.10501,-0.23202
2008-12-24,-0.10336,-0.22997
2008-12-25,-0.10336,-0.22997
2008-12-26,-0.10336,-0.22997
2008-12-29,-0.08663,-0.22000
2008-12-30,-0.08258,-0.20741
2008-12-31,-0.08258,-0.20163
2009-01-01,-0.08258,-0.20163
2009-01-02,-0.08732,-0.18872
2009-01-05,-0.09537,-0.19652
2009-01-06,-0.09543,-0.19311
2009-01-07,-0.09437,-0.20611
2009-01-08,-0.09423,-0.20591
2009-01-09,-0.09134,-0.21403
2009-01-12,-0.09148,-0.22046
2009-01-13,-0.08820,-0.21569
2009-01-14,-0.08295,-0.22619
2009-01-15,-0.08291,-0.21943
2009-01-16,-0.08627,-0.21696
2009-01-19,-0.08833,-0.22027
2009-01-20,-0.09210,-0.24108
2009-01-21,-0.08812,-0.22490
2009-01-22,-0.09328,-0.23537
2009-01-23,-0.09811,-0.23737
2009-01-26,-0.10379,-0.23593
2009-01-27,-0.09908,-0.22926
2009-01-28,-0.09871,-0.21634
2009-01-29,-0.10503,-0.22972
2009-01-30,-0.10307,-0.23557
