country,code,mkt,rc,mkt_pct
Australia,AU,36.47640,0.00063,0.01761
Austria,AT,0.82231,0.00001,0.00040
Belgium,BE,4.72828,0.00008,0.00228
Bermuda,BM,0.25930,0.00000,0.00013
Brazil,BR,19.64622,0.00046,0.00948
Canada,CA,911.77514,0.02746,0.44008
Cayman Islands,KY,,,
Chile,CL,3.23129,0.00008,0.00156
Colombia,CO,1.26461,0.00003,0.00061
Czech Republic,CZ,0.49116,0.00001,0.00024
Denmark,DK,6.60418,0.00012,0.00319
Egypt,EG,0.28435,0.00001,0.00014
Finland,FI,3.90597,0.00007,0.00189
France,FR,56.52102,0.00082,0.02728
Germany,DE,64.60871,0.00087,0.03118
Greece,GR,0.51701,0.00001,0.00025
Hong Kong,HK,15.72012,0.00029,0.00759
Hungary,HU,0.90476,0.00002,0.00044
India,IN,33.70725,0.00073,0.01627
Indonesia,ID,9.65266,0.00021,0.00466
Ireland,IE,0.69382,0.00001,0.00033
Israel,IL,,,
Italy,IT,24.54540,0.00026,0.01185
Japan,JP,142.60849,0.00218,0.06883
Luxembourg,LU,0.25697,0.00000,0.00012
Malaysia,MY,10.34806,0.00022,0.00499
Mexico,MX,9.92651,0.00023,0.00479
Netherlands,NL,14.85819,0.00026,0.00717
New Zealand,NZ,0.77186,0.00001,0.00037
Norway,NO,2.54402,0.00004,0.00123
Papua New Guinea,PG,0.28301,0.00001,0.00014
Peru,PE,0.82721,0.00002,0.00040
Philippines,PH,4.87742,0.00011,0.00235
Poland,PL,2.76598,0.00007,0.00134
Portugal,PT,0.59104,0.00001,0.00029
Qatar,QA,2.04217,0.00005,0.00099
Russia,RU,9.61631,0.00023,0.00464
Singapore,SG,6.22555,0.00011,0.00300
South Africa,ZA,16.02656,0.00038,0.00774
Spain,ES,21.41103,0.00030,0.01033
Sweden,SE,11.71792,0.00020,0.00566
Switzerland,CH,36.84907,0.00064,0.01779
Thailand,TH,7.82107,0.00017,0.00377
Turkey,TR,2.58503,0.00006,0.00125
United Arab Emirates,AE,1.91292,0.00004,0.00092
United Kingdom,GB,116.96923,0.00397,0.05646
United States,US,451.65342,0.00680,0.21800
