Date,Fund,benchmark
2015-08-18,-0.00583,-0.00393
2015-08-19,-0.00569,-0.00871
2015-08-20,-0.01556,-0.02574
2015-08-21,-0.02917,-0.04147
2015-08-24,-0.05343,-0.06504
2015-08-25,-0.05052,-0.06082
2015-08-26,-0.04298,-0.04466
2015-08-27,-0.03124,-0.03076
2015-08-28,-0.02826,-0.02904
2015-08-31,-0.03545,-0.03481
2015-09-01,-0.04983,-0.05293
2015-09-02,-0.04179,-0.04271
2015-09-03,-0.04538,-0.04318
2015-09-04,-0.05232,-0.05068
2015-09-07,-0.05232,-0.05068
2015-09-08,-0.04401,-0.03959
2015-09-09,-0.04561,-0.04202
2015-09-10,-0.04520,-0.04048
2015-09-11,-0.04319,-0.04010
2015-09-14,-0.04578,-0.04349
2015-09-15,-0.04332,-0.03859
2015-09-16,-0.03398,-0.03060
2015-09-17,-0.02979,-0.02926
2015-09-18,-0.03495,-0.03739
2015-09-21,-0.03502,-0.03336
2015-09-22,-0.04747,-0.04584
2015-09-23,-0.04826,-0.04659
2015-09-24,-0.04680,-0.05075
2015-09-25,-0.04626,-0.04879
2015-09-28,-0.05793,-0.06248
2015-09-29,-0.05637,-0.06151
2015-09-30,-0.05574,-0.04934
2015-10-01,-0.06129,-0.05239
2015-10-02,-0.05065,-0.04698
2015-10-05,-0.04079,-0.03683
2015-10-06,-0.04043,-0.03802
2015-10-07,-0.02990,-0.02892
2015-10-08,-0.02961,-0.02577
2015-10-09,-0.02774,-0.02874
2015-10-12,-0.02774,-0.02874
2015-10-13,-0.03099,-0.03161
2015-10-14,-0.02935,-0.03631
2015-10-15,-0.02538,-0.03115
2015-10-16,-0.02406,-0.02718
2015-10-19,-0.02298,-0.02408
2015-10-20,-0.02241,-0.02492
2015-10-21,-0.01981,-0.02304
2015-10-22,-0.01257,-0.01411
2015-10-23,-0.00358,-0.00558
2015-10-26,-0.00962,-0.00938
2015-10-27,-0.00796,-0.00943
2015-10-28,-0.00991,-0.00516
2015-10-29,-0.01852,-0.01005
2015-10-30,-0.02830,-0.01866
2015-11-02,-0.02176,-0.01118
2015-11-03,-0.02285,-0.01056
2015-11-04,-0.02195,-0.00827
2015-11-05,-0.02599,-0.00938
2015-11-06,-0.02911,-0.00666
2015-11-09,-0.03552,-0.01473
2015-11-10,-0.03909,-0.01615
2015-11-11,-0.03794,-0.01708
2015-11-12,-0.04333,-0.02596
2015-11-13,-0.04656,-0.03106
2015-11-16,-0.03992,-0.02085
2015-11-17,-0.04198,-0.02025
2015-11-18,-0.03313,-0.01242
2015-11-19,-0.02861,-0.01143
2015-11-20,-0.02768,-0.00924
2015-11-23,-0.02947,-0.01015
2015-11-24,-0.02933,-0.01262
2015-11-25,-0.03069,-0.01201
2015-11-26,-0.02794,-0.01051
2015-11-27,-0.02984,-0.00968
2015-11-30,-0.03091,-0.01036
2015-12-01,-0.01989,-0.00098
