Date,Fund,benchmark
2011-07-04,0.00505,0.00662
2011-07-05,0.00653,0.00850
2011-07-06,0.00975,0.00886
2011-07-07,0.01042,0.01065
2011-07-08,0.00927,0.00781
2011-07-11,-0.00090,-0.00343
2011-07-12,-0.00375,-0.00806
2011-07-13,0.00155,-0.00445
2011-07-14,-0.00242,-0.00943
2011-07-15,-0.00087,-0.00785
2011-07-18,-0.00362,-0.01303
2011-07-19,-0.00467,-0.00733
2011-07-20,-0.00335,-0.00795
2011-07-21,0.00207,-0.00143
2011-07-22,0.01080,0.00344
2011-07-25,0.00375,-0.00203
2011-07-26,0.00236,-0.00583
2011-07-27,-0.00783,-0.01856
2011-07-28,-0.00720,-0.01785
2011-07-29,-0.00532,-0.01939
2011-08-01,-0.00532,-0.01939
2011-08-02,-0.01488,-0.03640
2011-08-03,-0.01565,-0.03357
2011-08-04,-0.04359,-0.06188
2011-08-05,-0.05033,-0.06936
2011-08-08,-0.08127,-0.10615
2011-08-09,-0.05559,-0.07952
2011-08-10,-0.06417,-0.08978
2011-08-11,-0.04503,-0.06657
2011-08-12,-0.04117,-0.06164
2011-08-15,-0.03240,-0.05388
2011-08-16,-0.03923,-0.06106
2011-08-17,-0.03577,-0.05944
2011-08-18,-0.05562,-0.08571
2011-08-19,-0.06475,-0.09716
2011-08-22,-0.05877,-0.09515
2011-08-23,-0.04627,-0.07713
2011-08-24,-0.05117,-0.07475
2011-08-25,-0.05852,-0.08355
2011-08-26,-0.05133,-0.07763
2011-08-29,-0.04338,-0.06587
2011-08-30,-0.03803,-0.06117
2011-08-31,-0.03158,-0.05417
2011-09-01,-0.03594,-0.06006
2011-09-02,-0.03969,-0.06816
2011-09-05,-0.03969,-0.06816
2011-09-06,-0.04452,-0.07428
2011-09-07,-0.03272,-0.05948
2011-09-08,-0.03456,-0.06357
2011-09-09,-0.04621,-0.07711
2011-09-12,-0.05380,-0.08333
2011-09-13,-0.05543,-0.08158
2011-09-14,-0.05165,-0.07364
2011-09-15,-0.04578,-0.06708
2011-09-16,-0.04456,-0.06959
2011-09-19,-0.05163,-0.07264
2011-09-20,-0.04569,-0.07110
2011-09-21,-0.05659,-0.08323
2011-09-22,-0.07128,-0.09794
2011-09-23,-0.07686,-0.09695
2011-09-26,-0.06964,-0.08628
2011-09-27,-0.06279,-0.07984
2011-09-28,-0.07150,-0.08857
2011-09-29,-0.06232,-0.08149
