Date,Fund,benchmark
2016-06-02,0.00470,0.00435
2016-06-03,0.01340,0.00053
2016-06-06,0.00946,-0.00189
2016-06-07,0.01121,0.00169
2016-06-08,0.01314,-0.00066
2016-06-09,0.01161,-0.00460
2016-06-10,0.00226,-0.01465
2016-06-13,-0.00216,-0.01932
2016-06-14,-0.00750,-0.02353
2016-06-15,0.00329,-0.01875
2016-06-16,0.00251,-0.01781
2016-06-17,-0.00053,-0.02033
2016-06-20,0.00446,-0.01461
2016-06-21,0.00394,-0.01234
2016-06-22,0.00849,-0.01093
2016-06-23,0.01238,-0.00363
2016-06-24,0.00435,-0.02499
2016-06-27,0.00159,-0.03663
2016-06-28,0.01052,-0.02385
2016-06-29,0.02098,-0.01387
2016-06-30,0.02161,-0.00754
2016-07-01,0.02161,-0.00754
