Date,Fund,benchmark
2010-01-04,0.00584,0.01016
2010-01-05,0.01010,0.01262
2010-01-06,0.01076,0.01218
2010-01-07,0.01007,0.01298
2010-01-08,0.01391,0.01689
2010-01-11,0.01834,0.01803
2010-01-12,0.01371,0.01096
2010-01-13,0.01549,0.01211
2010-01-14,0.01232,0.01047
2010-01-15,0.00706,0.00396
2010-01-18,0.00878,0.00502
2010-01-19,0.01377,0.01169
2010-01-20,0.01002,0.00792
2010-01-21,-0.00541,-0.00545
2010-01-22,-0.01115,-0.01721
2010-01-25,-0.00662,-0.01334
2010-01-26,-0.00978,-0.01490
2010-01-27,-0.01106,-0.01462
2010-01-28,-0.01906,-0.02183
2010-01-29,-0.02575,-0.02926
2010-02-01,-0.01468,-0.01903
2010-02-02,-0.00993,-0.01183
2010-02-03,-0.01161,-0.01432
2010-02-04,-0.03154,-0.03427
2010-02-05,-0.03247,-0.03457
2010-02-08,-0.03817,-0.03994
2010-02-09,-0.02508,-0.03105
2010-02-10,-0.02846,-0.03395
2010-02-11,-0.02629,-0.03077
2010-02-12,-0.02892,-0.03176
2010-02-15,-0.02892,-0.03176
2010-02-16,-0.02462,-0.02294
2010-02-17,-0.01976,-0.01954
2010-02-18,-0.01974,-0.01637
2010-02-19,-0.02199,-0.01648
2010-02-22,-0.02254,-0.01661
2010-02-23,-0.02547,-0.01985
2010-02-24,-0.02111,-0.01703
2010-02-25,-0.01340,-0.01358
2010-02-26,-0.01178,-0.01414
2010-03-01,-0.01230,-0.01022
2010-03-02,-0.01302,-0.00796
2010-03-03,-0.01097,-0.00749
2010-03-04,-0.01152,-0.00785
2010-03-05,-0.00469,0.00324
2010-03-08,-0.00213,0.00113
2010-03-09,-0.00306,-0.00028
2010-03-10,-0.00252,0.00273
2010-03-11,0.00346,0.00407
2010-03-12,-0.00256,0.00298
2010-03-15,-0.00259,0.00115
2010-03-16,0.00188,0.00623
2010-03-17,0.00455,0.00762
2010-03-18,0.00173,0.00515
2010-03-19,-0.00288,0.00066
2010-03-22,0.00096,0.00467
2010-03-23,0.00492,0.00932
2010-03-24,0.00173,0.00666
2010-03-25,-0.00512,0.00463
2010-03-26,0.00460,0.00793
2010-03-29,0.00626,0.01038
2010-03-30,0.00552,0.00973
2010-03-31,0.00672,0.00700
2010-04-01,0.01400,0.01249
2010-04-02,0.01400,0.01249
2010-04-05,0.01461,0.01376
2010-04-06,0.01418,0.01337
2010-04-07,0.01631,0.01122
2010-04-08,0.01483,0.01104
2010-04-09,0.02241,0.01712
2010-04-12,0.02111,0.01689
2010-04-13,0.02017,0.01548
2010-04-14,0.02519,0.02258
2010-04-15,0.02582,0.02493
2010-04-16,0.02116,0.01636
2010-04-19,0.01961,0.01655
2010-04-20,0.01356,0.01358
2010-04-21,0.01481,0.01341
2010-04-22,0.01361,0.01563
2010-04-23,0.01972,0.02141
2010-04-26,0.02127,0.02208
2010-04-27,0.01462,0.01143
2010-04-28,0.01152,0.00716
2010-04-29,0.01807,0.01535
2010-04-30,0.02247,0.01183
2010-05-03,0.02102,0.01450
2010-05-04,0.00924,0.00285
2010-05-05,0.00390,-0.00433
2010-05-06,0.00225,-0.01249
2010-05-07,-0.01161,-0.02775
2010-05-10,0.00420,-0.00727
2010-05-11,0.00609,-0.01090
2010-05-12,0.01290,0.00025
2010-05-13,0.00762,-0.00647
2010-05-14,0.00415,-0.01399
2010-05-17,-0.00127,-0.01813
2010-05-18,-0.01120,-0.02577
2010-05-19,-0.01490,-0.02678
2010-05-20,-0.02775,-0.04026
2010-05-21,-0.01982,-0.03334
2010-05-24,-0.01982,-0.03334
2010-05-25,-0.01923,-0.03707
2010-05-26,-0.02107,-0.03737
2010-05-27,-0.00781,-0.02221
2010-05-28,-0.01395,-0.02878
2010-05-31,-0.01298,-0.02971
2010-06-01,-0.02028,-0.03715
2010-06-02,-0.01582,-0.02837
2010-06-03,-0.01498,-0.02480
2010-06-04,-0.02355,-0.03796
2010-06-07,-0.02902,-0.04661
2010-06-08,-0.02853,-0.04718
2010-06-09,-0.03513,-0.05043
2010-06-10,-0.02476,-0.03735
2010-06-11,-0.01863,-0.03330
2010-06-14,-0.02008,-0.03298
2010-06-15,-0.00692,-0.01962
2010-06-16,-0.00650,-0.02042
2010-06-17,0.00136,-0.01760
2010-06-18,-0.00079,-0.02035
2010-06-21,-0.00034,-0.01945
2010-06-22,-0.00662,-0.02799
2010-06-23,0.00322,-0.02354
2010-06-24,-0.00267,-0.03324
2010-06-25,-0.00109,-0.03291
2010-06-28,-0.00568,-0.03634
2010-06-29,-0.01560,-0.05182
2010-06-30,-0.01461,-0.05196
2010-07-01,-0.01461,-0.05196
2010-07-02,-0.01945,-0.05784
2010-07-05,-0.02052,-0.05876
2010-07-06,-0.01942,-0.05551
2010-07-07,-0.00751,-0.04118
2010-07-08,-0.00926,-0.03840
2010-07-09,-0.01036,-0.03661
2010-07-12,-0.00888,-0.03556
