Date,Fund,benchmark
2008-09-02,-0.01022,-0.01197
2008-09-03,-0.02234,-0.02068
2008-09-04,-0.04114,-0.04048
2008-09-05,-0.04311,-0.04128
2008-09-08,-0.03691,-0.03552
2008-09-09,-0.06301,-0.05939
2008-09-10,-0.05677,-0.04878
2008-09-11,-0.05558,-0.03829
2008-09-12,-0.05124,-0.03960
2008-09-15,-0.07678,-0.06705
2008-09-16,-0.07455,-0.06100
2008-09-17,-0.09303,-0.09050
2008-09-18,-0.07789,-0.07508
2008-09-19,-0.05266,-0.04646
2008-09-22,-0.07067,-0.07441
2008-09-23,-0.07920,-0.08263
2008-09-24,-0.07799,-0.08171
2008-09-25,-0.07524,-0.07423
2008-09-26,-0.08360,-0.08353
2008-09-29,-0.12931,-0.13606
2008-09-30,-0.12823,-0.09997
2008-10-01,-0.12810,-0.10339
2008-10-02,-0.15946,-0.13012
2008-10-03,-0.16227,-0.13575
2008-10-06,-0.18870,-0.15702
2008-10-07,-0.21310,-0.18293
2008-10-08,-0.21069,-0.18135
2008-10-09,-0.22584,-0.20965
2008-10-10,-0.23152,-0.21537
2008-10-13,-0.23152,-0.21537
2008-10-14,-0.19668,-0.16687
2008-10-15,-0.23523,-0.21105
2008-10-16,-0.22954,-0.19339
2008-10-17,-0.23684,-0.19386
2008-10-20,-0.20121,-0.15769
2008-10-21,-0.21537,-0.17390
2008-10-22,-0.24003,-0.19551
2008-10-23,-0.24037,-0.19051
2008-10-24,-0.25443,-0.20672
2008-10-27,-0.27594,-0.23241
2008-10-28,-0.23310,-0.18302
2008-10-29,-0.24308,-0.19511
2008-10-30,-0.21976,-0.17249
2008-10-31,-0.22330,-0.16918
2008-11-03,-0.22943,-0.17779
2008-11-04,-0.21589,-0.16208
2008-11-05,-0.23270,-0.18209
2008-11-06,-0.25564,-0.20233
2008-11-07,-0.24176,-0.18883
2008-11-10,-0.23422,-0.18823
2008-11-11,-0.24908,-0.20047
2008-11-12,-0.26554,-0.21966
2008-11-13,-0.23960,-0.19254
2008-11-14,-0.26169,-0.21130
2008-11-17,-0.26933,-0.22454
2008-11-18,-0.27526,-0.21835
2008-11-19,-0.29449,-0.24220
2008-11-20,-0.30270,-0.26871
2008-11-21,-0.27255,-0.24421
2008-11-24,-0.26793,-0.22772
2008-11-25,-0.26626,-0.22565
2008-11-26,-0.24952,-0.20885
2008-11-27,-0.24411,-0.20729
2008-11-28,-0.22957,-0.19444
2008-12-01,-0.27200,-0.24146
2008-12-02,-0.25896,-0.22442
2008-12-03,-0.25366,-0.21811
2008-12-04,-0.26371,-0.22721
2008-12-05,-0.24373,-0.21637
2008-12-08,-0.23318,-0.19911
2008-12-09,-0.23768,-0.20727
2008-12-10,-0.21834,-0.19659
2008-12-11,-0.23845,-0.21821
2008-12-12,-0.22700,-0.21015
2008-12-15,-0.22641,-0.21954
2008-12-16,-0.20642,-0.20385
2008-12-17,-0.21054,-0.20817
2008-12-18,-0.22562,-0.21843
2008-12-19,-0.22202,-0.21805
2008-12-22,-0.23443,-0.23052
2008-12-23,-0.23772,-0.23202
2008-12-24,-0.23543,-0.22997
2008-12-25,-0.23543,-0.22997
2008-12-26,-0.23543,-0.22997
2008-12-29,-0.21557,-0.22000
2008-12-30,-0.20563,-0.20741
2008-12-31,-0.20563,-0.20163
2009-01-01,-0.20563,-0.20163
2009-01-02,-0.19866,-0.18872
2009-01-05,-0.21498,-0.19652
2009-01-06,-0.21107,-0.19311
2009-01-07,-0.22337,-0.20611
2009-01-08,-0.22175,-0.20591
2009-01-09,-0.22892,-0.21403
2009-01-12,-0.24297,-0.22046
2009-01-13,-0.23395,-0.21569
2009-01-14,-0.24410,-0.22619
2009-01-15,-0.23526,-0.21943
2009-01-16,-0.23291,-0.21696
2009-01-19,-0.23568,-0.22027
2009-01-20,-0.25414,-0.24108
2009-01-21,-0.23433,-0.22490
2009-01-22,-0.24865,-0.23537
2009-01-23,-0.24875,-0.23737
2009-01-26,-0.25437,-0.23593
2009-01-27,-0.24557,-0.22926
2009-01-28,-0.23923,-0.21634
2009-01-29,-0.24737,-0.22972
2009-01-30,-0.24578,-0.23557
