country,code,mkt,rc,mkt_pct
Australia,AU,675.47856,0.00387,0.11922
Austria,AT,-0.00000,-0.00000,-0.00000
Belgium,BE,-0.00000,-0.00000,-0.00000
Bermuda,BM,-0.00000,-0.00000,-0.00000
Brazil,BR,0.00000,0.00000,0.00000
Canada,CA,1567.44160,0.04929,0.27665
Cayman Islands,KY,,,
Chile,CL,0.00000,0.00000,0.00000
Colombia,CO,0.00000,0.00000,0.00000
Czech Republic,CZ,0.00000,0.00000,0.00000
Denmark,DK,-0.00000,-0.00000,-0.00000
Egypt,EG,0.00000,0.00000,0.00000
Finland,FI,-0.00000,-0.00000,-0.00000
France,FR,-0.00000,-0.00000,-0.00000
Germany,DE,-0.00000,-0.00000,-0.00000
Greece,GR,0.00000,0.00000,0.00000
Hong Kong,HK,326.25881,0.00187,0.05758
Hungary,HU,0.00000,0.00000,0.00000
India,IN,233.34714,0.00134,0.04118
Indonesia,ID,67.28087,0.00039,0.01187
Ireland,IE,-0.00000,-0.00000,-0.00000
Israel,IL,,,
Italy,IT,-0.00000,-0.00000,-0.00000
Japan,JP,2104.39604,0.01206,0.37142
Luxembourg,LU,-0.00000,-0.00000,-0.00000
Malaysia,MY,78.49435,0.00045,0.01385
Mexico,MX,0.00000,0.00000,0.00000
Netherlands,NL,-0.00000,-0.00000,-0.00000
New Zealand,NZ,16.01925,0.00009,0.00283
Norway,NO,-0.00000,-0.00000,-0.00000
Papua New Guinea,PG,5.87373,0.00003,0.00104
Peru,PE,0.00000,0.00000,0.00000
Philippines,PH,36.31031,0.00021,0.00641
Poland,PL,0.00000,0.00000,0.00000
Portugal,PT,-0.00000,-0.00000,-0.00000
Qatar,QA,0.00000,0.00000,0.00000
Russia,RU,0.00000,0.00000,0.00000
Singapore,SG,119.07646,0.00068,0.02102
South Africa,ZA,0.00000,0.00000,0.00000
Spain,ES,-0.00000,-0.00000,-0.00000
Sweden,SE,-0.00000,-0.00000,-0.00000
Switzerland,CH,-0.00000,-0.00000,-0.00000
Thailand,TH,50.72764,0.00029,0.00895
Turkey,TR,0.00000,0.00000,0.00000
United Arab Emirates,AE,0.00000,0.00000,0.00000
United Kingdom,GB,217.19206,0.00683,0.03833
United States,US,167.93943,0.00512,0.02964
