Date,Fund,benchmark
2015-08-18,-0.00453,-0.00393
2015-08-19,-0.00638,-0.00871
2015-08-20,-0.02475,-0.02574
2015-08-21,-0.04214,-0.04147
2015-08-24,-0.06350,-0.06504
2015-08-25,-0.06957,-0.06082
2015-08-26,-0.04350,-0.04466
2015-08-27,-0.03338,-0.03076
2015-08-28,-0.03375,-0.02904
2015-08-31,-0.04447,-0.03481
2015-09-01,-0.06193,-0.05293
2015-09-02,-0.04464,-0.04271
2015-09-03,-0.04981,-0.04318
2015-09-04,-0.05553,-0.05068
2015-09-07,-0.05553,-0.05068
2015-09-08,-0.04104,-0.03959
2015-09-09,-0.04878,-0.04202
2015-09-10,-0.04594,-0.04048
2015-09-11,-0.04000,-0.04010
2015-09-14,-0.04291,-0.04349
2015-09-15,-0.03468,-0.03859
2015-09-16,-0.03376,-0.03060
2015-09-17,-0.03432,-0.02926
2015-09-18,-0.04363,-0.03739
2015-09-21,-0.03921,-0.03336
2015-09-22,-0.04733,-0.04584
2015-09-23,-0.04263,-0.04659
2015-09-24,-0.04679,-0.05075
2015-09-25,-0.04786,-0.04879
2015-09-28,-0.06117,-0.06248
2015-09-29,-0.05802,-0.06151
2015-09-30,-0.05802,-0.04934
2015-10-01,-0.06250,-0.05239
2015-10-02,-0.05948,-0.04698
2015-10-05,-0.05551,-0.03683
2015-10-06,-0.06095,-0.03802
2015-10-07,-0.05361,-0.02892
2015-10-08,-0.05174,-0.02577
2015-10-09,-0.05640,-0.02874
2015-10-12,-0.05640,-0.02874
2015-10-13,-0.05318,-0.03161
2015-10-14,-0.06039,-0.03631
2015-10-15,-0.05813,-0.03115
2015-10-16,-0.05150,-0.02718
2015-10-19,-0.04413,-0.02408
2015-10-20,-0.04839,-0.02492
2015-10-21,-0.04000,-0.02304
2015-10-22,-0.03396,-0.01411
2015-10-23,-0.02385,-0.00558
2015-10-26,-0.02500,-0.00938
2015-10-27,-0.01838,-0.00943
2015-10-28,-0.01830,-0.00516
2015-10-29,-0.02082,-0.01005
2015-10-30,-0.03004,-0.01866
2015-11-02,-0.02119,-0.01118
2015-11-03,-0.02401,-0.01056
2015-11-04,-0.01990,-0.00827
2015-11-05,-0.02012,-0.00938
2015-11-06,-0.01420,-0.00666
2015-11-09,-0.02205,-0.01473
2015-11-10,-0.02169,-0.01615
2015-11-11,-0.02327,-0.01708
2015-11-12,-0.02982,-0.02596
2015-11-13,-0.03445,-0.03106
2015-11-16,-0.02528,-0.02085
2015-11-17,-0.02734,-0.02025
2015-11-18,-0.01613,-0.01242
2015-11-19,-0.01712,-0.01143
2015-11-20,-0.01205,-0.00924
2015-11-23,-0.01107,-0.01015
2015-11-24,-0.01454,-0.01262
2015-11-25,-0.01569,-0.01201
2015-11-26,-0.01591,-0.01051
2015-11-27,-0.00986,-0.00968
2015-11-30,-0.01461,-0.01036
2015-12-01,-0.00552,-0.00098
