Date,Fund,benchmark
2011-07-04,0.00557,0.00662
2011-07-05,0.00265,0.00850
2011-07-06,0.00015,0.00886
2011-07-07,0.00350,0.01065
2011-07-08,-0.00175,0.00781
2011-07-11,-0.01776,-0.00343
2011-07-12,-0.02442,-0.00806
2011-07-13,-0.02326,-0.00445
2011-07-14,-0.02791,-0.00943
2011-07-15,-0.02813,-0.00785
2011-07-18,-0.03699,-0.01303
2011-07-19,-0.03281,-0.00733
2011-07-20,-0.02958,-0.00795
2011-07-21,-0.01721,-0.00143
2011-07-22,-0.00945,0.00344
2011-07-25,-0.01639,-0.00203
2011-07-26,-0.01582,-0.00583
2011-07-27,-0.02983,-0.01856
2011-07-28,-0.03069,-0.01785
2011-07-29,-0.02737,-0.01939
2011-08-01,-0.02737,-0.01939
2011-08-02,-0.05514,-0.03640
2011-08-03,-0.05969,-0.03357
2011-08-04,-0.09563,-0.06188
2011-08-05,-0.09848,-0.06936
2011-08-08,-0.15188,-0.10615
2011-08-09,-0.11141,-0.07952
2011-08-10,-0.13318,-0.08978
2011-08-11,-0.10196,-0.06657
2011-08-12,-0.08793,-0.06164
2011-08-15,-0.07824,-0.05388
2011-08-16,-0.08769,-0.06106
2011-08-17,-0.08568,-0.05944
2011-08-18,-0.11477,-0.08571
2011-08-19,-0.12858,-0.09716
2011-08-22,-0.12221,-0.09515
2011-08-23,-0.10375,-0.07713
2011-08-24,-0.10091,-0.07475
2011-08-25,-0.11458,-0.08355
2011-08-26,-0.11022,-0.07763
2011-08-29,-0.09819,-0.06587
2011-08-30,-0.09661,-0.06117
2011-08-31,-0.08708,-0.05417
2011-09-01,-0.09419,-0.06006
2011-09-02,-0.10522,-0.06816
2011-09-05,-0.10522,-0.06816
2011-09-06,-0.12339,-0.07428
2011-09-07,-0.10444,-0.05948
2011-09-08,-0.11168,-0.06357
2011-09-09,-0.13042,-0.07711
2011-09-12,-0.13989,-0.08333
2011-09-13,-0.13845,-0.08158
2011-09-14,-0.12733,-0.07364
2011-09-15,-0.11066,-0.06708
2011-09-16,-0.10973,-0.06959
2011-09-19,-0.12307,-0.07264
2011-09-20,-0.11742,-0.07110
2011-09-21,-0.13121,-0.08323
2011-09-22,-0.14478,-0.09794
2011-09-23,-0.13836,-0.09695
2011-09-26,-0.12572,-0.08628
2011-09-27,-0.10902,-0.07984
2011-09-28,-0.11524,-0.08857
2011-09-29,-0.10443,-0.08149
2011-09-30,-0.10443,-0.08894
2011-10-03,-0.11115,-0.10792
2011-10-04,-0.09174,-0.10153
2011-10-05,-0.10099,-0.09402
2011-10-06,-0.09671,-0.07904
2011-10-07,-0.10490,-0.08508
2011-10-10,-0.10490,-0.08508
2011-10-11,-0.09423,-0.06939
2011-10-12,-0.10407,-0.06565
2011-10-13,-0.09933,-0.06663
2011-10-14,-0.10164,-0.06028
2011-10-17,-0.09943,-0.06750
2011-10-18,-0.09765,-0.06043
2011-10-19,-0.09784,-0.06796
2011-10-20,-0.10026,-0.06980
2011-10-21,-0.09658,-0.06119
2011-10-24,-0.09507,-0.05064
2011-10-25,-0.09216,-0.05403
2011-10-26,-0.09712,-0.05200
2011-10-27,-0.09445,-0.03474
2011-10-28,-0.09160,-0.03486
2011-10-31,-0.10424,-0.05155
2011-11-01,-0.09819,-0.05863
2011-11-02,-0.09501,-0.04984
2011-11-03,-0.09178,-0.03863
2011-11-04,-0.08607,-0.03836
2011-11-07,-0.08616,-0.03755
2011-11-08,-0.08443,-0.03389
2011-11-09,-0.09280,-0.05327
2011-11-10,-0.09229,-0.05299
2011-11-11,-0.08592,-0.04181
2011-11-14,-0.08759,-0.04580
2011-11-15,-0.08433,-0.04256
2011-11-16,-0.09003,-0.05088
2011-11-17,-0.09143,-0.06166
2011-11-18,-0.09242,-0.06391
2011-11-21,-0.09148,-0.07129
2011-11-22,-0.09311,-0.07280
2011-11-23,-0.09746,-0.08474
2011-11-24,-0.09874,-0.08640
2011-11-25,-0.10226,-0.08895
2011-11-28,-0.09968,-0.07617
2011-11-29,-0.10394,-0.07417
2011-11-30,-0.09276,-0.04960
2011-12-01,-0.09712,-0.05441
2011-12-02,-0.09449,-0.05340
2011-12-05,-0.08783,-0.04845
2011-12-06,-0.09445,-0.05292
2011-12-07,-0.09288,-0.05059
2011-12-08,-0.09522,-0.06017
2011-12-09,-0.08819,-0.05283
2011-12-12,-0.08953,-0.06137
2011-12-13,-0.08781,-0.06536
2011-12-14,-0.08745,-0.07365
2011-12-15,-0.08880,-0.07439
2011-12-16,-0.08342,-0.06886
2011-12-19,-0.08868,-0.07571
2011-12-20,-0.08214,-0.06247
2011-12-21,-0.08588,-0.06360
2011-12-22,-0.08764,-0.05897
2011-12-23,-0.08377,-0.06583
2011-12-26,-0.08377,-0.06583
2011-12-27,-0.08377,-0.06583
2011-12-28,-0.08607,-0.07306
2011-12-29,-0.08344,-0.06739
2011-12-30,-0.08344,-0.06683
2012-01-02,-0.08344,-0.06683
2012-01-03,-0.07897,-0.05735
2012-01-04,-0.07801,-0.05638
2012-01-05,-0.07162,-0.05316
2012-01-06,-0.06743,-0.05216
2012-01-09,-0.06757,-0.05182
2012-01-10,-0.06751,-0.04837
2012-01-11,-0.06454,-0.04741
2012-01-12,-0.06383,-0.04590
2012-01-13,-0.06365,-0.04786
2012-01-16,-0.06729,-0.04899
2012-01-17,-0.06574,-0.04735
2012-01-18,-0.06190,-0.04074
2012-01-19,-0.05945,-0.03722
2012-01-20,-0.05859,-0.03703
2012-01-23,-0.06292,-0.03609
2012-01-24,-0.06232,-0.03801
2012-01-25,-0.05913,-0.03307
2012-01-26,-0.06395,-0.03736
2012-01-27,-0.06504,-0.03647
2012-01-30,-0.06491,-0.03906
2012-01-31,-0.06475,-0.03714
2012-02-01,-0.06138,-0.03136
