Date,Fund,benchmark
2016-06-02,0.00394,0.00435
2016-06-03,0.02571,0.00053
2016-06-06,0.02098,-0.00189
2016-06-07,0.01960,0.00169
2016-06-08,0.02878,-0.00066
2016-06-09,0.03117,-0.00460
2016-06-10,0.03006,-0.01465
2016-06-13,0.02669,-0.01932
2016-06-14,0.01959,-0.02353
2016-06-15,0.02858,-0.01875
2016-06-16,0.02707,-0.01781
2016-06-17,0.02438,-0.02033
2016-06-20,0.02774,-0.01461
2016-06-21,0.02482,-0.01234
2016-06-22,0.03013,-0.01093
2016-06-23,0.02842,-0.00363
2016-06-24,0.03862,-0.02499
2016-06-27,0.04116,-0.03663
2016-06-28,0.04655,-0.02385
2016-06-29,0.06265,-0.01387
2016-06-30,0.06274,-0.00754
2016-07-01,0.06274,-0.00754
