Date,Fund,benchmark
2010-01-04,0.00394,0.01016
2010-01-05,0.00244,0.01262
2010-01-06,0.00390,0.01218
2010-01-07,0.00708,0.01298
2010-01-08,0.00972,0.01689
2010-01-11,0.01576,0.01803
2010-01-12,0.00551,0.01096
2010-01-13,0.01281,0.01211
2010-01-14,0.01349,0.01047
2010-01-15,0.00909,0.00396
2010-01-18,0.01081,0.00502
2010-01-19,0.01770,0.01169
2010-01-20,0.01027,0.00792
2010-01-21,-0.00999,-0.00545
2010-01-22,-0.01368,-0.01721
2010-01-25,-0.01137,-0.01334
2010-01-26,-0.01281,-0.01490
2010-01-27,-0.01753,-0.01462
2010-01-28,-0.02343,-0.02183
2010-01-29,-0.02915,-0.02926
2010-02-01,-0.01712,-0.01903
2010-02-02,-0.00889,-0.01183
2010-02-03,-0.01101,-0.01432
2010-02-04,-0.03314,-0.03427
2010-02-05,-0.02414,-0.03457
2010-02-08,-0.03301,-0.03994
2010-02-09,-0.02746,-0.03105
2010-02-10,-0.02879,-0.03395
2010-02-11,-0.02606,-0.03077
2010-02-12,-0.02503,-0.03176
2010-02-15,-0.02503,-0.03176
2010-02-16,-0.01750,-0.02294
2010-02-17,-0.01622,-0.01954
2010-02-18,-0.01212,-0.01637
2010-02-19,-0.00842,-0.01648
2010-02-22,-0.01216,-0.01661
2010-02-23,-0.01807,-0.01985
2010-02-24,-0.01611,-0.01703
2010-02-25,-0.00382,-0.01358
2010-02-26,0.00514,-0.01414
2010-03-01,0.00769,-0.01022
2010-03-02,0.01240,-0.00796
2010-03-03,0.01144,-0.00749
2010-03-04,0.01123,-0.00785
2010-03-05,0.01999,0.00324
2010-03-08,0.02309,0.00113
2010-03-09,0.02541,-0.00028
2010-03-10,0.02723,0.00273
2010-03-11,0.03210,0.00407
2010-03-12,0.03040,0.00298
2010-03-15,0.03186,0.00115
2010-03-16,0.03851,0.00623
2010-03-17,0.04264,0.00762
2010-03-18,0.03663,0.00515
2010-03-19,0.03116,0.00066
2010-03-22,0.03577,0.00467
2010-03-23,0.03837,0.00932
2010-03-24,0.03997,0.00666
2010-03-25,0.03822,0.00463
2010-03-26,0.04619,0.00793
2010-03-29,0.05104,0.01038
2010-03-30,0.04449,0.00973
2010-03-31,0.04449,0.00700
2010-04-01,0.05491,0.01249
2010-04-02,0.05491,0.01249
2010-04-05,0.06387,0.01376
2010-04-06,0.07093,0.01337
2010-04-07,0.07510,0.01122
2010-04-08,0.07022,0.01104
2010-04-09,0.07926,0.01712
2010-04-12,0.07675,0.01689
2010-04-13,0.07900,0.01548
2010-04-14,0.08516,0.02258
2010-04-15,0.08093,0.02493
2010-04-16,0.07147,0.01636
2010-04-19,0.06968,0.01655
2010-04-20,0.06931,0.01358
2010-04-21,0.07843,0.01341
2010-04-22,0.08016,0.01563
2010-04-23,0.09050,0.02141
2010-04-26,0.09033,0.02208
2010-04-27,0.08670,0.01143
2010-04-28,0.08874,0.00716
2010-04-29,0.10277,0.01535
2010-04-30,0.10779,0.01183
2010-05-03,0.10673,0.01450
2010-05-04,0.08988,0.00285
2010-05-05,0.08314,-0.00433
2010-05-06,0.08308,-0.01249
2010-05-07,0.06476,-0.02775
2010-05-10,0.08594,-0.00727
2010-05-11,0.11318,-0.01090
2010-05-12,0.12464,0.00025
2010-05-13,0.11469,-0.00647
2010-05-14,0.10956,-0.01399
2010-05-17,0.09918,-0.01813
2010-05-18,0.08253,-0.02577
2010-05-19,0.06315,-0.02678
2010-05-20,0.03119,-0.04026
2010-05-21,0.04163,-0.03334
2010-05-24,0.04163,-0.03334
2010-05-25,0.05465,-0.03707
2010-05-26,0.06541,-0.03737
2010-05-27,0.08007,-0.02221
2010-05-28,0.07399,-0.02878
2010-05-31,0.07584,-0.02971
2010-06-01,0.07159,-0.03715
2010-06-02,0.07713,-0.02837
2010-06-03,0.07104,-0.02480
2010-06-04,0.05912,-0.03796
2010-06-07,0.06076,-0.04661
2010-06-08,0.06008,-0.04718
2010-06-09,0.05517,-0.05043
2010-06-10,0.06726,-0.03735
2010-06-11,0.07185,-0.03330
2010-06-14,0.07122,-0.03298
2010-06-15,0.08477,-0.01962
2010-06-16,0.08841,-0.02042
2010-06-17,0.10021,-0.01760
2010-06-18,0.10075,-0.02035
2010-06-21,0.09199,-0.01945
2010-06-22,0.08231,-0.02799
2010-06-23,0.09089,-0.02354
2010-06-24,0.08535,-0.03324
2010-06-25,0.09801,-0.03291
2010-06-28,0.09082,-0.03634
2010-06-29,0.07301,-0.05182
2010-06-30,0.07643,-0.05196
2010-07-01,0.07643,-0.05196
2010-07-02,0.06150,-0.05784
2010-07-05,0.05706,-0.05876
2010-07-06,0.05228,-0.05551
2010-07-07,0.06244,-0.04118
2010-07-08,0.05656,-0.03840
2010-07-09,0.05952,-0.03661
2010-07-12,0.05921,-0.03556
2010-07-13,0.06711,-0.02748
2010-07-14,0.06768,-0.02696
2010-07-15,0.07073,-0.02200
2010-07-16,0.06674,-0.03228
2010-07-19,0.06368,-0.03086
2010-07-20,0.06886,-0.02947
2010-07-21,0.06720,-0.03506
2010-07-22,0.07565,-0.02407
2010-07-23,0.07700,-0.01900
2010-07-26,0.07758,-0.01582
2010-07-27,0.07097,-0.01638
2010-07-28,0.07645,-0.01877
2010-07-29,0.08123,-0.02000
2010-07-30,0.08515,-0.02327
2010-08-02,0.08515,-0.02327
2010-08-03,0.09174,-0.01311
2010-08-04,0.09894,-0.01277
2010-08-05,0.09898,-0.01488
2010-08-06,0.10450,-0.01070
2010-08-09,0.10763,-0.00750
2010-08-10,0.10782,-0.00981
2010-08-11,0.10035,-0.02569
2010-08-12,0.10420,-0.03050
2010-08-13,0.10737,-0.03245
2010-08-16,0.11547,-0.02867
2010-08-17,0.11756,-0.02439
2010-08-18,0.12034,-0.02392
2010-08-19,0.12265,-0.02719
2010-08-20,0.12433,-0.02613
2010-08-23,0.12252,-0.02706
2010-08-24,0.11907,-0.03398
2010-08-25,0.12932,-0.03156
2010-08-26,0.13487,-0.03474
2010-08-27,0.14173,-0.02460
2010-08-30,0.14256,-0.02739
2010-08-31,0.15047,-0.02332
2010-09-01,0.15067,-0.01249
2010-09-02,0.15762,-0.00634
2010-09-03,0.16449,-0.00608
2010-09-06,0.16449,-0.00608
2010-09-07,0.17235,-0.00787
2010-09-08,0.16592,-0.01007
2010-09-09,0.15634,-0.01020
2010-09-10,0.16307,-0.00603
2010-09-13,0.16467,-0.00131
2010-09-14,0.17676,0.00045
