Date,Fund,benchmark
2008-09-02,-0.01541,-0.01197
2008-09-03,-0.02527,-0.02068
2008-09-04,-0.03701,-0.04048
2008-09-05,-0.03423,-0.04128
2008-09-08,-0.04575,-0.03552
2008-09-09,-0.06223,-0.05939
2008-09-10,-0.05011,-0.04878
2008-09-11,-0.04232,-0.03829
2008-09-12,-0.04234,-0.03960
2008-09-15,-0.05459,-0.06705
2008-09-16,-0.05058,-0.06100
2008-09-17,-0.06089,-0.09050
2008-09-18,-0.05477,-0.07508
2008-09-19,-0.03890,-0.04646
2008-09-22,-0.05342,-0.07441
2008-09-23,-0.05498,-0.08263
2008-09-24,-0.05554,-0.08171
2008-09-25,-0.05628,-0.07423
2008-09-26,-0.06969,-0.08353
2008-09-29,-0.09814,-0.13606
2008-09-30,-0.09572,-0.09997
2008-10-01,-0.09521,-0.10339
2008-10-02,-0.08981,-0.13012
2008-10-03,-0.08610,-0.13575
2008-10-06,-0.06364,-0.15702
2008-10-07,-0.07052,-0.18293
2008-10-08,-0.05966,-0.18135
2008-10-09,-0.05327,-0.20965
2008-10-10,-0.03644,-0.21537
2008-10-13,-0.03644,-0.21537
2008-10-14,-0.06374,-0.16687
2008-10-15,-0.04925,-0.21105
2008-10-16,-0.04081,-0.19339
2008-10-17,-0.04575,-0.19386
2008-10-20,-0.04105,-0.15769
2008-10-21,-0.02950,-0.17390
2008-10-22,-0.00718,-0.19551
2008-10-23,0.00144,-0.19051
2008-10-24,0.01643,-0.20672
2008-10-27,0.02066,-0.23241
2008-10-28,0.01460,-0.18302
2008-10-29,-0.01713,-0.19511
2008-10-30,-0.02070,-0.17249
2008-10-31,-0.03353,-0.16918
2008-11-03,-0.04627,-0.17779
2008-11-04,-0.06247,-0.16208
2008-11-05,-0.05847,-0.18209
2008-11-06,-0.04770,-0.20233
2008-11-07,-0.04910,-0.18883
2008-11-10,-0.04070,-0.18823
2008-11-11,-0.03441,-0.20047
2008-11-12,-0.01644,-0.21966
2008-11-13,-0.01710,-0.19254
2008-11-14,-0.02178,-0.21130
2008-11-17,-0.01570,-0.22454
2008-11-18,-0.02210,-0.21835
2008-11-19,-0.01157,-0.24220
2008-11-20,0.02642,-0.26871
2008-11-21,0.02108,-0.24421
2008-11-24,-0.01037,-0.22772
2008-11-25,-0.00214,-0.22565
2008-11-26,0.00281,-0.20885
2008-11-27,0.00483,-0.20729
2008-11-28,0.00927,-0.19444
2008-12-01,0.01390,-0.24146
2008-12-02,0.01941,-0.22442
2008-12-03,0.02677,-0.21811
2008-12-04,0.03410,-0.22721
2008-12-05,0.05512,-0.21637
2008-12-08,0.02888,-0.19911
2008-12-09,0.03075,-0.20727
2008-12-10,0.03053,-0.19659
2008-12-11,0.01632,-0.21821
2008-12-12,0.02938,-0.21015
2008-12-15,0.03647,-0.21954
2008-12-16,0.03811,-0.20385
2008-12-17,0.04761,-0.20817
2008-12-18,0.04234,-0.21843
2008-12-19,0.04649,-0.21805
2008-12-22,0.04356,-0.23052
2008-12-23,0.04041,-0.23202
2008-12-24,0.04133,-0.22997
2008-12-25,0.04133,-0.22997
2008-12-26,0.04133,-0.22997
2008-12-29,0.05522,-0.22000
2008-12-30,0.05622,-0.20741
2008-12-31,0.05622,-0.20163
2009-01-01,0.05622,-0.20163
2009-01-02,0.04600,-0.18872
2009-01-05,0.03290,-0.19652
2009-01-06,0.02725,-0.19311
2009-01-07,0.03341,-0.20611
2009-01-08,0.03595,-0.20591
2009-01-09,0.04316,-0.21403
2009-01-12,0.04717,-0.22046
2009-01-13,0.05152,-0.21569
2009-01-14,0.06273,-0.22619
2009-01-15,0.06429,-0.21943
2009-01-16,0.05766,-0.21696
2009-01-19,0.05485,-0.22027
2009-01-20,0.05546,-0.24108
2009-01-21,0.05761,-0.22490
2009-01-22,0.05328,-0.23537
2009-01-23,0.04523,-0.23737
2009-01-26,0.03709,-0.23593
2009-01-27,0.04191,-0.22926
2009-01-28,0.03635,-0.21634
2009-01-29,0.03295,-0.22972
2009-01-30,0.03667,-0.23557
