Date,Fund,benchmark
2015-08-18,-0.00419,-0.00393
2015-08-19,-0.00482,-0.00871
2015-08-20,-0.01984,-0.02574
2015-08-21,-0.03363,-0.04147
2015-08-24,-0.05057,-0.06504
2015-08-25,-0.05638,-0.06082
2015-08-26,-0.03621,-0.04466
2015-08-27,-0.02844,-0.03076
2015-08-28,-0.02881,-0.02904
2015-08-31,-0.03817,-0.03481
2015-09-01,-0.05183,-0.05293
2015-09-02,-0.03769,-0.04271
2015-09-03,-0.04235,-0.04318
2015-09-04,-0.04655,-0.05068
2015-09-07,-0.04655,-0.05068
2015-09-08,-0.03506,-0.03959
2015-09-09,-0.04147,-0.04202
2015-09-10,-0.03916,-0.04048
2015-09-11,-0.03384,-0.04010
2015-09-14,-0.03607,-0.04349
2015-09-15,-0.03047,-0.03859
2015-09-16,-0.03017,-0.03060
2015-09-17,-0.02984,-0.02926
2015-09-18,-0.03682,-0.03739
2015-09-21,-0.03402,-0.03336
2015-09-22,-0.04011,-0.04584
2015-09-23,-0.03606,-0.04659
2015-09-24,-0.03944,-0.05075
2015-09-25,-0.04104,-0.04879
2015-09-28,-0.05109,-0.06248
2015-09-29,-0.04830,-0.06151
2015-09-30,-0.04515,-0.04934
2015-10-01,-0.04727,-0.05239
2015-10-02,-0.04836,-0.04698
2015-10-05,-0.05399,-0.03683
2015-10-06,-0.05412,-0.03802
2015-10-07,-0.05433,-0.02892
2015-10-08,-0.05757,-0.02577
2015-10-09,-0.05997,-0.02874
2015-10-12,-0.05997,-0.02874
2015-10-13,-0.05393,-0.03161
2015-10-14,-0.05223,-0.03631
2015-10-15,-0.05743,-0.03115
2015-10-16,-0.05694,-0.02718
2015-10-19,-0.05373,-0.02408
2015-10-20,-0.05783,-0.02492
2015-10-21,-0.04982,-0.02304
2015-10-22,-0.05290,-0.01411
2015-10-23,-0.05455,-0.00558
2015-10-26,-0.05158,-0.00938
2015-10-27,-0.04651,-0.00943
2015-10-28,-0.05290,-0.00516
2015-10-29,-0.05634,-0.01005
2015-10-30,-0.05803,-0.01866
2015-11-02,-0.05840,-0.01118
2015-11-03,-0.06212,-0.01056
2015-11-04,-0.06156,-0.00827
2015-11-05,-0.06247,-0.00938
2015-11-06,-0.06455,-0.00666
2015-11-09,-0.06531,-0.01473
2015-11-10,-0.06463,-0.01615
2015-11-11,-0.06395,-0.01708
2015-11-12,-0.06180,-0.02596
2015-11-13,-0.05938,-0.03106
2015-11-16,-0.05967,-0.02085
2015-11-17,-0.06062,-0.02025
2015-11-18,-0.06002,-0.01242
2015-11-19,-0.05761,-0.01143
2015-11-20,-0.05747,-0.00924
2015-11-23,-0.05702,-0.01015
2015-11-24,-0.05815,-0.01262
2015-11-25,-0.05805,-0.01201
2015-11-26,-0.05759,-0.01051
2015-11-27,-0.05568,-0.00968
2015-11-30,-0.05680,-0.01036
2015-12-01,-0.05226,-0.00098
