Date,Fund,benchmark
2011-07-04,0.00461,0.00662
2011-07-05,0.00403,0.00850
2011-07-06,0.00553,0.00886
2011-07-07,0.01083,0.01065
2011-07-08,0.00964,0.00781
2011-07-11,0.00316,-0.00343
2011-07-12,-0.00017,-0.00806
2011-07-13,-0.00462,-0.00445
2011-07-14,-0.00782,-0.00943
2011-07-15,-0.00526,-0.00785
2011-07-18,-0.00868,-0.01303
2011-07-19,-0.00468,-0.00733
2011-07-20,-0.00761,-0.00795
2011-07-21,-0.00125,-0.00143
2011-07-22,0.00545,0.00344
2011-07-25,-0.00019,-0.00203
2011-07-26,-0.00219,-0.00583
2011-07-27,-0.01280,-0.01856
2011-07-28,-0.01248,-0.01785
2011-07-29,-0.01013,-0.01939
2011-08-01,-0.01013,-0.01939
2011-08-02,-0.02703,-0.03640
2011-08-03,-0.03694,-0.03357
2011-08-04,-0.06398,-0.06188
2011-08-05,-0.07523,-0.06936
2011-08-08,-0.12456,-0.10615
2011-08-09,-0.08591,-0.07952
2011-08-10,-0.09166,-0.08978
2011-08-11,-0.06228,-0.06657
2011-08-12,-0.05631,-0.06164
2011-08-15,-0.04847,-0.05388
2011-08-16,-0.05683,-0.06106
2011-08-17,-0.05679,-0.05944
2011-08-18,-0.07698,-0.08571
2011-08-19,-0.08798,-0.09716
2011-08-22,-0.08565,-0.09515
2011-08-23,-0.06747,-0.07713
2011-08-24,-0.06642,-0.07475
2011-08-25,-0.07451,-0.08355
2011-08-26,-0.06925,-0.07763
2011-08-29,-0.05741,-0.06587
2011-08-30,-0.05359,-0.06117
2011-08-31,-0.05167,-0.05417
2011-09-01,-0.05801,-0.06006
2011-09-02,-0.06509,-0.06816
2011-09-05,-0.06509,-0.06816
2011-09-06,-0.06665,-0.07428
2011-09-07,-0.05269,-0.05948
2011-09-08,-0.05616,-0.06357
2011-09-09,-0.06912,-0.07711
2011-09-12,-0.07152,-0.08333
2011-09-13,-0.07122,-0.08158
2011-09-14,-0.06515,-0.07364
2011-09-15,-0.05192,-0.06708
2011-09-16,-0.04699,-0.06959
2011-09-19,-0.05572,-0.07264
2011-09-20,-0.05422,-0.07110
2011-09-21,-0.06795,-0.08323
2011-09-22,-0.07609,-0.09794
2011-09-23,-0.07219,-0.09695
2011-09-26,-0.06421,-0.08628
2011-09-27,-0.05437,-0.07984
2011-09-28,-0.05949,-0.08857
2011-09-29,-0.05647,-0.08149
2011-09-30,-0.05443,-0.08894
2011-10-03,-0.04934,-0.10792
2011-10-04,-0.04109,-0.10153
2011-10-05,-0.05463,-0.09402
2011-10-06,-0.05804,-0.07904
2011-10-07,-0.06285,-0.08508
2011-10-10,-0.06285,-0.08508
2011-10-11,-0.06541,-0.06939
2011-10-12,-0.07742,-0.06565
2011-10-13,-0.07110,-0.06663
2011-10-14,-0.08030,-0.06028
2011-10-17,-0.07075,-0.06750
2011-10-18,-0.07584,-0.06043
2011-10-19,-0.07291,-0.06796
2011-10-20,-0.07591,-0.06980
2011-10-21,-0.07866,-0.06119
2011-10-24,-0.08138,-0.05064
2011-10-25,-0.07016,-0.05403
2011-10-26,-0.07887,-0.05200
2011-10-27,-0.08797,-0.03474
2011-10-28,-0.08519,-0.03486
2011-10-31,-0.08846,-0.05155
2011-11-01,-0.07248,-0.05863
2011-11-02,-0.07558,-0.04984
2011-11-03,-0.07879,-0.03863
2011-11-04,-0.07276,-0.03836
2011-11-07,-0.07425,-0.03755
2011-11-08,-0.07665,-0.03389
2011-11-09,-0.07220,-0.05327
2011-11-10,-0.07475,-0.05299
2011-11-11,-0.07441,-0.04181
2011-11-14,-0.07292,-0.04580
2011-11-15,-0.07402,-0.04256
2011-11-16,-0.07270,-0.05088
2011-11-17,-0.06815,-0.06166
