Date,Fund,benchmark
2016-06-02,0.00382,0.00435
2016-06-03,0.02143,0.00053
2016-06-06,0.01759,-0.00189
2016-06-07,0.01694,0.00169
2016-06-08,0.02508,-0.00066
2016-06-09,0.02672,-0.00460
2016-06-10,0.02645,-0.01465
2016-06-13,0.02290,-0.01932
2016-06-14,0.01681,-0.02353
2016-06-15,0.02343,-0.01875
2016-06-16,0.02201,-0.01781
2016-06-17,0.02020,-0.02033
2016-06-20,0.02292,-0.01461
2016-06-21,0.02088,-0.01234
2016-06-22,0.02497,-0.01093
2016-06-23,0.02394,-0.00363
2016-06-24,0.03011,-0.02499
2016-06-27,0.03214,-0.03663
2016-06-28,0.03786,-0.02385
2016-06-29,0.05202,-0.01387
2016-06-30,0.05316,-0.00754
2016-07-01,0.05316,-0.00754
