Date,Fund,benchmark
2010-01-04,0.00057,0.01016
2010-01-05,-0.00253,0.01262
2010-01-06,-0.00360,0.01218
2010-01-07,-0.00096,0.01298
2010-01-08,-0.00033,0.01689
2010-01-11,0.00459,0.01803
2010-01-12,-0.00197,0.01096
2010-01-13,0.00504,0.01211
2010-01-14,0.00708,0.01047
2010-01-15,0.00405,0.00396
2010-01-18,0.00524,0.00502
2010-01-19,0.01349,0.01169
2010-01-20,0.00935,0.00792
2010-01-21,-0.00795,-0.00545
2010-01-22,-0.01169,-0.01721
2010-01-25,-0.00787,-0.01334
2010-01-26,-0.00967,-0.01490
2010-01-27,-0.01290,-0.01462
2010-01-28,-0.01797,-0.02183
2010-01-29,-0.02086,-0.02926
2010-02-01,-0.01298,-0.01903
2010-02-02,-0.00478,-0.01183
2010-02-03,-0.00570,-0.01432
2010-02-04,-0.02381,-0.03427
2010-02-05,-0.01647,-0.03457
2010-02-08,-0.02472,-0.03994
2010-02-09,-0.02200,-0.03105
2010-02-10,-0.02352,-0.03395
2010-02-11,-0.02418,-0.03077
2010-02-12,-0.02216,-0.03176
2010-02-15,-0.02216,-0.03176
2010-02-16,-0.01632,-0.02294
2010-02-17,-0.01450,-0.01954
2010-02-18,-0.00968,-0.01637
2010-02-19,-0.00377,-0.01648
2010-02-22,-0.00712,-0.01661
2010-02-23,-0.01155,-0.01985
2010-02-24,-0.00876,-0.01703
2010-02-25,0.00211,-0.01358
2010-02-26,0.01101,-0.01414
2010-03-01,0.01275,-0.01022
2010-03-02,0.01566,-0.00796
2010-03-03,0.01326,-0.00749
2010-03-04,0.01461,-0.00785
2010-03-05,0.02214,0.00324
2010-03-08,0.02533,0.00113
2010-03-09,0.02883,-0.00028
2010-03-10,0.03131,0.00273
2010-03-11,0.03567,0.00407
2010-03-12,0.03420,0.00298
2010-03-15,0.03667,0.00115
2010-03-16,0.04195,0.00623
2010-03-17,0.04584,0.00762
2010-03-18,0.04077,0.00515
2010-03-19,0.03560,0.00066
2010-03-22,0.04082,0.00467
2010-03-23,0.04197,0.00932
2010-03-24,0.04675,0.00666
2010-03-25,0.04642,0.00463
2010-03-26,0.05278,0.00793
2010-03-29,0.05603,0.01038
2010-03-30,0.05005,0.00973
2010-03-31,0.05005,0.00700
2010-04-01,0.05626,0.01249
2010-04-02,0.05626,0.01249
2010-04-05,0.06369,0.01376
2010-04-06,0.06998,0.01337
2010-04-07,0.06919,0.01122
2010-04-08,0.06467,0.01104
2010-04-09,0.07061,0.01712
2010-04-12,0.07013,0.01689
2010-04-13,0.07485,0.01548
2010-04-14,0.08067,0.02258
2010-04-15,0.07596,0.02493
2010-04-16,0.06839,0.01636
2010-04-19,0.06852,0.01655
2010-04-20,0.06948,0.01358
2010-04-21,0.07821,0.01341
2010-04-22,0.07944,0.01563
2010-04-23,0.08765,0.02141
2010-04-26,0.08791,0.02208
2010-04-27,0.08238,0.01143
2010-04-28,0.08155,0.00716
2010-04-29,0.09794,0.01535
2010-04-30,0.09801,0.01183
2010-05-03,0.10141,0.01450
2010-05-04,0.08736,0.00285
2010-05-05,0.08065,-0.00433
2010-05-06,0.07463,-0.01249
2010-05-07,0.05785,-0.02775
2010-05-10,0.07983,-0.00727
2010-05-11,0.09680,-0.01090
2010-05-12,0.10649,0.00025
2010-05-13,0.09908,-0.00647
2010-05-14,0.09231,-0.01399
2010-05-17,0.08595,-0.01813
2010-05-18,0.07180,-0.02577
2010-05-19,0.05833,-0.02678
2010-05-20,0.02916,-0.04026
2010-05-21,0.03803,-0.03334
2010-05-24,0.03803,-0.03334
2010-05-25,0.04446,-0.03707
2010-05-26,0.05264,-0.03737
2010-05-27,0.06825,-0.02221
2010-05-28,0.06465,-0.02878
2010-05-31,0.06771,-0.02971
2010-06-01,0.06244,-0.03715
2010-06-02,0.07046,-0.02837
2010-06-03,0.06753,-0.02480
2010-06-04,0.05250,-0.03796
2010-06-07,0.05086,-0.04661
2010-06-08,0.04872,-0.04718
2010-06-09,0.04573,-0.05043
2010-06-10,0.06066,-0.03735
2010-06-11,0.06253,-0.03330
2010-06-14,0.06420,-0.03298
2010-06-15,0.07618,-0.01962
2010-06-16,0.07846,-0.02042
2010-06-17,0.08526,-0.01760
2010-06-18,0.08062,-0.02035
2010-06-21,0.07854,-0.01945
2010-06-22,0.06852,-0.02799
2010-06-23,0.07488,-0.02354
2010-06-24,0.06842,-0.03324
2010-06-25,0.07911,-0.03291
2010-06-28,0.07341,-0.03634
2010-06-29,0.05676,-0.05182
2010-06-30,0.06111,-0.05196
2010-07-01,0.06111,-0.05196
2010-07-02,0.04950,-0.05784
2010-07-05,0.04644,-0.05876
2010-07-06,0.04290,-0.05551
2010-07-07,0.05073,-0.04118
2010-07-08,0.04589,-0.03840
2010-07-09,0.04752,-0.03661
2010-07-12,0.04788,-0.03556
2010-07-13,0.05386,-0.02748
2010-07-14,0.05433,-0.02696
2010-07-15,0.05702,-0.02200
2010-07-16,0.05439,-0.03228
2010-07-19,0.05255,-0.03086
2010-07-20,0.05636,-0.02947
2010-07-21,0.05559,-0.03506
2010-07-22,0.06214,-0.02407
2010-07-23,0.06303,-0.01900
2010-07-26,0.06426,-0.01582
2010-07-27,0.05940,-0.01638
2010-07-28,0.06385,-0.01877
2010-07-29,0.06791,-0.02000
2010-07-30,0.07158,-0.02327
2010-08-02,0.07158,-0.02327
2010-08-03,0.07733,-0.01311
2010-08-04,0.08195,-0.01277
2010-08-05,0.08232,-0.01488
