Date,Fund,benchmark
2008-09-02,-0.00295,-0.01197
2008-09-03,-0.01025,-0.02068
2008-09-04,-0.01381,-0.04048
2008-09-05,-0.01034,-0.04128
2008-09-08,-0.01909,-0.03552
2008-09-09,-0.02327,-0.05939
2008-09-10,-0.01990,-0.04878
2008-09-11,-0.01433,-0.03829
2008-09-12,-0.02080,-0.03960
2008-09-15,-0.01714,-0.06705
2008-09-16,-0.01097,-0.06100
2008-09-17,-0.01159,-0.09050
2008-09-18,-0.01214,-0.07508
2008-09-19,-0.02322,-0.04646
2008-09-22,-0.03202,-0.07441
2008-09-23,-0.03082,-0.08263
2008-09-24,-0.03070,-0.08171
2008-09-25,-0.03341,-0.07423
2008-09-26,-0.03651,-0.08353
2008-09-29,-0.04260,-0.13606
2008-09-30,-0.03782,-0.09997
2008-10-01,-0.03689,-0.10339
2008-10-02,-0.02987,-0.13012
2008-10-03,-0.02546,-0.13575
2008-10-06,-0.00233,-0.15702
2008-10-07,-0.00696,-0.18293
2008-10-08,0.00117,-0.18135
2008-10-09,0.00766,-0.20965
2008-10-10,0.01980,-0.21537
2008-10-13,0.01980,-0.21537
2008-10-14,-0.00511,-0.16687
2008-10-15,0.01005,-0.21105
2008-10-16,0.01692,-0.19339
2008-10-17,0.01173,-0.19386
2008-10-20,0.01426,-0.15769
2008-10-21,0.02518,-0.17390
2008-10-22,0.04635,-0.19551
2008-10-23,0.05351,-0.19051
2008-10-24,0.06640,-0.20672
2008-10-27,0.07139,-0.23241
2008-10-28,0.06374,-0.18302
2008-10-29,0.03594,-0.19511
2008-10-30,0.03256,-0.17249
2008-10-31,0.02068,-0.16918
2008-11-03,0.01010,-0.17779
2008-11-04,-0.00367,-0.16208
2008-11-05,0.00128,-0.18209
2008-11-06,0.01217,-0.20233
2008-11-07,0.01114,-0.18883
2008-11-10,0.01874,-0.18823
2008-11-11,0.02464,-0.20047
2008-11-12,0.04215,-0.21966
2008-11-13,0.03926,-0.19254
2008-11-14,0.03726,-0.21130
2008-11-17,0.04393,-0.22454
2008-11-18,0.03877,-0.21835
2008-11-19,0.04907,-0.24220
2008-11-20,0.08446,-0.26871
2008-11-21,0.07805,-0.24421
2008-11-24,0.05015,-0.22772
2008-11-25,0.05806,-0.22565
2008-11-26,0.06211,-0.20885
2008-11-27,0.06354,-0.20729
2008-11-28,0.06587,-0.19444
2008-12-01,0.07505,-0.24146
2008-12-02,0.07926,-0.22442
2008-12-03,0.08509,-0.21811
2008-12-04,0.09265,-0.22721
2008-12-05,0.10968,-0.21637
2008-12-08,0.08630,-0.19911
2008-12-09,0.08867,-0.20727
2008-12-10,0.08738,-0.19659
2008-12-11,0.07685,-0.21821
2008-12-12,0.08644,-0.21015
2008-12-15,0.09284,-0.21954
2008-12-16,0.09458,-0.20385
2008-12-17,0.10305,-0.20817
2008-12-18,0.10057,-0.21843
2008-12-19,0.10430,-0.21805
2008-12-22,0.10248,-0.23052
2008-12-23,0.09958,-0.23202
2008-12-24,0.10026,-0.22997
2008-12-25,0.10026,-0.22997
2008-12-26,0.10026,-0.22997
2008-12-29,0.11358,-0.22000
2008-12-30,0.11266,-0.20741
2008-12-31,0.11266,-0.20163
2009-01-01,0.11266,-0.20163
2009-01-02,0.10295,-0.18872
2009-01-05,0.09308,-0.19652
2009-01-06,0.08959,-0.19311
2009-01-07,0.09385,-0.20611
2009-01-08,0.09631,-0.20591
2009-01-09,0.10356,-0.21403
2009-01-12,0.10722,-0.22046
2009-01-13,0.11069,-0.21569
2009-01-14,0.12160,-0.22619
2009-01-15,0.12171,-0.21943
2009-01-16,0.11567,-0.21696
2009-01-19,0.11243,-0.22027
2009-01-20,0.11356,-0.24108
2009-01-21,0.11392,-0.22490
2009-01-22,0.11053,-0.23537
2009-01-23,0.10402,-0.23737
2009-01-26,0.09673,-0.23593
2009-01-27,0.10058,-0.22926
2009-01-28,0.09637,-0.21634
2009-01-29,0.09221,-0.22972
2009-01-30,0.09501,-0.23557
