country,code,mkt,rc,mkt_pct
Australia,AU,35.42838,0.00052,0.01319
Austria,AT,0.71553,0.00001,0.00027
Belgium,BE,4.11430,0.00006,0.00153
Bermuda,BM,0.60717,0.00000,0.00023
Brazil,BR,12.84139,0.00024,0.00478
Canada,CA,1231.51262,0.01324,0.45866
Cayman Islands,KY,,,
Chile,CL,2.11207,0.00004,0.00079
Colombia,CO,0.90880,0.00002,0.00034
Czech Republic,CZ,0.32103,0.00001,0.00012
Denmark,DK,5.74661,0.00008,0.00214
Egypt,EG,0.18586,0.00000,0.00007
Finland,FI,3.39877,0.00005,0.00127
France,FR,79.30326,0.00103,0.02954
Germany,DE,101.35648,0.00130,0.03775
Greece,GR,0.33793,0.00001,0.00013
Hong Kong,HK,12.26855,0.00019,0.00457
Hungary,HU,0.59138,0.00001,0.00022
India,IN,23.45784,0.00041,0.00874
Indonesia,ID,6.72036,0.00012,0.00250
Ireland,IE,0.60373,0.00001,0.00022
Israel,IL,,,
Italy,IT,50.75829,0.00063,0.01890
Japan,JP,185.87916,0.00253,0.06923
Luxembourg,LU,0.22360,0.00000,0.00008
Malaysia,MY,7.24341,0.00013,0.00270
Mexico,MX,6.48828,0.00012,0.00242
Netherlands,NL,12.73851,0.00019,0.00474
New Zealand,NZ,0.60238,0.00001,0.00022
Norway,NO,2.21367,0.00003,0.00082
Papua New Guinea,PG,0.22087,0.00000,0.00008
Peru,PE,0.54069,0.00001,0.00020
Philippines,PH,3.40989,0.00006,0.00127
Poland,PL,1.80793,0.00003,0.00067
Portugal,PT,0.51429,0.00001,0.00019
Qatar,QA,1.33483,0.00002,0.00050
Russia,RU,6.28552,0.00012,0.00234
Singapore,SG,4.96820,0.00008,0.00185
South Africa,ZA,10.49773,0.00019,0.00391
Spain,ES,32.47409,0.00042,0.01209
Sweden,SE,10.19631,0.00015,0.00380
Switzerland,CH,32.37417,0.00046,0.01206
Thailand,TH,5.42203,0.00009,0.00202
Turkey,TR,1.68966,0.00003,0.00063
United Arab Emirates,AE,1.25035,0.00002,0.00047
United Kingdom,GB,114.04314,0.00189,0.04247
United States,US,669.31740,0.00811,0.24928
