Date,Fund,benchmark
2015-08-18,-0.00433,-0.00393
2015-08-19,-0.00169,-0.00871
2015-08-20,-0.00621,-0.02574
2015-08-21,-0.01359,-0.04147
2015-08-24,-0.02745,-0.06504
2015-08-25,-0.02881,-0.06082
2015-08-26,-0.02852,-0.04466
2015-08-27,-0.02202,-0.03076
2015-08-28,-0.01967,-0.02904
2015-08-31,-0.02508,-0.03481
2015-09-01,-0.03180,-0.05293
2015-09-02,-0.02785,-0.04271
2015-09-03,-0.03095,-0.04318
2015-09-04,-0.03365,-0.05068
2015-09-07,-0.03365,-0.05068
2015-09-08,-0.03002,-0.03959
2015-09-09,-0.03211,-0.04202
2015-09-10,-0.03199,-0.04048
2015-09-11,-0.02990,-0.04010
2015-09-14,-0.03110,-0.04349
2015-09-15,-0.03248,-0.03859
2015-09-16,-0.02722,-0.03060
2015-09-17,-0.02272,-0.02926
2015-09-18,-0.02358,-0.03739
2015-09-21,-0.02578,-0.03336
2015-09-22,-0.03200,-0.04584
2015-09-23,-0.03214,-0.04659
2015-09-24,-0.02992,-0.05075
2015-09-25,-0.03166,-0.04879
2015-09-28,-0.03724,-0.06248
2015-09-29,-0.03593,-0.06151
2015-09-30,-0.03384,-0.04934
2015-10-01,-0.03716,-0.05239
2015-10-02,-0.03408,-0.04698
2015-10-05,-0.03312,-0.03683
2015-10-06,-0.03379,-0.03802
2015-10-07,-0.02899,-0.02892
2015-10-08,-0.03046,-0.02577
2015-10-09,-0.03151,-0.02874
2015-10-12,-0.03151,-0.02874
2015-10-13,-0.02920,-0.03161
2015-10-14,-0.02880,-0.03631
2015-10-15,-0.02955,-0.03115
2015-10-16,-0.02809,-0.02718
2015-10-19,-0.02495,-0.02408
2015-10-20,-0.02774,-0.02492
2015-10-21,-0.02166,-0.02304
2015-10-22,-0.02017,-0.01411
2015-10-23,-0.01767,-0.00558
2015-10-26,-0.01802,-0.00938
2015-10-27,-0.01466,-0.00943
2015-10-28,-0.01884,-0.00516
2015-10-29,-0.02397,-0.01005
2015-10-30,-0.02929,-0.01866
2015-11-02,-0.02652,-0.01118
2015-11-03,-0.02899,-0.01056
2015-11-04,-0.02808,-0.00827
2015-11-05,-0.02950,-0.00938
2015-11-06,-0.03179,-0.00666
2015-11-09,-0.03594,-0.01473
2015-11-10,-0.03671,-0.01615
2015-11-11,-0.03598,-0.01708
2015-11-12,-0.03711,-0.02596
2015-11-13,-0.03760,-0.03106
2015-11-16,-0.03481,-0.02085
2015-11-17,-0.03539,-0.02025
2015-11-18,-0.03157,-0.01242
2015-11-19,-0.02852,-0.01143
2015-11-20,-0.02726,-0.00924
2015-11-23,-0.02775,-0.01015
2015-11-24,-0.02870,-0.01262
2015-11-25,-0.02928,-0.01201
2015-11-26,-0.02790,-0.01051
2015-11-27,-0.02716,-0.00968
2015-11-30,-0.02880,-0.01036
2015-12-01,-0.02160,-0.00098
