Date,Fund,TD Canadian Bond Index Fund
2001-09-05,0.002,0.001
2001-09-06,0.002,0.008
2001-09-07,0.005,0.012
2001-09-10,0.003,0.010
2001-09-13,0.003,0.016
2001-09-14,0.003,0.020
2001-09-17,0.003,0.018
2001-09-18,0.003,0.014
2001-09-19,-0.000,0.014
2001-09-20,-0.005,0.012
2001-09-21,-0.011,0.010
2001-09-24,-0.006,0.009
2001-09-25,-0.005,0.011
2001-09-26,-0.002,0.013
2001-09-27,-0.002,0.015
2001-09-28,0.000,0.013
2001-10-01,-0.007,0.011
2001-10-02,-0.004,0.014
2001-10-03,-0.003,0.016
2001-10-04,-0.004,0.015
2001-10-05,-0.002,0.017
2001-10-09,-0.006,0.015
2001-10-10,-0.005,0.014
2001-10-11,-0.006,0.009
2001-10-12,-0.005,0.010
2001-10-15,-0.005,0.013
2001-10-16,-0.003,0.015
2001-10-17,0.001,0.017
2001-10-18,-0.002,0.018
2001-10-19,-0.002,0.017
2001-10-22,-0.005,0.016
2001-10-23,-0.004,0.019
2001-10-24,-0.001,0.022
2001-10-25,0.003,0.024
2001-10-26,0.005,0.026
2001-10-29,0.004,0.029
2001-10-30,0.003,0.033
2001-10-31,0.010,0.042
2001-11-01,0.010,0.035
2001-11-02,0.011,0.031
2001-11-05,0.014,0.035
2001-11-06,0.016,0.038
2001-11-07,0.019,0.042
2001-11-08,0.019,0.041
2001-11-09,0.020,0.041
2001-11-13,0.021,0.038
2001-11-14,0.016,0.029
2001-11-15,0.010,0.019
2001-11-16,0.008,0.012
2001-11-19,0.008,0.018
2001-11-20,0.009,0.015
2001-11-21,0.007,0.011
2001-11-22,0.009,0.011
2001-11-23,0.006,0.011
2001-11-26,0.012,0.013
2001-11-27,0.011,0.016
2001-11-28,0.010,0.017
2001-11-29,0.012,0.024
2001-11-30,0.013,0.026
