Date,Fund,benchmark
2011-07-04,0.00307,0.00662
2011-07-05,0.00406,0.00850
2011-07-06,0.00699,0.00886
2011-07-07,0.00616,0.01065
2011-07-08,0.00783,0.00781
2011-07-11,0.00410,-0.00343
2011-07-12,0.00206,-0.00806
2011-07-13,0.00426,-0.00445
2011-07-14,0.00147,-0.00943
2011-07-15,0.00293,-0.00785
2011-07-18,0.00187,-0.01303
2011-07-19,0.00036,-0.00733
2011-07-20,-0.00005,-0.00795
2011-07-21,0.00245,-0.00143
2011-07-22,0.00928,0.00344
2011-07-25,0.00459,-0.00203
2011-07-26,0.00465,-0.00583
2011-07-27,-0.00058,-0.01856
2011-07-28,0.00026,-0.01785
2011-07-29,0.00394,-0.01939
2011-08-01,0.00394,-0.01939
2011-08-02,0.00122,-0.03640
2011-08-03,0.00094,-0.03357
2011-08-04,-0.01260,-0.06188
2011-08-05,-0.01802,-0.06936
2011-08-08,-0.03324,-0.10615
2011-08-09,-0.01656,-0.07952
2011-08-10,-0.01990,-0.08978
2011-08-11,-0.01012,-0.06657
2011-08-12,-0.00718,-0.06164
2011-08-15,-0.00365,-0.05388
2011-08-16,-0.00734,-0.06106
2011-08-17,-0.00373,-0.05944
2011-08-18,-0.01312,-0.08571
2011-08-19,-0.01874,-0.09716
2011-08-22,-0.01572,-0.09515
2011-08-23,-0.00826,-0.07713
2011-08-24,-0.01342,-0.07475
2011-08-25,-0.01799,-0.08355
2011-08-26,-0.01296,-0.07763
2011-08-29,-0.00993,-0.06587
2011-08-30,-0.00600,-0.06117
2011-08-31,-0.00411,-0.05417
2011-09-01,-0.00634,-0.06006
2011-09-02,-0.00607,-0.06816
2011-09-05,-0.00607,-0.06816
2011-09-06,-0.00708,-0.07428
2011-09-07,-0.00078,-0.05948
2011-09-08,-0.00135,-0.06357
2011-09-09,-0.00589,-0.07711
2011-09-12,-0.01077,-0.08333
2011-09-13,-0.01363,-0.08158
2011-09-14,-0.01100,-0.07364
2011-09-15,-0.00906,-0.06708
2011-09-16,-0.00879,-0.06959
2011-09-19,-0.01021,-0.07264
2011-09-20,-0.00679,-0.07110
2011-09-21,-0.01149,-0.08323
2011-09-22,-0.01425,-0.09794
2011-09-23,-0.01801,-0.09695
2011-09-26,-0.01490,-0.08628
2011-09-27,-0.01344,-0.07984
2011-09-28,-0.01733,-0.08857
2011-09-29,-0.01076,-0.08149
2011-09-30,-0.00699,-0.08894
2011-10-03,-0.01132,-0.10792
2011-10-04,-0.00820,-0.10153
2011-10-05,-0.01226,-0.09402
2011-10-06,-0.00791,-0.07904
2011-10-07,-0.01320,-0.08508
2011-10-10,-0.01320,-0.08508
2011-10-11,-0.00716,-0.06939
2011-10-12,-0.01061,-0.06565
2011-10-13,-0.00736,-0.06663
2011-10-14,-0.01024,-0.06028
2011-10-17,-0.00827,-0.06750
2011-10-18,-0.00795,-0.06043
2011-10-19,-0.01201,-0.06796
2011-10-20,-0.01428,-0.06980
2011-10-21,-0.01301,-0.06119
2011-10-24,-0.00874,-0.05064
2011-10-25,-0.00283,-0.05403
2011-10-26,-0.00625,-0.05200
2011-10-27,-0.00428,-0.03474
2011-10-28,-0.00063,-0.03486
2011-10-31,-0.00590,-0.05155
2011-11-01,0.00083,-0.05863
2011-11-02,0.00244,-0.04984
2011-11-03,0.00447,-0.03863
2011-11-04,0.00860,-0.03836
2011-11-07,0.01023,-0.03755
2011-11-08,0.00930,-0.03389
2011-11-09,0.00476,-0.05327
2011-11-10,0.00222,-0.05299
2011-11-11,0.00672,-0.04181
2011-11-14,0.00620,-0.04580
2011-11-15,0.00652,-0.04256
2011-11-16,0.00346,-0.05088
2011-11-17,0.00075,-0.06166
2011-11-18,-0.00138,-0.06391
2011-11-21,-0.00270,-0.07129
2011-11-22,-0.00179,-0.07280
2011-11-23,-0.00517,-0.08474
2011-11-24,-0.00593,-0.08640
2011-11-25,-0.00983,-0.08895
