Date,Fund,benchmark
2016-06-02,0.00450,0.00435
2016-06-03,0.00916,0.00053
2016-06-06,0.00468,-0.00189
2016-06-07,0.00603,0.00169
2016-06-08,0.00685,-0.00066
2016-06-09,0.00572,-0.00460
2016-06-10,0.00120,-0.01465
2016-06-13,-0.00120,-0.01932
2016-06-14,-0.00412,-0.02353
2016-06-15,0.00299,-0.01875
2016-06-16,0.00361,-0.01781
2016-06-17,0.00066,-0.02033
2016-06-20,0.00246,-0.01461
2016-06-21,0.00173,-0.01234
2016-06-22,0.00472,-0.01093
2016-06-23,0.00632,-0.00363
2016-06-24,0.00257,-0.02499
2016-06-27,0.00176,-0.03663
2016-06-28,0.00850,-0.02385
2016-06-29,0.01512,-0.01387
2016-06-30,0.01756,-0.00754
2016-07-01,0.01756,-0.00754
