Date,Fund,benchmark
2010-01-04,0.00231,0.01016
2010-01-05,0.00428,0.01262
2010-01-06,0.00296,0.01218
2010-01-07,0.00303,0.01298
2010-01-08,0.00539,0.01689
2010-01-11,0.00835,0.01803
2010-01-12,0.00595,0.01096
2010-01-13,0.00837,0.01211
2010-01-14,0.00712,0.01047
2010-01-15,0.00379,0.00396
2010-01-18,0.00506,0.00502
2010-01-19,0.01051,0.01169
2010-01-20,0.00973,0.00792
2010-01-21,-0.00202,-0.00545
2010-01-22,-0.00603,-0.01721
2010-01-25,-0.00193,-0.01334
2010-01-26,-0.00317,-0.01490
2010-01-27,-0.00327,-0.01462
2010-01-28,-0.00958,-0.02183
2010-01-29,-0.01351,-0.02926
2010-02-01,-0.00630,-0.01903
2010-02-02,-0.00168,-0.01183
2010-02-03,-0.00346,-0.01432
2010-02-04,-0.01681,-0.03427
2010-02-05,-0.01565,-0.03457
2010-02-08,-0.02054,-0.03994
2010-02-09,-0.01313,-0.03105
2010-02-10,-0.01623,-0.03395
2010-02-11,-0.01659,-0.03077
2010-02-12,-0.01733,-0.03176
2010-02-15,-0.01733,-0.03176
2010-02-16,-0.01408,-0.02294
2010-02-17,-0.01099,-0.01954
2010-02-18,-0.00994,-0.01637
2010-02-19,-0.00892,-0.01648
2010-02-22,-0.01031,-0.01661
2010-02-23,-0.01167,-0.01985
2010-02-24,-0.00790,-0.01703
2010-02-25,-0.00010,-0.01358
2010-02-26,0.00205,-0.01414
2010-03-01,0.00104,-0.01022
2010-03-02,0.00023,-0.00796
2010-03-03,0.00001,-0.00749
2010-03-04,0.00072,-0.00785
2010-03-05,0.00511,0.00324
2010-03-08,0.00668,0.00113
2010-03-09,0.00707,-0.00028
2010-03-10,0.00773,0.00273
2010-03-11,0.01266,0.00407
2010-03-12,0.00824,0.00298
2010-03-15,0.00985,0.00115
2010-03-16,0.01345,0.00623
2010-03-17,0.01511,0.00762
2010-03-18,0.01299,0.00515
2010-03-19,0.00880,0.00066
2010-03-22,0.01309,0.00467
2010-03-23,0.01530,0.00932
2010-03-24,0.01453,0.00666
2010-03-25,0.01041,0.00463
2010-03-26,0.01716,0.00793
2010-03-29,0.01759,0.01038
2010-03-30,0.01585,0.00973
2010-03-31,0.01925,0.00700
2010-04-01,0.02373,0.01249
2010-04-02,0.02373,0.01249
2010-04-05,0.02260,0.01376
2010-04-06,0.02207,0.01337
2010-04-07,0.02335,0.01122
2010-04-08,0.02168,0.01104
2010-04-09,0.02694,0.01712
2010-04-12,0.02640,0.01689
2010-04-13,0.02589,0.01548
2010-04-14,0.02915,0.02258
2010-04-15,0.02925,0.02493
2010-04-16,0.02708,0.01636
2010-04-19,0.02674,0.01655
2010-04-20,0.02160,0.01358
2010-04-21,0.02256,0.01341
2010-04-22,0.02183,0.01563
2010-04-23,0.02617,0.02141
2010-04-26,0.02764,0.02208
2010-04-27,0.02418,0.01143
2010-04-28,0.02033,0.00716
2010-04-29,0.02593,0.01535
2010-04-30,0.02943,0.01183
2010-05-03,0.02905,0.01450
2010-05-04,0.02285,0.00285
2010-05-05,0.01911,-0.00433
2010-05-06,0.01898,-0.01249
2010-05-07,0.00777,-0.02775
2010-05-10,0.01749,-0.00727
2010-05-11,0.01767,-0.01090
2010-05-12,0.02229,0.00025
2010-05-13,0.01965,-0.00647
2010-05-14,0.01833,-0.01399
2010-05-17,0.01413,-0.01813
2010-05-18,0.00833,-0.02577
2010-05-19,0.00679,-0.02678
2010-05-20,-0.00117,-0.04026
2010-05-21,0.00407,-0.03334
2010-05-24,0.00407,-0.03334
2010-05-25,0.00493,-0.03707
2010-05-26,0.00343,-0.03737
2010-05-27,0.01131,-0.02221
2010-05-28,0.00817,-0.02878
2010-05-31,0.00843,-0.02971
2010-06-01,0.00421,-0.03715
2010-06-02,0.00670,-0.02837
2010-06-03,0.00763,-0.02480
2010-06-04,0.00255,-0.03796
2010-06-07,-0.00212,-0.04661
2010-06-08,-0.00288,-0.04718
2010-06-09,-0.00779,-0.05043
2010-06-10,-0.00123,-0.03735
2010-06-11,0.00289,-0.03330
2010-06-14,0.00183,-0.03298
2010-06-15,0.01127,-0.01962
2010-06-16,0.01209,-0.02042
2010-06-17,0.01781,-0.01760
2010-06-18,0.01477,-0.02035
2010-06-21,0.01635,-0.01945
2010-06-22,0.01267,-0.02799
2010-06-23,0.01994,-0.02354
2010-06-24,0.01588,-0.03324
2010-06-25,0.01725,-0.03291
2010-06-28,0.01438,-0.03634
2010-06-29,0.00857,-0.05182
2010-06-30,0.01266,-0.05196
2010-07-01,0.01266,-0.05196
2010-07-02,0.01106,-0.05784
2010-07-05,0.01189,-0.05876
2010-07-06,0.01138,-0.05551
2010-07-07,0.01512,-0.04118
2010-07-08,0.01268,-0.03840
2010-07-09,0.00945,-0.03661
2010-07-12,0.01142,-0.03556
2010-07-13,0.01379,-0.02748
2010-07-14,0.01530,-0.02696
2010-07-15,0.02081,-0.02200
2010-07-16,0.02161,-0.03228
2010-07-19,0.02237,-0.03086
2010-07-20,0.02132,-0.02947
2010-07-21,0.01970,-0.03506
2010-07-22,0.02302,-0.02407
2010-07-23,0.02433,-0.01900
2010-07-26,0.02540,-0.01582
2010-07-27,0.02507,-0.01638
2010-07-28,0.02672,-0.01877
2010-07-29,0.02852,-0.02000
2010-07-30,0.02834,-0.02327
2010-08-02,0.02834,-0.02327
2010-08-03,0.03524,-0.01311
2010-08-04,0.03311,-0.01277
2010-08-05,0.03384,-0.01488
2010-08-06,0.04089,-0.01070
2010-08-09,0.04190,-0.00750
2010-08-10,0.04259,-0.00981
2010-08-11,0.03898,-0.02569
2010-08-12,0.03581,-0.03050
2010-08-13,0.03518,-0.03245
2010-08-16,0.04179,-0.02867
2010-08-17,0.04051,-0.02439
2010-08-18,0.04068,-0.02392
2010-08-19,0.04247,-0.02719
2010-08-20,0.04482,-0.02613
2010-08-23,0.04607,-0.02706
2010-08-24,0.04670,-0.03398
2010-08-25,0.04886,-0.03156
2010-08-26,0.04821,-0.03474
2010-08-27,0.05032,-0.02460
2010-08-30,0.05199,-0.02739
2010-08-31,0.05751,-0.02332
2010-09-01,0.05724,-0.01249
2010-09-02,0.06018,-0.00634
2010-09-03,0.05683,-0.00608
2010-09-06,0.05683,-0.00608
2010-09-07,0.06078,-0.00787
2010-09-08,0.05462,-0.01007
2010-09-09,0.05158,-0.01020
2010-09-10,0.05379,-0.00603
2010-09-13,0.05656,-0.00131
2010-09-14,0.05947,0.00045
2010-09-15,0.05818,0.00092
2010-09-16,0.05718,-0.00000
2010-09-17,0.06088,0.00243
2010-09-20,0.06507,0.01059
2010-09-21,0.06624,0.00748
2010-09-22,0.07096,0.00636
2010-09-23,0.07118,0.00281
2010-09-24,0.07314,0.01246
2010-09-27,0.07424,0.01168
2010-09-28,0.08145,0.01752
2010-09-29,0.08377,0.02073
2010-09-30,0.08607,0.01622
2010-10-01,0.08562,0.01554
2010-10-04,0.08516,0.01158
2010-10-05,0.09318,0.02446
2010-10-06,0.09225,0.02327
2010-10-07,0.09419,0.02387
2010-10-08,0.09639,0.02584
2010-10-11,0.09639,0.02584
2010-10-12,0.09475,0.02702
2010-10-13,0.09742,0.03063
2010-10-14,0.09886,0.03004
2010-10-15,0.10012,0.03128
2010-10-18,0.10432,0.03538
2010-10-19,0.10230,0.03123
2010-10-20,0.10715,0.03532
2010-10-21,0.10533,0.03727
2010-10-22,0.10705,0.03865
2010-10-25,0.10824,0.03926
2010-10-26,0.10953,0.04002
2010-10-27,0.10525,0.03587
2010-10-28,0.10557,0.03401
2010-10-29,0.10640,0.03652
2010-11-01,0.10598,0.03520
2010-11-02,0.10724,0.03690
2010-11-03,0.10815,0.03800
2010-11-04,0.12117,0.05240
2010-11-05,0.12045,0.05280
2010-11-08,0.12457,0.05509
2010-11-09,0.11465,0.04878
2010-11-10,0.11321,0.04740
2010-11-11,0.10954,0.04617
2010-11-12,0.10208,0.03839
2010-11-15,0.09704,0.03636
2010-11-16,0.09313,0.02928
2010-11-17,0.09612,0.03314
2010-11-18,0.10586,0.04584
2010-11-19,0.10644,0.04751
2010-11-22,0.10689,0.04657
2010-11-23,0.09750,0.03505
2010-11-24,0.09619,0.03970
2010-11-25,0.09744,0.04059
2010-11-26,0.09745,0.03953
2010-11-29,0.09653,0.03755
2010-11-30,0.10080,0.03907
2010-12-01,0.10611,0.05157
