Date,Fund,benchmark
2015-08-18,-0.00459,-0.00393
2015-08-19,-0.00408,-0.00871
2015-08-20,-0.01795,-0.02574
2015-08-21,-0.02863,-0.04147
2015-08-24,-0.04087,-0.06504
2015-08-25,-0.04642,-0.06082
2015-08-26,-0.02800,-0.04466
2015-08-27,-0.02286,-0.03076
2015-08-28,-0.02377,-0.02904
2015-08-31,-0.03314,-0.03481
2015-09-01,-0.04478,-0.05293
2015-09-02,-0.03099,-0.04271
2015-09-03,-0.03656,-0.04318
2015-09-04,-0.03894,-0.05068
2015-09-07,-0.03894,-0.05068
2015-09-08,-0.02865,-0.03959
2015-09-09,-0.03424,-0.04202
2015-09-10,-0.03207,-0.04048
2015-09-11,-0.02630,-0.04010
2015-09-14,-0.02850,-0.04349
2015-09-15,-0.02353,-0.03859
2015-09-16,-0.02416,-0.03060
2015-09-17,-0.02291,-0.02926
2015-09-18,-0.02942,-0.03739
2015-09-21,-0.02680,-0.03336
2015-09-22,-0.03240,-0.04584
2015-09-23,-0.02736,-0.04659
2015-09-24,-0.03037,-0.05075
2015-09-25,-0.03213,-0.04879
2015-09-28,-0.04036,-0.06248
2015-09-29,-0.03706,-0.06151
2015-09-30,-0.03387,-0.04934
2015-10-01,-0.03602,-0.05239
2015-10-02,-0.03712,-0.04698
2015-10-05,-0.04282,-0.03683
2015-10-06,-0.04295,-0.03802
2015-10-07,-0.04316,-0.02892
2015-10-08,-0.04644,-0.02577
2015-10-09,-0.04887,-0.02874
2015-10-12,-0.04887,-0.02874
2015-10-13,-0.04276,-0.03161
2015-10-14,-0.04104,-0.03631
2015-10-15,-0.04630,-0.03115
2015-10-16,-0.04580,-0.02718
2015-10-19,-0.04256,-0.02408
2015-10-20,-0.04671,-0.02492
2015-10-21,-0.03860,-0.02304
2015-10-22,-0.04172,-0.01411
2015-10-23,-0.04339,-0.00558
2015-10-26,-0.04038,-0.00938
2015-10-27,-0.03525,-0.00943
2015-10-28,-0.04171,-0.00516
2015-10-29,-0.04520,-0.01005
2015-10-30,-0.04691,-0.01866
2015-11-02,-0.04728,-0.01118
2015-11-03,-0.05105,-0.01056
2015-11-04,-0.05048,-0.00827
2015-11-05,-0.05140,-0.00938
2015-11-06,-0.05350,-0.00666
2015-11-09,-0.05428,-0.01473
2015-11-10,-0.05358,-0.01615
2015-11-11,-0.05289,-0.01708
2015-11-12,-0.05072,-0.02596
2015-11-13,-0.04827,-0.03106
2015-11-16,-0.04857,-0.02085
2015-11-17,-0.04953,-0.02025
2015-11-18,-0.04891,-0.01242
2015-11-19,-0.04648,-0.01143
2015-11-20,-0.04634,-0.00924
2015-11-23,-0.04588,-0.01015
2015-11-24,-0.04703,-0.01262
2015-11-25,-0.04692,-0.01201
2015-11-26,-0.04646,-0.01051
2015-11-27,-0.04453,-0.00968
2015-11-30,-0.04566,-0.01036
2015-12-01,-0.04107,-0.00098
