Date,Fund,benchmark
2011-07-04,0.00384,0.00662
2011-07-05,0.00324,0.00850
2011-07-06,0.00435,0.00886
2011-07-07,0.00969,0.01065
2011-07-08,0.00911,0.00781
2011-07-11,0.00341,-0.00343
2011-07-12,0.00070,-0.00806
2011-07-13,-0.00390,-0.00445
2011-07-14,-0.00679,-0.00943
2011-07-15,-0.00380,-0.00785
2011-07-18,-0.00711,-0.01303
2011-07-19,-0.00362,-0.00733
2011-07-20,-0.00640,-0.00795
2011-07-21,-0.00082,-0.00143
2011-07-22,0.00586,0.00344
2011-07-25,0.00088,-0.00203
2011-07-26,-0.00049,-0.00583
2011-07-27,-0.01042,-0.01856
2011-07-28,-0.00994,-0.01785
2011-07-29,-0.00702,-0.01939
2011-08-01,-0.00702,-0.01939
2011-08-02,-0.02228,-0.03640
2011-08-03,-0.03373,-0.03357
2011-08-04,-0.05928,-0.06188
2011-08-05,-0.07170,-0.06936
2011-08-08,-0.11885,-0.10615
2011-08-09,-0.08132,-0.07952
2011-08-10,-0.08360,-0.08978
2011-08-11,-0.05605,-0.06657
2011-08-12,-0.05059,-0.06164
2011-08-15,-0.04334,-0.05388
2011-08-16,-0.05137,-0.06106
2011-08-17,-0.05129,-0.05944
2011-08-18,-0.06933,-0.08571
2011-08-19,-0.07965,-0.09716
2011-08-22,-0.07710,-0.09515
2011-08-23,-0.06091,-0.07713
2011-08-24,-0.06109,-0.07475
2011-08-25,-0.06825,-0.08355
2011-08-26,-0.06376,-0.07763
2011-08-29,-0.05326,-0.06587
2011-08-30,-0.04927,-0.06117
2011-08-31,-0.04799,-0.05417
2011-09-01,-0.05315,-0.06006
2011-09-02,-0.05888,-0.06816
2011-09-05,-0.05888,-0.06816
2011-09-06,-0.06045,-0.07428
2011-09-07,-0.04780,-0.05948
2011-09-08,-0.05063,-0.06357
2011-09-09,-0.06249,-0.07711
2011-09-12,-0.06581,-0.08333
2011-09-13,-0.06541,-0.08158
2011-09-14,-0.06059,-0.07364
2011-09-15,-0.04778,-0.06708
2011-09-16,-0.04258,-0.06959
2011-09-19,-0.05173,-0.07264
2011-09-20,-0.05035,-0.07110
2011-09-21,-0.06311,-0.08323
2011-09-22,-0.07109,-0.09794
2011-09-23,-0.06751,-0.09695
2011-09-26,-0.06140,-0.08628
2011-09-27,-0.05099,-0.07984
2011-09-28,-0.05552,-0.08857
2011-09-29,-0.05382,-0.08149
2011-09-30,-0.05113,-0.08894
2011-10-03,-0.04623,-0.10792
2011-10-04,-0.03890,-0.10153
2011-10-05,-0.05124,-0.09402
2011-10-06,-0.05472,-0.07904
2011-10-07,-0.05911,-0.08508
2011-10-10,-0.05911,-0.08508
2011-10-11,-0.06165,-0.06939
2011-10-12,-0.07268,-0.06565
2011-10-13,-0.06666,-0.06663
2011-10-14,-0.07536,-0.06028
2011-10-17,-0.06634,-0.06750
2011-10-18,-0.07099,-0.06043
2011-10-19,-0.06851,-0.06796
2011-10-20,-0.07113,-0.06980
2011-10-21,-0.07384,-0.06119
2011-10-24,-0.07627,-0.05064
2011-10-25,-0.06578,-0.05403
2011-10-26,-0.07411,-0.05200
2011-10-27,-0.08277,-0.03474
2011-10-28,-0.07984,-0.03486
2011-10-31,-0.08190,-0.05155
2011-11-01,-0.06679,-0.05863
2011-11-02,-0.06979,-0.04984
2011-11-03,-0.07284,-0.03863
2011-11-04,-0.06719,-0.03836
2011-11-07,-0.06843,-0.03755
2011-11-08,-0.07069,-0.03389
2011-11-09,-0.06620,-0.05327
2011-11-10,-0.06870,-0.05299
2011-11-11,-0.06839,-0.04181
2011-11-14,-0.06688,-0.04580
2011-11-15,-0.06802,-0.04256
2011-11-16,-0.06669,-0.05088
2011-11-17,-0.06267,-0.06166
2011-11-18,-0.06360,-0.06391
2011-11-21,-0.05730,-0.07129
2011-11-22,-0.05748,-0.07280
2011-11-23,-0.05564,-0.08474
2011-11-24,-0.05678,-0.08640
2011-11-25,-0.06171,-0.08895
2011-11-28,-0.06740,-0.07617
2011-11-29,-0.07120,-0.07417
2011-11-30,-0.07442,-0.04960
2011-12-01,-0.07528,-0.05441
2011-12-02,-0.07363,-0.05340
2011-12-05,-0.07021,-0.04845
2011-12-06,-0.07508,-0.05292
2011-12-07,-0.07345,-0.05059
2011-12-08,-0.06847,-0.06017
2011-12-09,-0.06988,-0.05283
2011-12-12,-0.06664,-0.06137
2011-12-13,-0.06305,-0.06536
2011-12-14,-0.05878,-0.07365
2011-12-15,-0.05948,-0.07439
2011-12-16,-0.05495,-0.06886
2011-12-19,-0.05420,-0.07571
2011-12-20,-0.05914,-0.06247
2011-12-21,-0.06314,-0.06360
2011-12-22,-0.06678,-0.05897
2011-12-23,-0.06810,-0.06583
2011-12-26,-0.06810,-0.06583
2011-12-27,-0.06810,-0.06583
2011-12-28,-0.06518,-0.07306
2011-12-29,-0.06580,-0.06739
2011-12-30,-0.06580,-0.06683
2012-01-02,-0.06580,-0.06683
2012-01-03,-0.05738,-0.05735
2012-01-04,-0.06154,-0.05638
2012-01-05,-0.05182,-0.05316
2012-01-06,-0.05119,-0.05216
2012-01-09,-0.05208,-0.05182
2012-01-10,-0.05095,-0.04837
2012-01-11,-0.04149,-0.04741
2012-01-12,-0.04004,-0.04590
2012-01-13,-0.03800,-0.04786
2012-01-16,-0.03568,-0.04899
2012-01-17,-0.03037,-0.04735
2012-01-18,-0.02959,-0.04074
2012-01-19,-0.02579,-0.03722
2012-01-20,-0.02278,-0.03703
2012-01-23,-0.02733,-0.03609
2012-01-24,-0.02726,-0.03801
2012-01-25,-0.03044,-0.03307
2012-01-26,-0.03004,-0.03736
2012-01-27,-0.02853,-0.03647
2012-01-30,-0.02997,-0.03906
2012-01-31,-0.02733,-0.03714
2012-02-01,-0.01922,-0.03136
