Date,Fund,benchmark
2008-09-02,-0.01204,-0.01197
2008-09-03,-0.01982,-0.02068
2008-09-04,-0.02904,-0.04048
2008-09-05,-0.02703,-0.04128
2008-09-08,-0.03586,-0.03552
2008-09-09,-0.04927,-0.05939
2008-09-10,-0.03948,-0.04878
2008-09-11,-0.03373,-0.03829
2008-09-12,-0.03461,-0.03960
2008-09-15,-0.04342,-0.06705
2008-09-16,-0.04095,-0.06100
2008-09-17,-0.04953,-0.09050
2008-09-18,-0.04578,-0.07508
2008-09-19,-0.03379,-0.04646
2008-09-22,-0.04485,-0.07441
2008-09-23,-0.04694,-0.08263
2008-09-24,-0.04723,-0.08171
2008-09-25,-0.04812,-0.07423
2008-09-26,-0.05919,-0.08353
2008-09-29,-0.08014,-0.13606
2008-09-30,-0.07570,-0.09997
2008-10-01,-0.07480,-0.10339
2008-10-02,-0.06795,-0.13012
2008-10-03,-0.06366,-0.13575
2008-10-06,-0.04103,-0.15702
2008-10-07,-0.04547,-0.18293
2008-10-08,-0.03736,-0.18135
2008-10-09,-0.03090,-0.20965
2008-10-10,-0.01877,-0.21537
2008-10-13,-0.01877,-0.21537
2008-10-14,-0.04326,-0.16687
2008-10-15,-0.02838,-0.21105
2008-10-16,-0.02161,-0.19339
2008-10-17,-0.02669,-0.19386
2008-10-20,-0.02419,-0.15769
2008-10-21,-0.01349,-0.17390
2008-10-22,0.00727,-0.19551
2008-10-23,0.01436,-0.19051
2008-10-24,0.02714,-0.20672
2008-10-27,0.03206,-0.23241
2008-10-28,0.02461,-0.18302
2008-10-29,-0.00273,-0.19511
2008-10-30,-0.00609,-0.17249
2008-10-31,-0.01775,-0.16918
2008-11-03,-0.02817,-0.17779
2008-11-04,-0.04181,-0.16208
2008-11-05,-0.03699,-0.18209
2008-11-06,-0.02635,-0.20233
2008-11-07,-0.02739,-0.18883
2008-11-10,-0.01991,-0.18823
2008-11-11,-0.01410,-0.20047
2008-11-12,0.00306,-0.21966
2008-11-13,0.00033,-0.19254
2008-11-14,-0.00172,-0.21130
2008-11-17,0.00478,-0.22454
2008-11-18,-0.00031,-0.21835
2008-11-19,0.00985,-0.24220
2008-11-20,0.04460,-0.26871
2008-11-21,0.03842,-0.24421
2008-11-24,0.01096,-0.22772
2008-11-25,0.01862,-0.22565
2008-11-26,0.02256,-0.20885
2008-11-27,0.02397,-0.20729
2008-11-28,0.02623,-0.19444
2008-12-01,0.03507,-0.24146
2008-12-02,0.03925,-0.22442
2008-12-03,0.04503,-0.21811
2008-12-04,0.05240,-0.22721
2008-12-05,0.06921,-0.21637
2008-12-08,0.04619,-0.19911
2008-12-09,0.04851,-0.20727
2008-12-10,0.04725,-0.19659
2008-12-11,0.03686,-0.21821
2008-12-12,0.04640,-0.21015
2008-12-15,0.05270,-0.21954
2008-12-16,0.05428,-0.20385
2008-12-17,0.06261,-0.20817
2008-12-18,0.06002,-0.21843
2008-12-19,0.06366,-0.21805
2008-12-22,0.06187,-0.23052
2008-12-23,0.05903,-0.23202
2008-12-24,0.05969,-0.22997
2008-12-25,0.05969,-0.22997
2008-12-26,0.05969,-0.22997
2008-12-29,0.07261,-0.22000
2008-12-30,0.07177,-0.20741
2008-12-31,0.07177,-0.20163
2009-01-01,0.07177,-0.20163
2009-01-02,0.06242,-0.18872
2009-01-05,0.05291,-0.19652
2009-01-06,0.04955,-0.19311
2009-01-07,0.05365,-0.20611
2009-01-08,0.05602,-0.20591
2009-01-09,0.06301,-0.21403
2009-01-12,0.06653,-0.22046
2009-01-13,0.06987,-0.21569
2009-01-14,0.08038,-0.22619
2009-01-15,0.08048,-0.21943
2009-01-16,0.07467,-0.21696
2009-01-19,0.07155,-0.22027
2009-01-20,0.07264,-0.24108
2009-01-21,0.07298,-0.22490
2009-01-22,0.06972,-0.23537
2009-01-23,0.06345,-0.23737
2009-01-26,0.05643,-0.23593
2009-01-27,0.06013,-0.22926
2009-01-28,0.05608,-0.21634
2009-01-29,0.05207,-0.22972
2009-01-30,0.05477,-0.23557
