Date,Fund,benchmark
2015-08-18,-0.00462,-0.00393
2015-08-19,-0.00539,-0.00871
2015-08-20,-0.01267,-0.02574
2015-08-21,-0.03141,-0.04147
2015-08-24,-0.06509,-0.06504
2015-08-25,-0.06581,-0.06082
2015-08-26,-0.06298,-0.04466
2015-08-27,-0.04395,-0.03076
2015-08-28,-0.03528,-0.02904
2015-08-31,-0.04226,-0.03481
2015-09-01,-0.05993,-0.05293
2015-09-02,-0.05555,-0.04271
2015-09-03,-0.05650,-0.04318
2015-09-04,-0.06353,-0.05068
2015-09-07,-0.06353,-0.05068
2015-09-08,-0.05577,-0.03959
2015-09-09,-0.05899,-0.04202
2015-09-10,-0.06117,-0.04048
2015-09-11,-0.06008,-0.04010
2015-09-14,-0.06454,-0.04349
2015-09-15,-0.06193,-0.03859
2015-09-16,-0.04912,-0.03060
2015-09-17,-0.04486,-0.02926
2015-09-18,-0.05121,-0.03739
2015-09-21,-0.05102,-0.03336
2015-09-22,-0.06587,-0.04584
2015-09-23,-0.06567,-0.04659
2015-09-24,-0.06236,-0.05075
2015-09-25,-0.05985,-0.04879
2015-09-28,-0.07703,-0.06248
2015-09-29,-0.07987,-0.06151
2015-09-30,-0.07827,-0.04934
2015-10-01,-0.07994,-0.05239
2015-10-02,-0.07235,-0.04698
2015-10-05,-0.06528,-0.03683
2015-10-06,-0.06281,-0.03802
2015-10-07,-0.05894,-0.02892
2015-10-08,-0.05840,-0.02577
2015-10-09,-0.05657,-0.02874
2015-10-12,-0.05657,-0.02874
2015-10-13,-0.05868,-0.03161
2015-10-14,-0.05659,-0.03631
2015-10-15,-0.05540,-0.03115
2015-10-16,-0.05475,-0.02718
2015-10-19,-0.05656,-0.02408
2015-10-20,-0.05606,-0.02492
2015-10-21,-0.05528,-0.02304
2015-10-22,-0.04869,-0.01411
2015-10-23,-0.04290,-0.00558
2015-10-26,-0.04565,-0.00938
2015-10-27,-0.04542,-0.00943
2015-10-28,-0.04421,-0.00516
2015-10-29,-0.04990,-0.01005
2015-10-30,-0.05451,-0.01866
2015-11-02,-0.05244,-0.01118
2015-11-03,-0.05258,-0.01056
2015-11-04,-0.05335,-0.00827
2015-11-05,-0.05608,-0.00938
2015-11-06,-0.05764,-0.00666
2015-11-09,-0.05961,-0.01473
2015-11-10,-0.06053,-0.01615
2015-11-11,-0.05995,-0.01708
2015-11-12,-0.06499,-0.02596
2015-11-13,-0.06602,-0.03106
2015-11-16,-0.06147,-0.02085
2015-11-17,-0.06181,-0.02025
2015-11-18,-0.05652,-0.01242
2015-11-19,-0.05340,-0.01143
2015-11-20,-0.05412,-0.00924
2015-11-23,-0.05517,-0.01015
2015-11-24,-0.05513,-0.01262
2015-11-25,-0.05414,-0.01201
2015-11-26,-0.05215,-0.01051
2015-11-27,-0.05312,-0.00968
2015-11-30,-0.05258,-0.01036
2015-12-01,-0.04644,-0.00098
