Date,Fund,benchmark
2011-07-04,0.00483,0.00662
2011-07-05,0.00986,0.00850
2011-07-06,0.01491,0.00886
2011-07-07,0.01584,0.01065
2011-07-08,0.01450,0.00781
2011-07-11,0.00546,-0.00343
2011-07-12,0.00794,-0.00806
2011-07-13,0.01683,-0.00445
2011-07-14,0.01117,-0.00943
2011-07-15,0.01349,-0.00785
2011-07-18,0.01375,-0.01303
2011-07-19,0.01056,-0.00733
2011-07-20,0.01305,-0.00795
2011-07-21,0.01589,-0.00143
2011-07-22,0.02295,0.00344
2011-07-25,0.01776,-0.00203
2011-07-26,0.01405,-0.00583
2011-07-27,0.00116,-0.01856
2011-07-28,-0.00084,-0.01785
2011-07-29,-0.00454,-0.01939
2011-08-01,-0.00454,-0.01939
2011-08-02,-0.00858,-0.03640
2011-08-03,-0.01040,-0.03357
2011-08-04,-0.03547,-0.06188
2011-08-05,-0.04980,-0.06936
2011-08-08,-0.07058,-0.10615
2011-08-09,-0.05402,-0.07952
2011-08-10,-0.05075,-0.08978
2011-08-11,-0.03853,-0.06657
2011-08-12,-0.03522,-0.06164
2011-08-15,-0.02630,-0.05388
2011-08-16,-0.03077,-0.06106
2011-08-17,-0.02758,-0.05944
2011-08-18,-0.04569,-0.08571
2011-08-19,-0.05007,-0.09716
2011-08-22,-0.04123,-0.09515
2011-08-23,-0.03784,-0.07713
2011-08-24,-0.04356,-0.07475
2011-08-25,-0.04244,-0.08355
2011-08-26,-0.03647,-0.07763
2011-08-29,-0.03145,-0.06587
2011-08-30,-0.02098,-0.06117
2011-08-31,-0.01628,-0.05417
2011-09-01,-0.01700,-0.06006
2011-09-02,-0.01835,-0.06816
2011-09-05,-0.01835,-0.06816
2011-09-06,-0.02406,-0.07428
2011-09-07,-0.01408,-0.05948
2011-09-08,-0.00789,-0.06357
2011-09-09,-0.01892,-0.07711
2011-09-12,-0.03257,-0.08333
2011-09-13,-0.03005,-0.08158
2011-09-14,-0.02820,-0.07364
2011-09-15,-0.02460,-0.06708
2011-09-16,-0.02013,-0.06959
2011-09-19,-0.02595,-0.07264
2011-09-20,-0.01811,-0.07110
2011-09-21,-0.02798,-0.08323
2011-09-22,-0.05482,-0.09794
2011-09-23,-0.06643,-0.09695
2011-09-26,-0.06078,-0.08628
2011-09-27,-0.05146,-0.07984
2011-09-28,-0.06465,-0.08857
2011-09-29,-0.06300,-0.08149
2011-09-30,-0.06031,-0.08894
2011-10-03,-0.06907,-0.10792
2011-10-04,-0.07147,-0.10153
2011-10-05,-0.06507,-0.09402
2011-10-06,-0.05526,-0.07904
2011-10-07,-0.05916,-0.08508
2011-10-10,-0.05916,-0.08508
2011-10-11,-0.05085,-0.06939
2011-10-12,-0.04952,-0.06565
2011-10-13,-0.05085,-0.06663
2011-10-14,-0.04813,-0.06028
2011-10-17,-0.05041,-0.06750
2011-10-18,-0.04863,-0.06043
2011-10-19,-0.05411,-0.06796
2011-10-20,-0.05680,-0.06980
2011-10-21,-0.05253,-0.06119
2011-10-24,-0.04576,-0.05064
2011-10-25,-0.04349,-0.05403
2011-10-26,-0.04371,-0.05200
2011-10-27,-0.03556,-0.03474
2011-10-28,-0.03282,-0.03486
2011-10-31,-0.04007,-0.05155
2011-11-01,-0.04152,-0.05863
2011-11-02,-0.03743,-0.04984
2011-11-03,-0.03113,-0.03863
2011-11-04,-0.03060,-0.03836
2011-11-07,-0.02890,-0.03755
2011-11-08,-0.02855,-0.03389
2011-11-09,-0.03643,-0.05327
2011-11-10,-0.03872,-0.05299
2011-11-11,-0.03194,-0.04181
2011-11-14,-0.03347,-0.04580
2011-11-15,-0.03355,-0.04256
2011-11-16,-0.03738,-0.05088
2011-11-17,-0.04508,-0.06166
2011-11-18,-0.04784,-0.06391
2011-11-21,-0.05351,-0.07129
2011-11-22,-0.05311,-0.07280
2011-11-23,-0.06133,-0.08474
2011-11-24,-0.06387,-0.08640
2011-11-25,-0.06532,-0.08895
2011-11-28,-0.05730,-0.07617
2011-11-29,-0.05597,-0.07417
2011-11-30,-0.04134,-0.04960
2011-12-01,-0.04194,-0.05441
2011-12-02,-0.04098,-0.05340
2011-12-05,-0.03840,-0.04845
2011-12-06,-0.03991,-0.05292
2011-12-07,-0.03781,-0.05059
2011-12-08,-0.04303,-0.06017
2011-12-09,-0.04076,-0.05283
2011-12-12,-0.04509,-0.06137
2011-12-13,-0.04858,-0.06536
2011-12-14,-0.05504,-0.07365
2011-12-15,-0.05582,-0.07439
2011-12-16,-0.05077,-0.06886
2011-12-19,-0.05495,-0.07571
2011-12-20,-0.04788,-0.06247
2011-12-21,-0.04862,-0.06360
2011-12-22,-0.04749,-0.05897
2011-12-23,-0.05690,-0.06583
2011-12-26,-0.05690,-0.06583
2011-12-27,-0.05690,-0.06583
2011-12-28,-0.06142,-0.07306
2011-12-29,-0.05784,-0.06739
2011-12-30,-0.05784,-0.06683
2012-01-02,-0.05784,-0.06683
2012-01-03,-0.05040,-0.05735
2012-01-04,-0.05000,-0.05638
2012-01-05,-0.04937,-0.05316
2012-01-06,-0.04915,-0.05216
2012-01-09,-0.04968,-0.05182
2012-01-10,-0.04598,-0.04837
2012-01-11,-0.04504,-0.04741
2012-01-12,-0.04480,-0.04590
2012-01-13,-0.04480,-0.04786
2012-01-16,-0.04502,-0.04899
2012-01-17,-0.04336,-0.04735
2012-01-18,-0.04116,-0.04074
2012-01-19,-0.03849,-0.03722
2012-01-20,-0.03807,-0.03703
2012-01-23,-0.03678,-0.03609
2012-01-24,-0.03881,-0.03801
2012-01-25,-0.03464,-0.03307
2012-01-26,-0.03424,-0.03736
2012-01-27,-0.03440,-0.03647
2012-01-30,-0.03619,-0.03906
2012-01-31,-0.03490,-0.03714
2012-02-01,-0.03110,-0.03136
