Date,Fund,benchmark
2016-06-02,0.00258,0.00435
2016-06-03,0.01768,0.00053
2016-06-06,0.01791,-0.00189
2016-06-07,0.01724,0.00169
2016-06-08,0.02171,-0.00066
2016-06-09,0.02454,-0.00460
2016-06-10,0.01717,-0.01465
2016-06-13,0.01311,-0.01932
2016-06-14,0.00508,-0.02353
2016-06-15,0.01633,-0.01875
2016-06-16,0.00992,-0.01781
2016-06-17,0.00966,-0.02033
2016-06-20,0.01522,-0.01461
2016-06-21,0.01080,-0.01234
2016-06-22,0.01426,-0.01093
2016-06-23,0.01620,-0.00363
2016-06-24,0.01721,-0.02499
2016-06-27,0.01620,-0.03663
2016-06-28,0.02039,-0.02385
2016-06-29,0.03106,-0.01387
2016-06-30,0.03199,-0.00754
2016-07-01,0.03199,-0.00754
