Date,Fund,benchmark
2010-01-04,0.00920,0.01016
2010-01-05,0.01137,0.01262
2010-01-06,0.01401,0.01218
2010-01-07,0.01400,0.01298
2010-01-08,0.01865,0.01689
2010-01-11,0.02135,0.01803
2010-01-12,0.01404,0.01096
2010-01-13,0.01496,0.01211
2010-01-14,0.01347,0.01047
2010-01-15,0.00904,0.00396
2010-01-18,0.01066,0.00502
2010-01-19,0.01434,0.01169
2010-01-20,0.00731,0.00792
2010-01-21,-0.00638,-0.00545
2010-01-22,-0.01262,-0.01721
2010-01-25,-0.01434,-0.01334
2010-01-26,-0.01401,-0.01490
2010-01-27,-0.01794,-0.01462
2010-01-28,-0.02225,-0.02183
2010-01-29,-0.02970,-0.02926
2010-02-01,-0.01751,-0.01903
2010-02-02,-0.01198,-0.01183
2010-02-03,-0.01456,-0.01432
2010-02-04,-0.03272,-0.03427
2010-02-05,-0.02971,-0.03457
2010-02-08,-0.03404,-0.03994
2010-02-09,-0.02659,-0.03105
2010-02-10,-0.02820,-0.03395
2010-02-11,-0.02202,-0.03077
2010-02-12,-0.02187,-0.03176
2010-02-15,-0.02187,-0.03176
2010-02-16,-0.01332,-0.02294
2010-02-17,-0.00966,-0.01954
2010-02-18,-0.00667,-0.01637
2010-02-19,-0.00802,-0.01648
2010-02-22,-0.00963,-0.01661
2010-02-23,-0.01421,-0.01985
2010-02-24,-0.01414,-0.01703
2010-02-25,-0.00971,-0.01358
2010-02-26,-0.00765,-0.01414
2010-03-01,-0.00297,-0.01022
2010-03-02,0.00235,-0.00796
2010-03-03,0.00407,-0.00749
2010-03-04,0.00101,-0.00785
2010-03-05,0.00946,0.00324
2010-03-08,0.00805,0.00113
2010-03-09,0.00679,-0.00028
2010-03-10,0.00730,0.00273
2010-03-11,0.00890,0.00407
2010-03-12,0.00836,0.00298
2010-03-15,0.00746,0.00115
2010-03-16,0.01414,0.00623
2010-03-17,0.01542,0.00762
2010-03-18,0.01326,0.00515
2010-03-19,0.00959,0.00066
2010-03-22,0.01140,0.00467
2010-03-23,0.01525,0.00932
2010-03-24,0.00989,0.00666
2010-03-25,0.00883,0.00463
2010-03-26,0.01296,0.00793
2010-03-29,0.01602,0.01038
2010-03-30,0.01414,0.00973
2010-03-31,0.01623,0.00700
2010-04-01,0.02569,0.01249
2010-04-02,0.02569,0.01249
2010-04-05,0.03022,0.01376
2010-04-06,0.03109,0.01337
2010-04-07,0.03544,0.01122
2010-04-08,0.03377,0.01104
2010-04-09,0.04276,0.01712
2010-04-12,0.04011,0.01689
2010-04-13,0.03650,0.01548
2010-04-14,0.04399,0.02258
2010-04-15,0.04614,0.02493
