Date,Fund,benchmark
2008-09-02,-0.01304,-0.01197
2008-09-03,-0.02273,-0.02068
2008-09-04,-0.03843,-0.04048
2008-09-05,-0.04265,-0.04128
2008-09-08,-0.03959,-0.03552
2008-09-09,-0.06210,-0.05939
2008-09-10,-0.05647,-0.04878
2008-09-11,-0.05531,-0.03829
2008-09-12,-0.04640,-0.03960
2008-09-15,-0.06779,-0.06705
2008-09-16,-0.06990,-0.06100
2008-09-17,-0.07599,-0.09050
2008-09-18,-0.07297,-0.07508
2008-09-19,-0.04334,-0.04646
2008-09-22,-0.04979,-0.07441
2008-09-23,-0.05877,-0.08263
2008-09-24,-0.05741,-0.08171
2008-09-25,-0.05779,-0.07423
2008-09-26,-0.06633,-0.08353
2008-09-29,-0.09560,-0.13606
2008-09-30,-0.09058,-0.09997
2008-10-01,-0.08809,-0.10339
2008-10-02,-0.10154,-0.13012
2008-10-03,-0.09989,-0.13575
2008-10-06,-0.11021,-0.15702
2008-10-07,-0.11665,-0.18293
2008-10-08,-0.11780,-0.18135
2008-10-09,-0.12668,-0.20965
2008-10-10,-0.14637,-0.21537
2008-10-13,-0.14637,-0.21537
2008-10-14,-0.12597,-0.16687
2008-10-15,-0.14135,-0.21105
2008-10-16,-0.14898,-0.19339
2008-10-17,-0.14438,-0.19386
2008-10-20,-0.12975,-0.15769
2008-10-21,-0.13471,-0.17390
2008-10-22,-0.14662,-0.19551
2008-10-23,-0.14830,-0.19051
2008-10-24,-0.15325,-0.20672
2008-10-27,-0.16404,-0.23241
2008-10-28,-0.15001,-0.18302
2008-10-29,-0.14380,-0.19511
2008-10-30,-0.13479,-0.17249
2008-10-31,-0.13866,-0.16918
2008-11-03,-0.13888,-0.17779
2008-11-04,-0.12638,-0.16208
2008-11-05,-0.12845,-0.18209
2008-11-06,-0.13773,-0.20233
2008-11-07,-0.13451,-0.18883
2008-11-10,-0.13061,-0.18823
2008-11-11,-0.13829,-0.20047
2008-11-12,-0.14534,-0.21966
2008-11-13,-0.14102,-0.19254
2008-11-14,-0.14365,-0.21130
2008-11-17,-0.14834,-0.22454
2008-11-18,-0.14770,-0.21835
2008-11-19,-0.15390,-0.24220
2008-11-20,-0.15925,-0.26871
2008-11-21,-0.15058,-0.24421
2008-11-24,-0.14397,-0.22772
2008-11-25,-0.14026,-0.22565
2008-11-26,-0.13366,-0.20885
2008-11-27,-0.13015,-0.20729
2008-11-28,-0.12261,-0.19444
2008-12-01,-0.13718,-0.24146
2008-12-02,-0.13191,-0.22442
2008-12-03,-0.13156,-0.21811
2008-12-04,-0.13245,-0.22721
2008-12-05,-0.13411,-0.21637
2008-12-08,-0.12472,-0.19911
2008-12-09,-0.12475,-0.20727
2008-12-10,-0.11779,-0.19659
2008-12-11,-0.12245,-0.21821
2008-12-12,-0.12087,-0.21015
2008-12-15,-0.11923,-0.21954
2008-12-16,-0.11086,-0.20385
2008-12-17,-0.10765,-0.20817
2008-12-18,-0.10998,-0.21843
2008-12-19,-0.10703,-0.21805
2008-12-22,-0.11155,-0.23052
2008-12-23,-0.11048,-0.23202
2008-12-24,-0.11046,-0.22997
2008-12-25,-0.11046,-0.22997
2008-12-26,-0.11046,-0.22997
2008-12-29,-0.09828,-0.22000
2008-12-30,-0.09519,-0.20741
2008-12-31,-0.09519,-0.20163
2009-01-01,-0.09519,-0.20163
2009-01-02,-0.09291,-0.18872
2009-01-05,-0.09574,-0.19652
2009-01-06,-0.09493,-0.19311
2009-01-07,-0.09824,-0.20611
2009-01-08,-0.09936,-0.20591
2009-01-09,-0.09860,-0.21403
2009-01-12,-0.09843,-0.22046
2009-01-13,-0.09934,-0.21569
2009-01-14,-0.10089,-0.22619
2009-01-15,-0.10230,-0.21943
2009-01-16,-0.10167,-0.21696
2009-01-19,-0.10510,-0.22027
2009-01-20,-0.11066,-0.24108
2009-01-21,-0.10989,-0.22490
2009-01-22,-0.11417,-0.23537
2009-01-23,-0.11828,-0.23737
2009-01-26,-0.11916,-0.23593
2009-01-27,-0.11509,-0.22926
2009-01-28,-0.11165,-0.21634
2009-01-29,-0.11661,-0.22972
2009-01-30,-0.11950,-0.23557
