Date,Fund,benchmark
2015-08-18,-0.00432,-0.00393
2015-08-19,-0.00396,-0.00871
2015-08-20,-0.00946,-0.02574
2015-08-21,-0.02530,-0.04147
2015-08-24,-0.05407,-0.06504
2015-08-25,-0.05598,-0.06082
2015-08-26,-0.05451,-0.04466
2015-08-27,-0.03819,-0.03076
2015-08-28,-0.03042,-0.02904
2015-08-31,-0.03679,-0.03481
2015-09-01,-0.05155,-0.05293
2015-09-02,-0.04805,-0.04271
2015-09-03,-0.04924,-0.04318
2015-09-04,-0.05465,-0.05068
2015-09-07,-0.05465,-0.05068
2015-09-08,-0.04836,-0.03959
2015-09-09,-0.05185,-0.04202
2015-09-10,-0.05356,-0.04048
2015-09-11,-0.05233,-0.04010
2015-09-14,-0.05610,-0.04349
2015-09-15,-0.05469,-0.03859
2015-09-16,-0.04356,-0.03060
2015-09-17,-0.03929,-0.02926
2015-09-18,-0.04376,-0.03739
2015-09-21,-0.04433,-0.03336
2015-09-22,-0.05673,-0.04584
2015-09-23,-0.05666,-0.04659
2015-09-24,-0.05282,-0.05075
2015-09-25,-0.05159,-0.04879
2015-09-28,-0.06619,-0.06248
2015-09-29,-0.06828,-0.06151
2015-09-30,-0.06727,-0.04934
2015-10-01,-0.07136,-0.05239
2015-10-02,-0.05690,-0.04698
2015-10-05,-0.04489,-0.03683
2015-10-06,-0.03939,-0.03802
2015-10-07,-0.03389,-0.02892
2015-10-08,-0.03385,-0.02577
2015-10-09,-0.02920,-0.02874
2015-10-12,-0.02920,-0.02874
2015-10-13,-0.03431,-0.03161
2015-10-14,-0.02796,-0.03631
2015-10-15,-0.02608,-0.03115
2015-10-16,-0.02702,-0.02718
2015-10-19,-0.03225,-0.02408
2015-10-20,-0.02801,-0.02492
2015-10-21,-0.02969,-0.02304
2015-10-22,-0.02076,-0.01411
2015-10-23,-0.01058,-0.00558
2015-10-26,-0.01731,-0.00938
2015-10-27,-0.01731,-0.00943
2015-10-28,-0.01613,-0.00516
2015-10-29,-0.02543,-0.01005
2015-10-30,-0.03227,-0.01866
2015-11-02,-0.02901,-0.01118
2015-11-03,-0.02948,-0.01056
2015-11-04,-0.03153,-0.00827
2015-11-05,-0.03684,-0.00938
2015-11-06,-0.03962,-0.00666
2015-11-09,-0.04034,-0.01473
2015-11-10,-0.04315,-0.01615
2015-11-11,-0.04117,-0.01708
2015-11-12,-0.04819,-0.02596
2015-11-13,-0.04923,-0.03106
2015-11-16,-0.04342,-0.02085
2015-11-17,-0.04646,-0.02025
2015-11-18,-0.03798,-0.01242
2015-11-19,-0.03313,-0.01143
2015-11-20,-0.03626,-0.00924
2015-11-23,-0.03801,-0.01015
2015-11-24,-0.03647,-0.01262
2015-11-25,-0.03555,-0.01201
2015-11-26,-0.03235,-0.01051
2015-11-27,-0.03507,-0.00968
2015-11-30,-0.03340,-0.01036
2015-12-01,-0.02509,-0.00098
