Date,Fund,benchmark
2016-06-02,0.00257,0.00435
2016-06-03,0.01625,0.00053
2016-06-06,0.01637,-0.00189
2016-06-07,0.01602,0.00169
2016-06-08,0.02002,-0.00066
2016-06-09,0.02240,-0.00460
2016-06-10,0.01513,-0.01465
2016-06-13,0.01100,-0.01932
2016-06-14,0.00330,-0.02353
2016-06-15,0.01388,-0.01875
2016-06-16,0.00785,-0.01781
2016-06-17,0.00758,-0.02033
2016-06-20,0.01315,-0.01461
2016-06-21,0.00923,-0.01234
2016-06-22,0.01245,-0.01093
2016-06-23,0.01459,-0.00363
2016-06-24,0.01424,-0.02499
2016-06-27,0.01283,-0.03663
2016-06-28,0.01735,-0.02385
2016-06-29,0.02786,-0.01387
2016-06-30,0.02878,-0.00754
2016-07-01,0.02878,-0.00754
