Date,Fund,benchmark
2010-01-04,0.00943,0.01016
2010-01-05,0.01162,0.01262
2010-01-06,0.01446,0.01218
2010-01-07,0.01444,0.01298
2010-01-08,0.01922,0.01689
2010-01-11,0.02203,0.01803
2010-01-12,0.01439,0.01096
2010-01-13,0.01547,0.01211
2010-01-14,0.01388,0.01047
2010-01-15,0.00934,0.00396
2010-01-18,0.01099,0.00502
2010-01-19,0.01470,0.01169
2010-01-20,0.00735,0.00792
2010-01-21,-0.00680,-0.00545
2010-01-22,-0.01303,-0.01721
2010-01-25,-0.01483,-0.01334
2010-01-26,-0.01449,-0.01490
2010-01-27,-0.01859,-0.01462
2010-01-28,-0.02295,-0.02183
2010-01-29,-0.03063,-0.02926
2010-02-01,-0.01798,-0.01903
2010-02-02,-0.01243,-0.01183
2010-02-03,-0.01506,-0.01432
2010-02-04,-0.03373,-0.03427
2010-02-05,-0.03039,-0.03457
2010-02-08,-0.03488,-0.03994
2010-02-09,-0.02715,-0.03105
2010-02-10,-0.02881,-0.03395
2010-02-11,-0.02235,-0.03077
2010-02-12,-0.02222,-0.03176
2010-02-15,-0.02222,-0.03176
2010-02-16,-0.01346,-0.02294
2010-02-17,-0.00981,-0.01954
2010-02-18,-0.00675,-0.01637
2010-02-19,-0.00818,-0.01648
2010-02-22,-0.00990,-0.01661
2010-02-23,-0.01471,-0.01985
2010-02-24,-0.01470,-0.01703
2010-02-25,-0.01005,-0.01358
2010-02-26,-0.00793,-0.01414
2010-03-01,-0.00316,-0.01022
2010-03-02,0.00233,-0.00796
2010-03-03,0.00414,-0.00749
2010-03-04,0.00091,-0.00785
2010-03-05,0.00948,0.00324
2010-03-08,0.00799,0.00113
2010-03-09,0.00667,-0.00028
2010-03-10,0.00710,0.00273
2010-03-11,0.00872,0.00407
2010-03-12,0.00819,0.00298
2010-03-15,0.00726,0.00115
2010-03-16,0.01412,0.00623
2010-03-17,0.01541,0.00762
2010-03-18,0.01316,0.00515
2010-03-19,0.00941,0.00066
2010-03-22,0.01121,0.00467
2010-03-23,0.01512,0.00932
2010-03-24,0.00952,0.00666
2010-03-25,0.00837,0.00463
2010-03-26,0.01267,0.00793
2010-03-29,0.01584,0.01038
2010-03-30,0.01383,0.00973
2010-03-31,0.01637,0.00700
2010-04-01,0.02425,0.01249
2010-04-02,0.02425,0.01249
2010-04-05,0.02733,0.01376
2010-04-06,0.02785,0.01337
2010-04-07,0.03078,0.01122
2010-04-08,0.02899,0.01104
2010-04-09,0.03665,0.01712
2010-04-12,0.03498,0.01689
2010-04-13,0.03197,0.01548
2010-04-14,0.03829,0.02258
2010-04-15,0.04037,0.02493
2010-04-16,0.03360,0.01636
2010-04-19,0.03285,0.01655
2010-04-20,0.03111,0.01358
2010-04-21,0.03236,0.01341
2010-04-22,0.03164,0.01563
2010-04-23,0.03827,0.02141
2010-04-26,0.04038,0.02208
2010-04-27,0.03567,0.01143
2010-04-28,0.03311,0.00716
2010-04-29,0.03939,0.01535
2010-04-30,0.04221,0.01183
2010-05-03,0.04060,0.01450
2010-05-04,0.03177,0.00285
2010-05-05,0.02805,-0.00433
2010-05-06,0.02646,-0.01249
2010-05-07,0.01108,-0.02775
2010-05-10,0.02897,-0.00727
2010-05-11,0.03832,-0.01090
2010-05-12,0.04685,0.00025
2010-05-13,0.04127,-0.00647
2010-05-14,0.03591,-0.01399
2010-05-17,0.02750,-0.01813
2010-05-18,0.02472,-0.02577
2010-05-19,0.01257,-0.02678
2010-05-20,-0.00153,-0.04026
2010-05-21,0.00158,-0.03334
2010-05-24,0.00158,-0.03334
2010-05-25,0.00574,-0.03707
2010-05-26,0.00832,-0.03737
2010-05-27,0.01949,-0.02221
2010-05-28,0.01590,-0.02878
2010-05-31,0.01493,-0.02971
2010-06-01,0.01103,-0.03715
2010-06-02,0.01490,-0.02837
2010-06-03,0.01564,-0.02480
2010-06-04,0.00764,-0.03796
2010-06-07,0.00498,-0.04661
2010-06-08,0.00512,-0.04718
2010-06-09,0.00104,-0.05043
2010-06-10,0.00709,-0.03735
2010-06-11,0.01288,-0.03330
2010-06-14,0.01027,-0.03298
2010-06-15,0.02079,-0.01962
2010-06-16,0.02357,-0.02042
2010-06-17,0.03091,-0.01760
2010-06-18,0.03293,-0.02035
2010-06-21,0.02971,-0.01945
2010-06-22,0.02455,-0.02799
2010-06-23,0.02618,-0.02354
2010-06-24,0.02048,-0.03324
2010-06-25,0.02314,-0.03291
2010-06-28,0.01945,-0.03634
2010-06-29,0.00532,-0.05182
2010-06-30,0.00757,-0.05196
2010-07-01,0.00757,-0.05196
2010-07-02,-0.00448,-0.05784
2010-07-05,-0.00799,-0.05876
2010-07-06,-0.00565,-0.05551
2010-07-07,0.00511,-0.04118
2010-07-08,0.00626,-0.03840
2010-07-09,0.01124,-0.03661
2010-07-12,0.01123,-0.03556
2010-07-13,0.01649,-0.02748
2010-07-14,0.01729,-0.02696
2010-07-15,0.02043,-0.02200
2010-07-16,0.01236,-0.03228
2010-07-19,0.00949,-0.03086
2010-07-20,0.01162,-0.02947
2010-07-21,0.00921,-0.03506
2010-07-22,0.01861,-0.02407
2010-07-23,0.02182,-0.01900
2010-07-26,0.02260,-0.01582
2010-07-27,0.01990,-0.01638
2010-07-28,0.02126,-0.01877
2010-07-29,0.02211,-0.02000
2010-07-30,0.02175,-0.02327
2010-08-02,0.02175,-0.02327
2010-08-03,0.03116,-0.01311
2010-08-04,0.03500,-0.01277
