Date,Fund,benchmark
2008-09-02,-0.01302,-0.01197
2008-09-03,-0.02269,-0.02068
2008-09-04,-0.03837,-0.04048
2008-09-05,-0.04260,-0.04128
2008-09-08,-0.03953,-0.03552
2008-09-09,-0.06201,-0.05939
2008-09-10,-0.05639,-0.04878
2008-09-11,-0.05523,-0.03829
2008-09-12,-0.04634,-0.03960
2008-09-15,-0.06770,-0.06705
2008-09-16,-0.06982,-0.06100
2008-09-17,-0.07592,-0.09050
2008-09-18,-0.07291,-0.07508
2008-09-19,-0.04330,-0.04646
2008-09-22,-0.04976,-0.07441
2008-09-23,-0.05872,-0.08263
2008-09-24,-0.05737,-0.08171
2008-09-25,-0.05774,-0.07423
2008-09-26,-0.06627,-0.08353
2008-09-29,-0.09551,-0.13606
2008-09-30,-0.09309,-0.09997
2008-10-01,-0.08981,-0.10339
2008-10-02,-0.12543,-0.13012
2008-10-03,-0.12431,-0.13575
2008-10-06,-0.15158,-0.15702
2008-10-07,-0.16382,-0.18293
2008-10-08,-0.15682,-0.18135
2008-10-09,-0.17488,-0.20965
2008-10-10,-0.20810,-0.21537
2008-10-13,-0.20810,-0.21537
2008-10-14,-0.16299,-0.16687
2008-10-15,-0.19710,-0.21105
2008-10-16,-0.21203,-0.19339
2008-10-17,-0.20523,-0.19386
2008-10-20,-0.17437,-0.15769
2008-10-21,-0.18897,-0.17390
2008-10-22,-0.21846,-0.19551
2008-10-23,-0.22179,-0.19051
2008-10-24,-0.22861,-0.20672
2008-10-27,-0.25205,-0.23241
2008-10-28,-0.21882,-0.18302
2008-10-29,-0.20687,-0.19511
2008-10-30,-0.19059,-0.17249
2008-10-31,-0.19651,-0.16918
2008-11-03,-0.19903,-0.17779
2008-11-04,-0.17426,-0.16208
2008-11-05,-0.18284,-0.18209
2008-11-06,-0.20464,-0.20233
2008-11-07,-0.19623,-0.18883
2008-11-10,-0.18905,-0.18823
2008-11-11,-0.20522,-0.20047
2008-11-12,-0.22414,-0.21966
2008-11-13,-0.20689,-0.19254
2008-11-14,-0.21738,-0.21130
2008-11-17,-0.22928,-0.22454
2008-11-18,-0.22795,-0.21835
2008-11-19,-0.24372,-0.24220
2008-11-20,-0.26032,-0.26871
2008-11-21,-0.23363,-0.24421
2008-11-24,-0.21809,-0.22772
2008-11-25,-0.21669,-0.22565
2008-11-26,-0.20395,-0.20885
2008-11-27,-0.19730,-0.20729
2008-11-28,-0.18307,-0.19444
2008-12-01,-0.22401,-0.24146
2008-12-02,-0.21255,-0.22442
2008-12-03,-0.21200,-0.21811
2008-12-04,-0.21761,-0.22721
2008-12-05,-0.21802,-0.21637
2008-12-08,-0.19596,-0.19911
2008-12-09,-0.19712,-0.20727
2008-12-10,-0.18059,-0.19659
2008-12-11,-0.19225,-0.21821
2008-12-12,-0.18602,-0.21015
2008-12-15,-0.18446,-0.21954
2008-12-16,-0.16983,-0.20385
2008-12-17,-0.17091,-0.20817
2008-12-18,-0.18265,-0.21843
2008-12-19,-0.17550,-0.21805
2008-12-22,-0.18625,-0.23052
2008-12-23,-0.18370,-0.23202
2008-12-24,-0.18419,-0.22997
2008-12-25,-0.18419,-0.22997
2008-12-26,-0.18419,-0.22997
2008-12-29,-0.16270,-0.22000
2008-12-30,-0.15595,-0.20741
2008-12-31,-0.15595,-0.20163
2009-01-01,-0.15595,-0.20163
2009-01-02,-0.14767,-0.18872
2009-01-05,-0.15752,-0.19652
2009-01-06,-0.15037,-0.19311
2009-01-07,-0.16719,-0.20611
2009-01-08,-0.16323,-0.20591
2009-01-09,-0.16858,-0.21403
2009-01-12,-0.17988,-0.22046
2009-01-13,-0.17574,-0.21569
2009-01-14,-0.18852,-0.22619
2009-01-15,-0.18308,-0.21943
2009-01-16,-0.17468,-0.21696
2009-01-19,-0.17933,-0.22027
2009-01-20,-0.18918,-0.24108
2009-01-21,-0.18270,-0.22490
2009-01-22,-0.19130,-0.23537
2009-01-23,-0.18475,-0.23737
2009-01-26,-0.18517,-0.23593
2009-01-27,-0.18154,-0.22926
2009-01-28,-0.17712,-0.21634
2009-01-29,-0.17737,-0.22972
2009-01-30,-0.18085,-0.23557
