Date,Fund,benchmark
2015-08-18,-0.00404,-0.00393
2015-08-19,-0.00671,-0.00871
2015-08-20,-0.02531,-0.02574
2015-08-21,-0.04508,-0.04147
2015-08-24,-0.07024,-0.06504
2015-08-25,-0.07655,-0.06082
2015-08-26,-0.04988,-0.04466
2015-08-27,-0.03741,-0.03076
2015-08-28,-0.03734,-0.02904
2015-08-31,-0.04760,-0.03481
2015-09-01,-0.06617,-0.05293
2015-09-02,-0.04931,-0.04271
2015-09-03,-0.05336,-0.04318
2015-09-04,-0.06067,-0.05068
2015-09-07,-0.06067,-0.05068
2015-09-08,-0.04553,-0.03959
2015-09-09,-0.05374,-0.04202
2015-09-10,-0.05090,-0.04048
2015-09-11,-0.04576,-0.04010
2015-09-14,-0.04844,-0.04349
2015-09-15,-0.03996,-0.03859
2015-09-16,-0.03819,-0.03060
2015-09-17,-0.03950,-0.02926
2015-09-18,-0.04886,-0.03739
2015-09-21,-0.04443,-0.03336
2015-09-22,-0.05276,-0.04584
2015-09-23,-0.04913,-0.04659
2015-09-24,-0.05326,-0.05075
2015-09-25,-0.05416,-0.04879
2015-09-28,-0.06855,-0.06248
2015-09-29,-0.06615,-0.06151
2015-09-30,-0.06440,-0.04934
2015-10-01,-0.06651,-0.05239
2015-10-02,-0.06203,-0.04698
2015-10-05,-0.05644,-0.03683
2015-10-06,-0.06076,-0.03802
2015-10-07,-0.05533,-0.02892
2015-10-08,-0.05356,-0.02577
2015-10-09,-0.05645,-0.02874
2015-10-12,-0.05645,-0.02874
2015-10-13,-0.05470,-0.03161
2015-10-14,-0.06034,-0.03631
2015-10-15,-0.05616,-0.03115
2015-10-16,-0.05142,-0.02718
2015-10-19,-0.04654,-0.02408
2015-10-20,-0.05035,-0.02492
2015-10-21,-0.04540,-0.02304
2015-10-22,-0.03737,-0.01411
2015-10-23,-0.02908,-0.00558
2015-10-26,-0.02943,-0.00938
2015-10-27,-0.02590,-0.00943
2015-10-28,-0.02355,-0.00516
2015-10-29,-0.02616,-0.01005
2015-10-30,-0.03271,-0.01866
2015-11-02,-0.02555,-0.01118
2015-11-03,-0.02667,-0.01056
2015-11-04,-0.02434,-0.00827
2015-11-05,-0.02471,-0.00938
2015-11-06,-0.02049,-0.00666
2015-11-09,-0.02712,-0.01473
2015-11-10,-0.02614,-0.01615
2015-11-11,-0.02806,-0.01708
2015-11-12,-0.03509,-0.02596
2015-11-13,-0.03891,-0.03106
2015-11-16,-0.03014,-0.02085
2015-11-17,-0.03137,-0.02025
2015-11-18,-0.02172,-0.01242
2015-11-19,-0.02261,-0.01143
2015-11-20,-0.01844,-0.00924
2015-11-23,-0.01780,-0.01015
2015-11-24,-0.01970,-0.01262
2015-11-25,-0.01998,-0.01201
2015-11-26,-0.01988,-0.01051
2015-11-27,-0.01598,-0.00968
2015-11-30,-0.01921,-0.01036
2015-12-01,-0.01130,-0.00098
