Date,Fund,benchmark
2011-07-04,0.00737,0.00662
2011-07-05,0.00984,0.00850
2011-07-06,0.00991,0.00886
2011-07-07,0.01097,0.01065
2011-07-08,0.00826,0.00781
2011-07-11,-0.00349,-0.00343
2011-07-12,-0.00307,-0.00806
2011-07-13,0.00026,-0.00445
2011-07-14,-0.00498,-0.00943
2011-07-15,-0.00272,-0.00785
2011-07-18,-0.00589,-0.01303
2011-07-19,-0.00010,-0.00733
2011-07-20,-0.00096,-0.00795
2011-07-21,0.00629,-0.00143
2011-07-22,0.01106,0.00344
2011-07-25,0.00575,-0.00203
2011-07-26,-0.00257,-0.00583
2011-07-27,-0.01896,-0.01856
2011-07-28,-0.01827,-0.01785
2011-07-29,-0.02357,-0.01939
2011-08-01,-0.02357,-0.01939
2011-08-02,-0.03902,-0.03640
2011-08-03,-0.03398,-0.03357
2011-08-04,-0.06264,-0.06188
2011-08-05,-0.07390,-0.06936
2011-08-08,-0.11084,-0.10615
2011-08-09,-0.08098,-0.07952
2011-08-10,-0.08404,-0.08978
2011-08-11,-0.05840,-0.06657
2011-08-12,-0.05593,-0.06164
2011-08-15,-0.04673,-0.05388
2011-08-16,-0.05583,-0.06106
2011-08-17,-0.05346,-0.05944
2011-08-18,-0.08115,-0.08571
2011-08-19,-0.09352,-0.09716
2011-08-22,-0.09013,-0.09515
2011-08-23,-0.06945,-0.07713
2011-08-24,-0.06627,-0.07475
2011-08-25,-0.07299,-0.08355
2011-08-26,-0.06808,-0.07763
2011-08-29,-0.05388,-0.06587
2011-08-30,-0.04648,-0.06117
2011-08-31,-0.03889,-0.05417
2011-09-01,-0.04588,-0.06006
2011-09-02,-0.05455,-0.06816
2011-09-05,-0.05455,-0.06816
2011-09-06,-0.05878,-0.07428
2011-09-07,-0.04292,-0.05948
2011-09-08,-0.04645,-0.06357
2011-09-09,-0.06535,-0.07711
2011-09-12,-0.07594,-0.08333
2011-09-13,-0.07234,-0.08158
2011-09-14,-0.06321,-0.07364
2011-09-15,-0.05455,-0.06708
2011-09-16,-0.06137,-0.06959
2011-09-19,-0.06524,-0.07264
2011-09-20,-0.06275,-0.07110
2011-09-21,-0.07939,-0.08323
2011-09-22,-0.10082,-0.09794
2011-09-23,-0.10331,-0.09695
2011-09-26,-0.08588,-0.08628
2011-09-27,-0.07985,-0.07984
2011-09-28,-0.09290,-0.08857
2011-09-29,-0.08503,-0.08149
2011-09-30,-0.08106,-0.08894
2011-10-03,-0.08538,-0.10792
2011-10-04,-0.09372,-0.10153
2011-10-05,-0.08642,-0.09402
2011-10-06,-0.07997,-0.07904
2011-10-07,-0.08553,-0.08508
2011-10-10,-0.08553,-0.08508
2011-10-11,-0.08112,-0.06939
2011-10-12,-0.08223,-0.06565
2011-10-13,-0.08268,-0.06663
2011-10-14,-0.08184,-0.06028
2011-10-17,-0.08366,-0.06750
2011-10-18,-0.08335,-0.06043
2011-10-19,-0.09341,-0.06796
2011-10-20,-0.09562,-0.06980
2011-10-21,-0.09501,-0.06119
2011-10-24,-0.08828,-0.05064
2011-10-25,-0.07811,-0.05403
2011-10-26,-0.07978,-0.05200
2011-10-27,-0.07994,-0.03474
2011-10-28,-0.07466,-0.03486
2011-10-31,-0.07647,-0.05155
2011-11-01,-0.06857,-0.05863
2011-11-02,-0.06566,-0.04984
2011-11-03,-0.06099,-0.03863
2011-11-04,-0.06003,-0.03836
2011-11-07,-0.05548,-0.03755
2011-11-08,-0.05829,-0.03389
2011-11-09,-0.06115,-0.05327
2011-11-10,-0.06400,-0.05299
2011-11-11,-0.05921,-0.04181
2011-11-14,-0.06027,-0.04580
2011-11-15,-0.06056,-0.04256
2011-11-16,-0.06403,-0.05088
2011-11-17,-0.07331,-0.06166
2011-11-18,-0.07680,-0.06391
2011-11-21,-0.08109,-0.07129
2011-11-22,-0.07633,-0.07280
2011-11-23,-0.08182,-0.08474
2011-11-24,-0.08310,-0.08640
2011-11-25,-0.08657,-0.08895
2011-11-28,-0.08289,-0.07617
2011-11-29,-0.08308,-0.07417
2011-11-30,-0.07184,-0.04960
2011-12-01,-0.07269,-0.05441
2011-12-02,-0.07427,-0.05340
2011-12-05,-0.07512,-0.04845
2011-12-06,-0.07451,-0.05292
2011-12-07,-0.07316,-0.05059
2011-12-08,-0.07617,-0.06017
2011-12-09,-0.07695,-0.05283
2011-12-12,-0.08131,-0.06137
2011-12-13,-0.08801,-0.06536
2011-12-14,-0.09613,-0.07365
2011-12-15,-0.09708,-0.07439
2011-12-16,-0.08879,-0.06886
2011-12-19,-0.09296,-0.07571
2011-12-20,-0.08831,-0.06247
2011-12-21,-0.09011,-0.06360
2011-12-22,-0.09396,-0.05897
2011-12-23,-0.12917,-0.06583
2011-12-26,-0.12917,-0.06583
2011-12-27,-0.12917,-0.06583
2011-12-28,-0.13431,-0.07306
2011-12-29,-0.13130,-0.06739
2011-12-30,-0.13130,-0.06683
2012-01-02,-0.13130,-0.06683
2012-01-03,-0.12956,-0.05735
2012-01-04,-0.12924,-0.05638
2012-01-05,-0.12748,-0.05316
2012-01-06,-0.12600,-0.05216
2012-01-09,-0.12612,-0.05182
2012-01-10,-0.12533,-0.04837
2012-01-11,-0.12315,-0.04741
2012-01-12,-0.12369,-0.04590
2012-01-13,-0.12272,-0.04786
2012-01-16,-0.12250,-0.04899
2012-01-17,-0.12294,-0.04735
2012-01-18,-0.12406,-0.04074
2012-01-19,-0.12699,-0.03722
2012-01-20,-0.12800,-0.03703
2012-01-23,-0.12805,-0.03609
2012-01-24,-0.12969,-0.03801
2012-01-25,-0.12235,-0.03307
2012-01-26,-0.12045,-0.03736
2012-01-27,-0.11715,-0.03647
2012-01-30,-0.11656,-0.03906
2012-01-31,-0.11489,-0.03714
2012-02-01,-0.11516,-0.03136
