Date,Fund,benchmark
2016-06-02,0.00212,0.00435
2016-06-03,0.02510,0.00053
2016-06-06,0.02433,-0.00189
2016-06-07,0.02167,0.00169
2016-06-08,0.02915,-0.00066
2016-06-09,0.03653,-0.00460
2016-06-10,0.03421,-0.01465
2016-06-13,0.03379,-0.01932
2016-06-14,0.02753,-0.02353
2016-06-15,0.04072,-0.01875
2016-06-16,0.03453,-0.01781
2016-06-17,0.03326,-0.02033
2016-06-20,0.03345,-0.01461
2016-06-21,0.02536,-0.01234
2016-06-22,0.03010,-0.01093
2016-06-23,0.02728,-0.00363
2016-06-24,0.04902,-0.02499
2016-06-27,0.05807,-0.03663
2016-06-28,0.05733,-0.02385
2016-06-29,0.06222,-0.01387
2016-06-30,0.06321,-0.00754
2016-07-01,0.06321,-0.00754
