Date,Fund,benchmark
2010-01-04,0.01289,0.01016
2010-01-05,0.01568,0.01262
2010-01-06,0.01902,0.01218
2010-01-07,0.01772,0.01298
2010-01-08,0.02363,0.01689
2010-01-11,0.02418,0.01803
2010-01-12,0.01770,0.01096
2010-01-13,0.01561,0.01211
2010-01-14,0.01886,0.01047
2010-01-15,0.01231,0.00396
2010-01-18,0.01502,0.00502
2010-01-19,0.01684,0.01169
2010-01-20,0.00297,0.00792
2010-01-21,-0.00895,-0.00545
2010-01-22,-0.01869,-0.01721
2010-01-25,-0.02440,-0.01334
2010-01-26,-0.02559,-0.01490
2010-01-27,-0.03457,-0.01462
2010-01-28,-0.03938,-0.02183
2010-01-29,-0.04467,-0.02926
2010-02-01,-0.03393,-0.01903
2010-02-02,-0.02447,-0.01183
2010-02-03,-0.02669,-0.01432
2010-02-04,-0.04875,-0.03427
2010-02-05,-0.05929,-0.03457
2010-02-08,-0.05983,-0.03994
2010-02-09,-0.05550,-0.03105
2010-02-10,-0.05126,-0.03395
2010-02-11,-0.04569,-0.03077
2010-02-12,-0.04476,-0.03176
2010-02-15,-0.04476,-0.03176
2010-02-16,-0.03591,-0.02294
2010-02-17,-0.02587,-0.01954
2010-02-18,-0.02118,-0.01637
2010-02-19,-0.02142,-0.01648
2010-02-22,-0.02070,-0.01661
2010-02-23,-0.02882,-0.01985
2010-02-24,-0.03046,-0.01703
2010-02-25,-0.03444,-0.01358
2010-02-26,-0.02779,-0.01414
2010-03-01,-0.01681,-0.01022
2010-03-02,-0.00857,-0.00796
2010-03-03,-0.00271,-0.00749
2010-03-04,-0.00613,-0.00785
2010-03-05,0.00706,0.00324
2010-03-08,0.00975,0.00113
2010-03-09,0.00864,-0.00028
2010-03-10,0.01196,0.00273
2010-03-11,0.01249,0.00407
2010-03-12,0.01431,0.00298
2010-03-15,0.01050,0.00115
2010-03-16,0.01799,0.00623
2010-03-17,0.02241,0.00762
2010-03-18,0.01871,0.00515
2010-03-19,0.01644,0.00066
2010-03-22,0.01529,0.00467
2010-03-23,0.02076,0.00932
2010-03-24,0.01785,0.00666
2010-03-25,0.02118,0.00463
2010-03-26,0.02441,0.00793
2010-03-29,0.02901,0.01038
2010-03-30,0.02865,0.00973
2010-03-31,0.02865,0.00700
2010-04-01,0.04428,0.01249
2010-04-02,0.04428,0.01249
2010-04-05,0.05042,0.01376
2010-04-06,0.05413,0.01337
2010-04-07,0.05743,0.01122
2010-04-08,0.05018,0.01104
2010-04-09,0.06373,0.01712
2010-04-12,0.06319,0.01689
2010-04-13,0.05793,0.01548
2010-04-14,0.06670,0.02258
2010-04-15,0.07004,0.02493
2010-04-16,0.05586,0.01636
2010-04-19,0.04769,0.01655
2010-04-20,0.05299,0.01358
2010-04-21,0.05318,0.01341
2010-04-22,0.04515,0.01563
2010-04-23,0.05429,0.02141
2010-04-26,0.06191,0.02208
2010-04-27,0.04795,0.01143
2010-04-28,0.03949,0.00716
2010-04-29,0.04746,0.01535
2010-04-30,0.04940,0.01183
2010-05-03,0.04616,0.01450
2010-05-04,0.02604,0.00285
2010-05-05,0.01989,-0.00433
2010-05-06,0.00838,-0.01249
2010-05-07,-0.01849,-0.02775
2010-05-10,0.02344,-0.00727
2010-05-11,0.03385,-0.01090
2010-05-12,0.04341,0.00025
2010-05-13,0.04254,-0.00647
2010-05-14,0.02179,-0.01399
2010-05-17,0.01125,-0.01813
2010-05-18,0.01298,-0.02577
2010-05-19,-0.01444,-0.02678
2010-05-20,-0.03590,-0.04026
2010-05-21,-0.03811,-0.03334
2010-05-24,-0.03811,-0.03334
