Date,Fund,benchmark
2008-09-02,-0.02433,-0.01197
2008-09-03,-0.03615,-0.02068
2008-09-04,-0.05062,-0.04048
2008-09-05,-0.05142,-0.04128
2008-09-08,-0.06431,-0.03552
2008-09-09,-0.09199,-0.05939
2008-09-10,-0.08000,-0.04878
2008-09-11,-0.08078,-0.03829
2008-09-12,-0.06437,-0.03960
2008-09-15,-0.08435,-0.06705
2008-09-16,-0.08415,-0.06100
2008-09-17,-0.07810,-0.09050
2008-09-18,-0.07788,-0.07508
2008-09-19,-0.04938,-0.04646
2008-09-22,-0.04416,-0.07441
2008-09-23,-0.05321,-0.08263
2008-09-24,-0.05050,-0.08171
2008-09-25,-0.05849,-0.07423
2008-09-26,-0.07272,-0.08353
2008-09-29,-0.09393,-0.13606
2008-09-30,-0.08848,-0.09997
2008-10-01,-0.08732,-0.10339
2008-10-02,-0.10321,-0.13012
2008-10-03,-0.10311,-0.13575
2008-10-06,-0.11043,-0.15702
2008-10-07,-0.12167,-0.18293
2008-10-08,-0.11868,-0.18135
2008-10-09,-0.12976,-0.20965
2008-10-10,-0.14631,-0.21537
2008-10-13,-0.14631,-0.21537
2008-10-14,-0.12768,-0.16687
2008-10-15,-0.14042,-0.21105
2008-10-16,-0.14061,-0.19339
2008-10-17,-0.13426,-0.19386
2008-10-20,-0.11751,-0.15769
2008-10-21,-0.12648,-0.17390
2008-10-22,-0.13614,-0.19551
2008-10-23,-0.13399,-0.19051
2008-10-24,-0.13585,-0.20672
2008-10-27,-0.15239,-0.23241
2008-10-28,-0.14008,-0.18302
2008-10-29,-0.13291,-0.19511
2008-10-30,-0.12335,-0.17249
2008-10-31,-0.12680,-0.16918
2008-11-03,-0.12763,-0.17779
2008-11-04,-0.11679,-0.16208
2008-11-05,-0.12081,-0.18209
2008-11-06,-0.12730,-0.20233
2008-11-07,-0.12601,-0.18883
2008-11-10,-0.12409,-0.18823
2008-11-11,-0.13011,-0.20047
2008-11-12,-0.13906,-0.21966
2008-11-13,-0.13217,-0.19254
2008-11-14,-0.13650,-0.21130
2008-11-17,-0.14061,-0.22454
2008-11-18,-0.13947,-0.21835
2008-11-19,-0.14655,-0.24220
2008-11-20,-0.15951,-0.26871
2008-11-21,-0.15221,-0.24421
2008-11-24,-0.14603,-0.22772
2008-11-25,-0.14259,-0.22565
2008-11-26,-0.13643,-0.20885
2008-11-27,-0.13365,-0.20729
2008-11-28,-0.12082,-0.19444
2008-12-01,-0.13430,-0.24146
2008-12-02,-0.13683,-0.22442
2008-12-03,-0.13803,-0.21811
2008-12-04,-0.14025,-0.22721
2008-12-05,-0.13938,-0.21637
2008-12-08,-0.12928,-0.19911
2008-12-09,-0.13204,-0.20727
2008-12-10,-0.12661,-0.19659
2008-12-11,-0.13081,-0.21821
2008-12-12,-0.12887,-0.21015
2008-12-15,-0.12914,-0.21954
2008-12-16,-0.11850,-0.20385
2008-12-17,-0.11735,-0.20817
2008-12-18,-0.11890,-0.21843
2008-12-19,-0.11654,-0.21805
2008-12-22,-0.12337,-0.23052
2008-12-23,-0.12206,-0.23202
2008-12-24,-0.12204,-0.22997
2008-12-25,-0.12204,-0.22997
2008-12-26,-0.12204,-0.22997
2008-12-29,-0.10829,-0.22000
2008-12-30,-0.10525,-0.20741
2008-12-31,-0.10525,-0.20163
2009-01-01,-0.10525,-0.20163
2009-01-02,-0.11195,-0.18872
2009-01-05,-0.11979,-0.19652
2009-01-06,-0.11706,-0.19311
2009-01-07,-0.12417,-0.20611
2009-01-08,-0.11899,-0.20591
2009-01-09,-0.11642,-0.21403
2009-01-12,-0.11944,-0.22046
2009-01-13,-0.11543,-0.21569
2009-01-14,-0.11208,-0.22619
2009-01-15,-0.11034,-0.21943
2009-01-16,-0.10825,-0.21696
2009-01-19,-0.11205,-0.22027
2009-01-20,-0.10796,-0.24108
2009-01-21,-0.11081,-0.22490
2009-01-22,-0.11344,-0.23537
2009-01-23,-0.10942,-0.23737
2009-01-26,-0.11421,-0.23593
2009-01-27,-0.11459,-0.22926
2009-01-28,-0.11978,-0.21634
2009-01-29,-0.11683,-0.22972
2009-01-30,-0.11468,-0.23557
