Date,Fund,benchmark
2015-08-18,-0.00354,-0.00393
2015-08-19,-0.00498,-0.00871
2015-08-20,-0.01996,-0.02574
2015-08-21,-0.03592,-0.04147
2015-08-24,-0.05638,-0.06504
2015-08-25,-0.06235,-0.06082
2015-08-26,-0.04171,-0.04466
2015-08-27,-0.03160,-0.03076
2015-08-28,-0.03147,-0.02904
2015-08-31,-0.04025,-0.03481
2015-09-01,-0.05493,-0.05293
2015-09-02,-0.04138,-0.04271
2015-09-03,-0.04480,-0.04318
2015-09-04,-0.05061,-0.05068
2015-09-07,-0.05061,-0.05068
2015-09-08,-0.03859,-0.03959
2015-09-09,-0.04544,-0.04202
2015-09-10,-0.04312,-0.04048
2015-09-11,-0.03869,-0.04010
2015-09-14,-0.04069,-0.04349
2015-09-15,-0.03485,-0.03859
2015-09-16,-0.03367,-0.03060
2015-09-17,-0.03422,-0.02926
2015-09-18,-0.04116,-0.03739
2015-09-21,-0.03836,-0.03336
2015-09-22,-0.04456,-0.04584
2015-09-23,-0.04169,-0.04659
2015-09-24,-0.04490,-0.05075
2015-09-25,-0.04629,-0.04879
2015-09-28,-0.05719,-0.06248
2015-09-29,-0.05518,-0.06151
2015-09-30,-0.05100,-0.04934
2015-10-01,-0.05050,-0.05239
2015-10-02,-0.04929,-0.04698
2015-10-05,-0.05157,-0.03683
2015-10-06,-0.05129,-0.03802
2015-10-07,-0.05264,-0.02892
2015-10-08,-0.05504,-0.02577
2015-10-09,-0.05550,-0.02874
2015-10-12,-0.05550,-0.02874
2015-10-13,-0.05199,-0.03161
2015-10-14,-0.04950,-0.03631
2015-10-15,-0.05140,-0.03115
2015-10-16,-0.05238,-0.02718
2015-10-19,-0.05213,-0.02408
2015-10-20,-0.05574,-0.02492
2015-10-21,-0.05199,-0.02304
2015-10-22,-0.05148,-0.01411
2015-10-23,-0.05386,-0.00558
2015-10-26,-0.05069,-0.00938
2015-10-27,-0.04944,-0.00943
2015-10-28,-0.05211,-0.00516
2015-10-29,-0.05554,-0.01005
2015-10-30,-0.05500,-0.01866
2015-11-02,-0.05625,-0.01118
2015-11-03,-0.05779,-0.01056
2015-11-04,-0.05887,-0.00827
2015-11-05,-0.05969,-0.00938
2015-11-06,-0.06268,-0.00666
2015-11-09,-0.06286,-0.01473
2015-11-10,-0.06160,-0.01615
2015-11-11,-0.06155,-0.01708
2015-11-12,-0.06116,-0.02596
2015-11-13,-0.05872,-0.03106
2015-11-16,-0.05838,-0.02085
2015-11-17,-0.05877,-0.02025
2015-11-18,-0.05893,-0.01242
2015-11-19,-0.05725,-0.01143
2015-11-20,-0.05733,-0.00924
2015-11-23,-0.05728,-0.01015
2015-11-24,-0.05684,-0.01262
2015-11-25,-0.05595,-0.01201
2015-11-26,-0.05526,-0.01051
2015-11-27,-0.05547,-0.00968
2015-11-30,-0.05540,-0.01036
2015-12-01,-0.05186,-0.00098
