Date,Fund,benchmark
2011-07-04,0.00351,0.00662
2011-07-05,0.00475,0.00850
2011-07-06,0.00702,0.00886
2011-07-07,0.00716,0.01065
2011-07-08,0.00935,0.00781
2011-07-11,0.00935,-0.00343
2011-07-12,0.00714,-0.00806
2011-07-13,0.00562,-0.00445
2011-07-14,0.00292,-0.00943
2011-07-15,0.00533,-0.00785
2011-07-18,0.00481,-0.01303
2011-07-19,0.00566,-0.00733
2011-07-20,0.00292,-0.00795
2011-07-21,0.00399,-0.00143
2011-07-22,0.00746,0.00344
2011-07-25,0.00520,-0.00203
2011-07-26,0.00463,-0.00583
2011-07-27,0.00147,-0.01856
2011-07-28,0.00146,-0.01785
2011-07-29,0.00366,-0.01939
2011-08-01,0.00366,-0.01939
2011-08-02,0.00318,-0.03640
2011-08-03,0.00449,-0.03357
2011-08-04,0.00191,-0.06188
2011-08-05,-0.00233,-0.06936
2011-08-08,-0.00970,-0.10615
2011-08-09,0.00027,-0.07952
2011-08-10,-0.00387,-0.08978
2011-08-11,0.00137,-0.06657
2011-08-12,0.00360,-0.06164
2011-08-15,0.00398,-0.05388
2011-08-16,0.00302,-0.06106
2011-08-17,0.00513,-0.05944
2011-08-18,-0.00056,-0.08571
2011-08-19,-0.00413,-0.09716
2011-08-22,-0.00318,-0.09515
2011-08-23,0.00210,-0.07713
2011-08-24,0.00169,-0.07475
2011-08-25,-0.00094,-0.08355
2011-08-26,0.00223,-0.07763
2011-08-29,0.00512,-0.06587
2011-08-30,0.00796,-0.06117
2011-08-31,0.00626,-0.05417
2011-09-01,0.00514,-0.06006
2011-09-02,0.00477,-0.06816
2011-09-05,0.00477,-0.06816
2011-09-06,0.00709,-0.07428
2011-09-07,0.01111,-0.05948
2011-09-08,0.01117,-0.06357
2011-09-09,0.01033,-0.07711
2011-09-12,0.00957,-0.08333
2011-09-13,0.00852,-0.08158
2011-09-14,0.01243,-0.07364
2011-09-15,0.01189,-0.06708
2011-09-16,0.01229,-0.06959
2011-09-19,0.01568,-0.07264
2011-09-20,0.01618,-0.07110
2011-09-21,0.01359,-0.08323
2011-09-22,0.01530,-0.09794
2011-09-23,0.01623,-0.09695
2011-09-26,0.01895,-0.08628
2011-09-27,0.01774,-0.07984
2011-09-28,0.01555,-0.08857
2011-09-29,0.01870,-0.08149
2011-09-30,0.02456,-0.08894
2011-10-03,0.02801,-0.10792
2011-10-04,0.02821,-0.10153
2011-10-05,0.02583,-0.09402
2011-10-06,0.02185,-0.07904
2011-10-07,0.02051,-0.08508
2011-10-10,0.02051,-0.08508
2011-10-11,0.01811,-0.06939
2011-10-12,0.01497,-0.06565
2011-10-13,0.01815,-0.06663
2011-10-14,0.01353,-0.06028
2011-10-17,0.01807,-0.06750
2011-10-18,0.01699,-0.06043
2011-10-19,0.01617,-0.06796
2011-10-20,0.01633,-0.06980
2011-10-21,0.01402,-0.06119
2011-10-24,0.01384,-0.05064
2011-10-25,0.01852,-0.05403
2011-10-26,0.01355,-0.05200
2011-10-27,0.00807,-0.03474
2011-10-28,0.01165,-0.03486
2011-10-31,0.01837,-0.05155
2011-11-01,0.02564,-0.05863
2011-11-02,0.02340,-0.04984
2011-11-03,0.02154,-0.03863
2011-11-04,0.02424,-0.03836
2011-11-07,0.02479,-0.03755
2011-11-08,0.02344,-0.03389
2011-11-09,0.02834,-0.05327
2011-11-10,0.02649,-0.05299
2011-11-11,0.02655,-0.04181
2011-11-14,0.02795,-0.04580
2011-11-15,0.02715,-0.04256
2011-11-16,0.02847,-0.05088
2011-11-17,0.02881,-0.06166
2011-11-18,0.02704,-0.06391
2011-11-21,0.02836,-0.07129
2011-11-22,0.02921,-0.07280
2011-11-23,0.03125,-0.08474
2011-11-24,0.03083,-0.08640
2011-11-25,0.02834,-0.08895
2011-11-28,0.02781,-0.07617
2011-11-29,0.02681,-0.07417
2011-11-30,0.02604,-0.04960
2011-12-01,0.02809,-0.05441
2011-12-02,0.02874,-0.05340
2011-12-05,0.03043,-0.04845
2011-12-06,0.02894,-0.05292
2011-12-07,0.03175,-0.05059
2011-12-08,0.03458,-0.06017
2011-12-09,0.03090,-0.05283
2011-12-12,0.03331,-0.06137
2011-12-13,0.03536,-0.06536
2011-12-14,0.03688,-0.07365
2011-12-15,0.03776,-0.07439
2011-12-16,0.04028,-0.06886
2011-12-19,0.04229,-0.07571
2011-12-20,0.03875,-0.06247
2011-12-21,0.03767,-0.06360
2011-12-22,0.03738,-0.05897
2011-12-23,0.03453,-0.06583
2011-12-26,0.03453,-0.06583
2011-12-27,0.03453,-0.06583
2011-12-28,0.03701,-0.07306
2011-12-29,0.03712,-0.06739
2011-12-30,0.03712,-0.06683
2012-01-02,0.03712,-0.06683
2012-01-03,0.03443,-0.05735
2012-01-04,0.03390,-0.05638
2012-01-05,0.03514,-0.05316
2012-01-06,0.03738,-0.05216
2012-01-09,0.03686,-0.05182
2012-01-10,0.03543,-0.04837
2012-01-11,0.03791,-0.04741
2012-01-12,0.03570,-0.04590
2012-01-13,0.03780,-0.04786
2012-01-16,0.03749,-0.04899
2012-01-17,0.03834,-0.04735
2012-01-18,0.03619,-0.04074
2012-01-19,0.03390,-0.03722
2012-01-20,0.03112,-0.03703
2012-01-23,0.02954,-0.03609
2012-01-24,0.03010,-0.03801
2012-01-25,0.03208,-0.03307
2012-01-26,0.03295,-0.03736
2012-01-27,0.03449,-0.03647
2012-01-30,0.03715,-0.03906
2012-01-31,0.03925,-0.03714
2012-02-01,0.03837,-0.03136
