Date,Fund,benchmark
2016-06-02,0.00202,0.00435
2016-06-03,0.02074,0.00053
2016-06-06,0.01959,-0.00189
2016-06-07,0.01790,0.00169
2016-06-08,0.02400,-0.00066
2016-06-09,0.03010,-0.00460
2016-06-10,0.02843,-0.01465
2016-06-13,0.02796,-0.01932
2016-06-14,0.02291,-0.02353
2016-06-15,0.03397,-0.01875
2016-06-16,0.02909,-0.01781
2016-06-17,0.02773,-0.02033
2016-06-20,0.02765,-0.01461
2016-06-21,0.02102,-0.01234
2016-06-22,0.02507,-0.01093
2016-06-23,0.02264,-0.00363
2016-06-24,0.04103,-0.02499
2016-06-27,0.04940,-0.03663
2016-06-28,0.04947,-0.02385
2016-06-29,0.05348,-0.01387
2016-06-30,0.05454,-0.00754
2016-07-01,0.05454,-0.00754
