Date,Fund,benchmark
2010-01-04,0.01044,0.01016
2010-01-05,0.01300,0.01262
2010-01-06,0.01532,0.01218
2010-01-07,0.01435,0.01298
2010-01-08,0.01915,0.01689
2010-01-11,0.01983,0.01803
2010-01-12,0.01529,0.01096
2010-01-13,0.01297,0.01211
2010-01-14,0.01569,0.01047
2010-01-15,0.01084,0.00396
2010-01-18,0.01300,0.00502
2010-01-19,0.01434,0.01169
2010-01-20,0.00362,0.00792
2010-01-21,-0.00554,-0.00545
2010-01-22,-0.01341,-0.01721
2010-01-25,-0.01804,-0.01334
2010-01-26,-0.01898,-0.01490
2010-01-27,-0.02645,-0.01462
2010-01-28,-0.03059,-0.02183
2010-01-29,-0.03432,-0.02926
2010-02-01,-0.02609,-0.01903
2010-02-02,-0.01841,-0.01183
2010-02-03,-0.02035,-0.01432
2010-02-04,-0.03764,-0.03427
2010-02-05,-0.04664,-0.03457
2010-02-08,-0.04702,-0.03994
2010-02-09,-0.04398,-0.03105
2010-02-10,-0.04064,-0.03395
2010-02-11,-0.03659,-0.03077
2010-02-12,-0.03573,-0.03176
2010-02-15,-0.03573,-0.03176
2010-02-16,-0.02866,-0.02294
2010-02-17,-0.02043,-0.01954
2010-02-18,-0.01686,-0.01637
2010-02-19,-0.01716,-0.01648
2010-02-22,-0.01620,-0.01661
2010-02-23,-0.02190,-0.01985
2010-02-24,-0.02313,-0.01703
2010-02-25,-0.02639,-0.01358
2010-02-26,-0.02080,-0.01414
2010-03-01,-0.01198,-0.01022
2010-03-02,-0.00523,-0.00796
2010-03-03,-0.00053,-0.00749
2010-03-04,-0.00313,-0.00785
2010-03-05,0.00751,0.00324
2010-03-08,0.00976,0.00113
2010-03-09,0.00907,-0.00028
2010-03-10,0.01184,0.00273
2010-03-11,0.01211,0.00407
2010-03-12,0.01353,0.00298
2010-03-15,0.01050,0.00115
2010-03-16,0.01672,0.00623
2010-03-17,0.02033,0.00762
2010-03-18,0.01720,0.00515
2010-03-19,0.01547,0.00066
2010-03-22,0.01472,0.00467
2010-03-23,0.01927,0.00932
2010-03-24,0.01689,0.00666
2010-03-25,0.01953,0.00463
2010-03-26,0.02234,0.00793
2010-03-29,0.02584,0.01038
2010-03-30,0.02567,0.00973
2010-03-31,0.02580,0.00700
2010-04-01,0.03877,0.01249
2010-04-02,0.03877,0.01249
2010-04-05,0.04215,0.01376
2010-04-06,0.04455,0.01337
2010-04-07,0.04353,0.01122
2010-04-08,0.03653,0.01104
2010-04-09,0.04708,0.01712
2010-04-12,0.04838,0.01689
2010-04-13,0.04416,0.01548
2010-04-14,0.05131,0.02258
2010-04-15,0.05432,0.02493
2010-04-16,0.04091,0.01636
2010-04-19,0.03425,0.01655
2010-04-20,0.04073,0.01358
2010-04-21,0.03947,0.01341
2010-04-22,0.03162,0.01563
2010-04-23,0.03806,0.02141
2010-04-26,0.04597,0.02208
2010-04-27,0.02991,0.01143
2010-04-28,0.01819,0.00716
2010-04-29,0.02634,0.01535
2010-04-30,0.02504,0.01183
2010-05-03,0.02444,0.01450
2010-05-04,0.00524,0.00285
2010-05-05,-0.00286,-0.00433
2010-05-06,-0.01755,-0.01249
2010-05-07,-0.04259,-0.02775
2010-05-10,-0.00054,-0.00727
2010-05-11,-0.00128,-0.01090
