Date,Fund,benchmark
2008-09-02,-0.01813,-0.01197
2008-09-03,-0.02709,-0.02068
2008-09-04,-0.03801,-0.04048
2008-09-05,-0.03859,-0.04128
2008-09-08,-0.04850,-0.03552
2008-09-09,-0.06960,-0.05939
2008-09-10,-0.05996,-0.04878
2008-09-11,-0.06040,-0.03829
2008-09-12,-0.04948,-0.03960
2008-09-15,-0.06326,-0.06705
2008-09-16,-0.06349,-0.06100
2008-09-17,-0.06007,-0.09050
2008-09-18,-0.06035,-0.07508
2008-09-19,-0.03982,-0.04646
2008-09-22,-0.03648,-0.07441
2008-09-23,-0.04370,-0.08263
2008-09-24,-0.04140,-0.08171
2008-09-25,-0.04737,-0.07423
2008-09-26,-0.05884,-0.08353
2008-09-29,-0.07398,-0.13606
2008-09-30,-0.06604,-0.09997
2008-10-01,-0.06318,-0.10339
2008-10-02,-0.05919,-0.13012
2008-10-03,-0.05596,-0.13575
2008-10-06,-0.04748,-0.15702
2008-10-07,-0.05048,-0.18293
2008-10-08,-0.05378,-0.18135
2008-10-09,-0.05468,-0.20965
2008-10-10,-0.06096,-0.21537
2008-10-13,-0.06096,-0.21537
2008-10-14,-0.06359,-0.16687
2008-10-15,-0.06111,-0.21105
2008-10-16,-0.05962,-0.19339
2008-10-17,-0.06007,-0.19386
2008-10-20,-0.05868,-0.15769
2008-10-21,-0.05655,-0.17390
2008-10-22,-0.05205,-0.19551
2008-10-23,-0.05231,-0.19051
2008-10-24,-0.05376,-0.20672
2008-10-27,-0.05260,-0.23241
2008-10-28,-0.05521,-0.18302
2008-10-29,-0.05676,-0.19511
2008-10-30,-0.05476,-0.17249
2008-10-31,-0.05666,-0.16918
2008-11-03,-0.05645,-0.17779
2008-11-04,-0.05388,-0.16208
2008-11-05,-0.05209,-0.18209
2008-11-06,-0.05046,-0.20233
2008-11-07,-0.04996,-0.18883
2008-11-10,-0.05023,-0.18823
2008-11-11,-0.05014,-0.20047
2008-11-12,-0.04655,-0.21966
2008-11-13,-0.05088,-0.19254
2008-11-14,-0.04742,-0.21130
2008-11-17,-0.04477,-0.22454
2008-11-18,-0.04449,-0.21835
2008-11-19,-0.04332,-0.24220
2008-11-20,-0.03656,-0.26871
2008-11-21,-0.04039,-0.24421
2008-11-24,-0.04095,-0.22772
2008-11-25,-0.03601,-0.22565
2008-11-26,-0.03403,-0.20885
2008-11-27,-0.03370,-0.20729
2008-11-28,-0.03232,-0.19444
2008-12-01,-0.02300,-0.24146
2008-12-02,-0.02408,-0.22442
2008-12-03,-0.02483,-0.21811
2008-12-04,-0.02008,-0.22721
2008-12-05,-0.02080,-0.21637
2008-12-08,-0.02127,-0.19911
2008-12-09,-0.01966,-0.20727
2008-12-10,-0.01976,-0.19659
2008-12-11,-0.01793,-0.21821
2008-12-12,-0.01925,-0.21015
2008-12-15,-0.01785,-0.21954
2008-12-16,-0.01119,-0.20385
2008-12-17,-0.00740,-0.20817
2008-12-18,-0.00172,-0.21843
2008-12-19,-0.00269,-0.21805
2008-12-22,-0.00249,-0.23052
2008-12-23,-0.00279,-0.23202
2008-12-24,-0.00272,-0.22997
2008-12-25,-0.00272,-0.22997
2008-12-26,-0.00272,-0.22997
2008-12-29,0.00597,-0.22000
2008-12-30,0.00387,-0.20741
2008-12-31,0.00387,-0.20163
2009-01-01,0.00387,-0.20163
2009-01-02,-0.00322,-0.18872
2009-01-05,-0.00558,-0.19652
2009-01-06,-0.00534,-0.19311
2009-01-07,-0.00659,-0.20611
2009-01-08,-0.00518,-0.20591
2009-01-09,-0.00075,-0.21403
2009-01-12,0.00211,-0.22046
2009-01-13,0.00391,-0.21569
2009-01-14,0.01195,-0.22619
2009-01-15,0.00989,-0.21943
2009-01-16,0.00671,-0.21696
2009-01-19,0.00338,-0.22027
2009-01-20,0.00530,-0.24108
2009-01-21,0.00204,-0.22490
2009-01-22,-0.00003,-0.23537
2009-01-23,-0.00338,-0.23737
2009-01-26,-0.00746,-0.23593
2009-01-27,-0.00602,-0.22926
2009-01-28,-0.00891,-0.21634
2009-01-29,-0.01329,-0.22972
2009-01-30,-0.01246,-0.23557
