Date,Fund,benchmark
2015-08-18,-0.00298,-0.00393
2015-08-19,-0.00147,-0.00871
2015-08-20,-0.00377,-0.02574
2015-08-21,-0.01125,-0.04147
2015-08-24,-0.02527,-0.06504
2015-08-25,-0.02882,-0.06082
2015-08-26,-0.02933,-0.04466
2015-08-27,-0.02117,-0.03076
2015-08-28,-0.01726,-0.02904
2015-08-31,-0.02136,-0.03481
2015-09-01,-0.02822,-0.05293
2015-09-02,-0.02679,-0.04271
2015-09-03,-0.02709,-0.04318
2015-09-04,-0.02874,-0.05068
2015-09-07,-0.02874,-0.05068
2015-09-08,-0.02646,-0.03959
2015-09-09,-0.02841,-0.04202
2015-09-10,-0.02933,-0.04048
2015-09-11,-0.02824,-0.04010
2015-09-14,-0.02984,-0.04349
2015-09-15,-0.03140,-0.03859
2015-09-16,-0.02643,-0.03060
2015-09-17,-0.02318,-0.02926
2015-09-18,-0.02301,-0.03739
2015-09-21,-0.02498,-0.03336
2015-09-22,-0.02960,-0.04584
2015-09-23,-0.02992,-0.04659
2015-09-24,-0.02766,-0.05075
2015-09-25,-0.02859,-0.04879
2015-09-28,-0.03445,-0.06248
2015-09-29,-0.03493,-0.06151
2015-09-30,-0.03256,-0.04934
2015-10-01,-0.03245,-0.05239
2015-10-02,-0.02863,-0.04698
2015-10-05,-0.02685,-0.03683
2015-10-06,-0.02584,-0.03802
2015-10-07,-0.02452,-0.02892
2015-10-08,-0.02464,-0.02577
2015-10-09,-0.02410,-0.02874
2015-10-12,-0.02410,-0.02874
2015-10-13,-0.02377,-0.03161
2015-10-14,-0.02194,-0.03631
2015-10-15,-0.02221,-0.03115
2015-10-16,-0.02171,-0.02718
2015-10-19,-0.02221,-0.02408
2015-10-20,-0.02391,-0.02492
2015-10-21,-0.02143,-0.02304
2015-10-22,-0.01740,-0.01411
2015-10-23,-0.01602,-0.00558
2015-10-26,-0.01593,-0.00938
2015-10-27,-0.01485,-0.00943
2015-10-28,-0.01525,-0.00516
2015-10-29,-0.01945,-0.01005
2015-10-30,-0.02106,-0.01866
2015-11-02,-0.02104,-0.01118
2015-11-03,-0.02162,-0.01056
2015-11-04,-0.02224,-0.00827
2015-11-05,-0.02361,-0.00938
2015-11-06,-0.02614,-0.00666
2015-11-09,-0.02747,-0.01473
2015-11-10,-0.02696,-0.01615
2015-11-11,-0.02666,-0.01708
2015-11-12,-0.02852,-0.02596
2015-11-13,-0.02794,-0.03106
2015-11-16,-0.02579,-0.02085
2015-11-17,-0.02538,-0.02025
2015-11-18,-0.02303,-0.01242
2015-11-19,-0.02084,-0.01143
2015-11-20,-0.02083,-0.00924
2015-11-23,-0.02149,-0.01015
2015-11-24,-0.02161,-0.01262
2015-11-25,-0.02060,-0.01201
2015-11-26,-0.01945,-0.01051
2015-11-27,-0.01970,-0.00968
2015-11-30,-0.01977,-0.01036
2015-12-01,-0.01578,-0.00098
