Date,Fund,benchmark
2011-07-04,0.00247,0.00662
2011-07-05,0.00421,0.00850
2011-07-06,0.00566,0.00886
2011-07-07,0.00521,0.01065
2011-07-08,0.00657,0.00781
2011-07-11,0.00477,-0.00343
2011-07-12,0.00379,-0.00806
2011-07-13,0.00497,-0.00445
2011-07-14,0.00269,-0.00943
2011-07-15,0.00380,-0.00785
2011-07-18,0.00287,-0.01303
2011-07-19,0.00287,-0.00733
2011-07-20,0.00269,-0.00795
2011-07-21,0.00370,-0.00143
2011-07-22,0.00731,0.00344
2011-07-25,0.00490,-0.00203
2011-07-26,0.00435,-0.00583
2011-07-27,0.00074,-0.01856
2011-07-28,0.00036,-0.01785
2011-07-29,0.00114,-0.01939
2011-08-01,0.00114,-0.01939
2011-08-02,0.00057,-0.03640
2011-08-03,-0.00011,-0.03357
2011-08-04,-0.00508,-0.06188
2011-08-05,-0.01237,-0.06936
2011-08-08,-0.01694,-0.10615
2011-08-09,-0.01108,-0.07952
2011-08-10,-0.01069,-0.08978
2011-08-11,-0.00749,-0.06657
2011-08-12,-0.00450,-0.06164
2011-08-15,-0.00269,-0.05388
2011-08-16,-0.00309,-0.06106
2011-08-17,-0.00049,-0.05944
2011-08-18,-0.00614,-0.08571
2011-08-19,-0.00942,-0.09716
2011-08-22,-0.00729,-0.09515
2011-08-23,-0.00501,-0.07713
2011-08-24,-0.00706,-0.07475
2011-08-25,-0.00757,-0.08355
2011-08-26,-0.00580,-0.07763
2011-08-29,-0.00411,-0.06587
2011-08-30,0.00004,-0.06117
2011-08-31,0.00070,-0.05417
2011-09-01,0.00104,-0.06006
2011-09-02,0.00107,-0.06816
2011-09-05,0.00107,-0.06816
2011-09-06,-0.00076,-0.07428
2011-09-07,0.00390,-0.05948
2011-09-08,0.00576,-0.06357
2011-09-09,0.00333,-0.07711
2011-09-12,-0.00184,-0.08333
2011-09-13,-0.00243,-0.08158
2011-09-14,-0.00069,-0.07364
2011-09-15,0.00001,-0.06708
2011-09-16,0.00140,-0.06959
2011-09-19,0.00173,-0.07264
2011-09-20,0.00372,-0.07110
2011-09-21,0.00125,-0.08323
2011-09-22,-0.00296,-0.09794
2011-09-23,-0.00526,-0.09695
2011-09-26,-0.00419,-0.08628
2011-09-27,-0.00208,-0.07984
2011-09-28,-0.00530,-0.08857
2011-09-29,-0.00279,-0.08149
2011-09-30,0.00127,-0.08894
2011-10-03,-0.00065,-0.10792
2011-10-04,-0.00165,-0.10153
2011-10-05,-0.00095,-0.09402
2011-10-06,0.00219,-0.07904
2011-10-07,0.00051,-0.08508
2011-10-10,0.00051,-0.08508
2011-10-11,0.00247,-0.06939
2011-10-12,0.00151,-0.06565
2011-10-13,0.00235,-0.06663
2011-10-14,0.00180,-0.06028
2011-10-17,0.00315,-0.06750
2011-10-18,0.00340,-0.06043
2011-10-19,0.00119,-0.06796
2011-10-20,-0.00024,-0.06980
2011-10-21,0.00099,-0.06119
2011-10-24,0.00362,-0.05064
2011-10-25,0.00685,-0.05403
2011-10-26,0.00563,-0.05200
2011-10-27,0.00699,-0.03474
2011-10-28,0.00892,-0.03486
2011-10-31,0.00830,-0.05155
2011-11-01,0.01043,-0.05863
2011-11-02,0.01149,-0.04984
2011-11-03,0.01342,-0.03863
2011-11-04,0.01493,-0.03836
2011-11-07,0.01549,-0.03755
2011-11-08,0.01483,-0.03389
2011-11-09,0.01306,-0.05327
2011-11-10,0.01112,-0.05299
2011-11-11,0.01414,-0.04181
2011-11-14,0.01397,-0.04580
2011-11-15,0.01281,-0.04256
2011-11-16,0.01159,-0.05088
2011-11-17,0.00881,-0.06166
2011-11-18,0.00681,-0.06391
2011-11-21,0.00467,-0.07129
2011-11-22,0.00440,-0.07280
2011-11-23,-0.00081,-0.08474
2011-11-24,-0.00270,-0.08640
2011-11-25,-0.00431,-0.08895
2011-11-28,-0.00053,-0.07617
2011-11-29,-0.00021,-0.07417
2011-11-30,0.00590,-0.04960
2011-12-01,0.00719,-0.05441
2011-12-02,0.00840,-0.05340
2011-12-05,0.01077,-0.04845
2011-12-06,0.00981,-0.05292
2011-12-07,0.01177,-0.05059
2011-12-08,0.01039,-0.06017
2011-12-09,0.01020,-0.05283
2011-12-12,0.00944,-0.06137
2011-12-13,0.00887,-0.06536
2011-12-14,0.00723,-0.07365
2011-12-15,0.00716,-0.07439
2011-12-16,0.01058,-0.06886
2011-12-19,0.00931,-0.07571
2011-12-20,0.01132,-0.06247
2011-12-21,0.01045,-0.06360
2011-12-22,0.01119,-0.05897
2011-12-23,0.00736,-0.06583
2011-12-26,0.00736,-0.06583
2011-12-27,0.00736,-0.06583
2011-12-28,0.00683,-0.07306
2011-12-29,0.00843,-0.06739
2011-12-30,0.00843,-0.06683
2012-01-02,0.00843,-0.06683
2012-01-03,0.01039,-0.05735
2012-01-04,0.01007,-0.05638
2012-01-05,0.01036,-0.05316
2012-01-06,0.01128,-0.05216
2012-01-09,0.01100,-0.05182
2012-01-10,0.01202,-0.04837
2012-01-11,0.01376,-0.04741
2012-01-12,0.01385,-0.04590
2012-01-13,0.01479,-0.04786
2012-01-16,0.01479,-0.04899
2012-01-17,0.01578,-0.04735
2012-01-18,0.01585,-0.04074
2012-01-19,0.01624,-0.03722
2012-01-20,0.01565,-0.03703
2012-01-23,0.01562,-0.03609
2012-01-24,0.01494,-0.03801
2012-01-25,0.01738,-0.03307
2012-01-26,0.01926,-0.03736
2012-01-27,0.02010,-0.03647
2012-01-30,0.02031,-0.03906
2012-01-31,0.02193,-0.03714
2012-02-01,0.02341,-0.03136
