Date,Fund,benchmark
2016-06-02,0.00261,0.00435
2016-06-03,0.00677,0.00053
2016-06-06,0.00507,-0.00189
2016-06-07,0.00634,0.00169
2016-06-08,0.00740,-0.00066
2016-06-09,0.00794,-0.00460
2016-06-10,0.00532,-0.01465
2016-06-13,0.00315,-0.01932
2016-06-14,0.00027,-0.02353
2016-06-15,0.00498,-0.01875
2016-06-16,0.00323,-0.01781
2016-06-17,0.00196,-0.02033
2016-06-20,0.00318,-0.01461
2016-06-21,0.00166,-0.01234
2016-06-22,0.00311,-0.01093
2016-06-23,0.00407,-0.00363
2016-06-24,0.00325,-0.02499
2016-06-27,0.00385,-0.03663
2016-06-28,0.00825,-0.02385
2016-06-29,0.01295,-0.01387
2016-06-30,0.01490,-0.00754
2016-07-01,0.01490,-0.00754
