Date,Fund,benchmark
2010-01-04,0.00404,0.01016
2010-01-05,0.00606,0.01262
2010-01-06,0.00561,0.01218
2010-01-07,0.00566,0.01298
2010-01-08,0.00809,0.01689
2010-01-11,0.00923,0.01803
2010-01-12,0.00832,0.01096
2010-01-13,0.00666,0.01211
2010-01-14,0.00704,0.01047
2010-01-15,0.00616,0.00396
2010-01-18,0.00712,0.00502
2010-01-19,0.00862,0.01169
2010-01-20,0.00734,0.00792
2010-01-21,0.00316,-0.00545
2010-01-22,0.00003,-0.01721
2010-01-25,-0.00078,-0.01334
2010-01-26,-0.00040,-0.01490
2010-01-27,-0.00216,-0.01462
2010-01-28,-0.00453,-0.02183
2010-01-29,-0.00648,-0.02926
2010-02-01,-0.00311,-0.01903
2010-02-02,-0.00002,-0.01183
2010-02-03,-0.00179,-0.01432
2010-02-04,-0.00788,-0.03427
2010-02-05,-0.00894,-0.03457
2010-02-08,-0.01017,-0.03994
2010-02-09,-0.00863,-0.03105
2010-02-10,-0.00958,-0.03395
2010-02-11,-0.00863,-0.03077
2010-02-12,-0.00805,-0.03176
2010-02-15,-0.00805,-0.03176
2010-02-16,-0.00444,-0.02294
2010-02-17,-0.00227,-0.01954
2010-02-18,-0.00143,-0.01637
2010-02-19,-0.00204,-0.01648
2010-02-22,-0.00170,-0.01661
2010-02-23,-0.00134,-0.01985
2010-02-24,-0.00111,-0.01703
2010-02-25,0.00028,-0.01358
2010-02-26,0.00167,-0.01414
2010-03-01,0.00365,-0.01022
2010-03-02,0.00601,-0.00796
2010-03-03,0.00611,-0.00749
2010-03-04,0.00555,-0.00785
2010-03-05,0.00905,0.00324
2010-03-08,0.00868,0.00113
2010-03-09,0.00858,-0.00028
2010-03-10,0.00929,0.00273
2010-03-11,0.00999,0.00407
2010-03-12,0.00941,0.00298
2010-03-15,0.00937,0.00115
2010-03-16,0.01276,0.00623
2010-03-17,0.01328,0.00762
2010-03-18,0.01249,0.00515
2010-03-19,0.01073,0.00066
2010-03-22,0.01219,0.00467
2010-03-23,0.01413,0.00932
2010-03-24,0.01177,0.00666
2010-03-25,0.01165,0.00463
2010-03-26,0.01344,0.00793
2010-03-29,0.01407,0.01038
2010-03-30,0.01373,0.00973
2010-03-31,0.01834,0.00700
2010-04-01,0.02191,0.01249
2010-04-02,0.02191,0.01249
2010-04-05,0.02141,0.01376
2010-04-06,0.02101,0.01337
2010-04-07,0.02251,0.01122
2010-04-08,0.02083,0.01104
2010-04-09,0.02467,0.01712
2010-04-12,0.02475,0.01689
