Date,Fund,TD Canadian Bond Index Fund
2015-08-18,-0.003,-0.002
2015-08-19,-0.002,0.003
2015-08-20,-0.004,0.003
2015-08-21,-0.009,0.003
2015-08-24,-0.016,0.003
2015-08-25,-0.018,-0.003
2015-08-26,-0.018,-0.010
2015-08-27,-0.013,-0.010
2015-08-28,-0.010,-0.010
2015-08-31,-0.013,-0.012
2015-09-01,-0.018,-0.012
2015-09-02,-0.017,-0.013
2015-09-03,-0.018,-0.013
2015-09-04,-0.019,-0.013
2015-09-08,-0.018,-0.015
2015-09-09,-0.018,-0.016
2015-09-10,-0.017,-0.016
2015-09-11,-0.016,-0.014
2015-09-14,-0.017,-0.013
2015-09-15,-0.018,-0.020
2015-09-16,-0.017,-0.021
2015-09-17,-0.014,-0.018
2015-09-18,-0.014,-0.013
2015-09-21,-0.017,-0.018
2015-09-22,-0.023,-0.015
2015-09-23,-0.023,-0.016
2015-09-24,-0.021,-0.016
2015-09-25,-0.024,-0.019
2015-09-28,-0.029,-0.015
2015-09-29,-0.028,-0.015
2015-09-30,-0.028,-0.017
2015-10-01,-0.033,-0.019
2015-10-02,-0.032,-0.018
2015-10-05,-0.031,-0.021
2015-10-06,-0.031,-0.020
2015-10-07,-0.029,-0.022
2015-10-08,-0.029,-0.025
2015-10-09,-0.028,-0.026
2015-10-13,-0.028,-0.022
2015-10-14,-0.027,-0.018
2015-10-15,-0.029,-0.021
2015-10-16,-0.026,-0.022
2015-10-19,-0.027,-0.021
2015-10-20,-0.027,-0.025
2015-10-21,-0.025,-0.020
2015-10-22,-0.024,-0.019
2015-10-23,-0.023,-0.023
2015-10-26,-0.020,-0.018
2015-10-27,-0.020,-0.017
2015-10-28,-0.022,-0.019
2015-10-29,-0.025,-0.023
2015-10-30,-0.027,-0.022
2015-11-02,-0.028,-0.026
2015-11-03,-0.030,-0.028
2015-11-04,-0.031,-0.029
2015-11-05,-0.031,-0.030
2015-11-06,-0.033,-0.034
2015-11-09,-0.033,-0.034
2015-11-10,-0.033,-0.033
2015-11-11,-0.033,-0.033
2015-11-12,-0.037,-0.032
2015-11-13,-0.034,-0.029
2015-11-16,-0.034,-0.029
2015-11-17,-0.035,-0.029
2015-11-18,-0.032,-0.029
2015-11-19,-0.031,-0.026
2015-11-20,-0.032,-0.027
2015-11-23,-0.033,-0.027
2015-11-24,-0.033,-0.026
2015-11-25,-0.033,-0.025
2015-11-26,-0.031,-0.023
2015-11-27,-0.031,-0.024
2015-11-30,-0.031,-0.024
2015-12-01,-0.031,-0.022
