Date,Fund,benchmark
2008-09-02,-0.00394,-0.01197
2008-09-03,-0.00848,-0.02068
2008-09-04,-0.01512,-0.04048
2008-09-05,-0.01795,-0.04128
2008-09-08,-0.01482,-0.03552
2008-09-09,-0.02369,-0.05939
2008-09-10,-0.02201,-0.04878
2008-09-11,-0.02213,-0.03829
2008-09-12,-0.02125,-0.03960
2008-09-15,-0.02821,-0.06705
2008-09-16,-0.03163,-0.06100
2008-09-17,-0.03625,-0.09050
2008-09-18,-0.03848,-0.07508
2008-09-19,-0.02601,-0.04646
2008-09-22,-0.03038,-0.07441
2008-09-23,-0.03501,-0.08263
2008-09-24,-0.03376,-0.08171
2008-09-25,-0.03392,-0.07423
2008-09-26,-0.03812,-0.08353
2008-09-29,-0.04896,-0.13606
2008-09-30,-0.04276,-0.09997
2008-10-01,-0.04108,-0.10339
2008-10-02,-0.04757,-0.13012
2008-10-03,-0.04656,-0.13575
2008-10-06,-0.04982,-0.15702
2008-10-07,-0.05508,-0.18293
2008-10-08,-0.05615,-0.18135
2008-10-09,-0.06320,-0.20965
2008-10-10,-0.07589,-0.21537
2008-10-13,-0.07589,-0.21537
2008-10-14,-0.06675,-0.16687
2008-10-15,-0.07644,-0.21105
2008-10-16,-0.07948,-0.19339
2008-10-17,-0.07697,-0.19386
2008-10-20,-0.06743,-0.15769
2008-10-21,-0.06941,-0.17390
2008-10-22,-0.07474,-0.19551
2008-10-23,-0.07583,-0.19051
2008-10-24,-0.07915,-0.20672
2008-10-27,-0.08521,-0.23241
2008-10-28,-0.07534,-0.18302
2008-10-29,-0.07457,-0.19511
2008-10-30,-0.06774,-0.17249
2008-10-31,-0.07157,-0.16918
2008-11-03,-0.07168,-0.17779
2008-11-04,-0.06402,-0.16208
2008-11-05,-0.06468,-0.18209
2008-11-06,-0.06853,-0.20233
2008-11-07,-0.06683,-0.18883
2008-11-10,-0.06402,-0.18823
2008-11-11,-0.06825,-0.20047
2008-11-12,-0.07152,-0.21966
2008-11-13,-0.07027,-0.19254
2008-11-14,-0.07155,-0.21130
2008-11-17,-0.07401,-0.22454
2008-11-18,-0.07333,-0.21835
2008-11-19,-0.07608,-0.24220
2008-11-20,-0.07685,-0.26871
2008-11-21,-0.07248,-0.24421
2008-11-24,-0.07050,-0.22772
2008-11-25,-0.06603,-0.22565
2008-11-26,-0.05990,-0.20885
2008-11-27,-0.05784,-0.20729
2008-11-28,-0.05226,-0.19444
2008-12-01,-0.05969,-0.24146
2008-12-02,-0.05420,-0.22442
2008-12-03,-0.05362,-0.21811
2008-12-04,-0.05318,-0.22721
2008-12-05,-0.05417,-0.21637
2008-12-08,-0.05062,-0.19911
2008-12-09,-0.05089,-0.20727
2008-12-10,-0.04652,-0.19659
2008-12-11,-0.05039,-0.21821
2008-12-12,-0.04882,-0.21015
2008-12-15,-0.04750,-0.21954
2008-12-16,-0.04097,-0.20385
2008-12-17,-0.03572,-0.20817
2008-12-18,-0.03566,-0.21843
2008-12-19,-0.03304,-0.21805
2008-12-22,-0.03574,-0.23052
2008-12-23,-0.03518,-0.23202
2008-12-24,-0.03434,-0.22997
2008-12-25,-0.03434,-0.22997
2008-12-26,-0.03434,-0.22997
2008-12-29,-0.02559,-0.22000
2008-12-30,-0.02323,-0.20741
2008-12-31,-0.02323,-0.20163
2009-01-01,-0.02323,-0.20163
2009-01-02,-0.02365,-0.18872
2009-01-05,-0.02819,-0.19652
2009-01-06,-0.02776,-0.19311
2009-01-07,-0.03099,-0.20611
2009-01-08,-0.03048,-0.20591
2009-01-09,-0.02822,-0.21403
2009-01-12,-0.02794,-0.22046
2009-01-13,-0.02735,-0.21569
2009-01-14,-0.02659,-0.22619
2009-01-15,-0.02674,-0.21943
2009-01-16,-0.02643,-0.21696
2009-01-19,-0.03012,-0.22027
2009-01-20,-0.03296,-0.24108
2009-01-21,-0.03310,-0.22490
2009-01-22,-0.03744,-0.23537
2009-01-23,-0.04015,-0.23737
2009-01-26,-0.04299,-0.23593
2009-01-27,-0.03986,-0.22926
2009-01-28,-0.03898,-0.21634
2009-01-29,-0.04137,-0.22972
2009-01-30,-0.04277,-0.23557
