Date,Fund,benchmark
2011-07-04,0.00996,0.00662
2011-07-05,0.01171,0.00850
2011-07-06,0.01499,0.00886
2011-07-07,0.01811,0.01065
2011-07-08,0.01385,0.00781
2011-07-11,0.00486,-0.00343
2011-07-12,-0.00203,-0.00806
2011-07-13,-0.00507,-0.00445
2011-07-14,-0.01067,-0.00943
2011-07-15,-0.01112,-0.00785
2011-07-18,-0.01434,-0.01303
2011-07-19,-0.00749,-0.00733
2011-07-20,-0.01099,-0.00795
2011-07-21,-0.00155,-0.00143
2011-07-22,0.00308,0.00344
2011-07-25,-0.00487,-0.00203
2011-07-26,-0.01122,-0.00583
2011-07-27,-0.02365,-0.01856
2011-07-28,-0.02439,-0.01785
2011-07-29,-0.02653,-0.01939
2011-08-01,-0.02653,-0.01939
2011-08-02,-0.04806,-0.03640
2011-08-03,-0.04136,-0.03357
2011-08-04,-0.06824,-0.06188
2011-08-05,-0.07041,-0.06936
2011-08-08,-0.11569,-0.10615
2011-08-09,-0.08700,-0.07952
2011-08-10,-0.11114,-0.08978
2011-08-11,-0.08018,-0.06657
2011-08-12,-0.07268,-0.06164
2011-08-15,-0.06401,-0.05388
2011-08-16,-0.07042,-0.06106
2011-08-17,-0.07095,-0.05944
2011-08-18,-0.10073,-0.08571
2011-08-19,-0.11338,-0.09716
2011-08-22,-0.11215,-0.09515
2011-08-23,-0.08675,-0.07713
2011-08-24,-0.07658,-0.07475
2011-08-25,-0.08930,-0.08355
2011-08-26,-0.08029,-0.07763
2011-08-29,-0.06189,-0.06587
2011-08-30,-0.05854,-0.06117
2011-08-31,-0.05398,-0.05417
2011-09-01,-0.06687,-0.06006
2011-09-02,-0.08047,-0.06816
2011-09-05,-0.08047,-0.06816
2011-09-06,-0.08178,-0.07428
2011-09-07,-0.06184,-0.05948
2011-09-08,-0.06798,-0.06357
2011-09-09,-0.08428,-0.07711
2011-09-12,-0.08135,-0.08333
2011-09-13,-0.07950,-0.08158
2011-09-14,-0.06374,-0.07364
2011-09-15,-0.05533,-0.06708
2011-09-16,-0.05425,-0.06959
2011-09-19,-0.05347,-0.07264
2011-09-20,-0.05132,-0.07110
2011-09-21,-0.06631,-0.08323
2011-09-22,-0.07624,-0.09794
2011-09-23,-0.06872,-0.09695
2011-09-26,-0.04989,-0.08628
2011-09-27,-0.04751,-0.07984
2011-09-28,-0.05522,-0.08857
2011-09-29,-0.04543,-0.08149
2011-09-30,-0.03994,-0.08894
2011-10-03,-0.03671,-0.10792
2011-10-04,-0.03652,-0.10153
2011-10-05,-0.03875,-0.09402
2011-10-06,-0.04248,-0.07904
2011-10-07,-0.04373,-0.08508
2011-10-10,-0.04373,-0.08508
2011-10-11,-0.04598,-0.06939
2011-10-12,-0.04893,-0.06565
2011-10-13,-0.04595,-0.06663
2011-10-14,-0.05028,-0.06028
2011-10-17,-0.04602,-0.06750
2011-10-18,-0.04704,-0.06043
2011-10-19,-0.04780,-0.06796
2011-10-20,-0.04766,-0.06980
2011-10-21,-0.04982,-0.06119
2011-10-24,-0.04999,-0.05064
2011-10-25,-0.04560,-0.05403
2011-10-26,-0.05026,-0.05200
2011-10-27,-0.05539,-0.03474
2011-10-28,-0.05203,-0.03486
2011-10-31,-0.04574,-0.05155
2011-11-01,-0.03893,-0.05863
2011-11-02,-0.04103,-0.04984
2011-11-03,-0.04277,-0.03863
2011-11-04,-0.04024,-0.03836
2011-11-07,-0.03972,-0.03755
2011-11-08,-0.04099,-0.03389
2011-11-09,-0.03640,-0.05327
2011-11-10,-0.03813,-0.05299
2011-11-11,-0.03807,-0.04181
2011-11-14,-0.03677,-0.04580
2011-11-15,-0.03751,-0.04256
2011-11-16,-0.03628,-0.05088
2011-11-17,-0.03596,-0.06166
2011-11-18,-0.03762,-0.06391
2011-11-21,-0.03638,-0.07129
2011-11-22,-0.03559,-0.07280
2011-11-23,-0.03367,-0.08474
2011-11-24,-0.03407,-0.08640
2011-11-25,-0.03640,-0.08895
2011-11-28,-0.03690,-0.07617
2011-11-29,-0.03783,-0.07417
2011-11-30,-0.03855,-0.04960
2011-12-01,-0.03663,-0.05441
2011-12-02,-0.03602,-0.05340
2011-12-05,-0.03444,-0.04845
2011-12-06,-0.03584,-0.05292
2011-12-07,-0.03321,-0.05059
2011-12-08,-0.03055,-0.06017
2011-12-09,-0.03400,-0.05283
2011-12-12,-0.03174,-0.06137
2011-12-13,-0.02982,-0.06536
2011-12-14,-0.02839,-0.07365
2011-12-15,-0.02757,-0.07439
2011-12-16,-0.02521,-0.06886
2011-12-19,-0.02333,-0.07571
2011-12-20,-0.02665,-0.06247
2011-12-21,-0.02766,-0.06360
2011-12-22,-0.02793,-0.05897
2011-12-23,-0.03060,-0.06583
2011-12-26,-0.03060,-0.06583
2011-12-27,-0.03060,-0.06583
2011-12-28,-0.02828,-0.07306
2011-12-29,-0.02817,-0.06739
2011-12-30,-0.02817,-0.06683
2012-01-02,-0.02817,-0.06683
2012-01-03,-0.03070,-0.05735
2012-01-04,-0.03119,-0.05638
2012-01-05,-0.03003,-0.05316
2012-01-06,-0.02793,-0.05216
2012-01-09,-0.02841,-0.05182
2012-01-10,-0.02976,-0.04837
2012-01-11,-0.02744,-0.04741
2012-01-12,-0.02950,-0.04590
2012-01-13,-0.02753,-0.04786
2012-01-16,-0.02783,-0.04899
2012-01-17,-0.02703,-0.04735
2012-01-18,-0.02905,-0.04074
2012-01-19,-0.03119,-0.03722
2012-01-20,-0.03380,-0.03703
2012-01-23,-0.03527,-0.03609
2012-01-24,-0.03475,-0.03801
2012-01-25,-0.03289,-0.03307
2012-01-26,-0.03208,-0.03736
2012-01-27,-0.03063,-0.03647
2012-01-30,-0.02814,-0.03906
2012-01-31,-0.02618,-0.03714
2012-02-01,-0.02700,-0.03136
