Date,Fund,benchmark
2010-01-04,0.00961,0.01016
2010-01-05,0.01177,0.01262
2010-01-06,0.01478,0.01218
2010-01-07,0.01237,0.01298
2010-01-08,0.01711,0.01689
2010-01-11,0.01739,0.01803
2010-01-12,0.01094,0.01096
2010-01-13,0.01070,0.01211
2010-01-14,0.01039,0.01047
2010-01-15,0.00413,0.00396
2010-01-18,0.00740,0.00502
2010-01-19,0.00848,0.01169
2010-01-20,0.00034,0.00792
2010-01-21,-0.01143,-0.00545
2010-01-22,-0.01945,-0.01721
2010-01-25,-0.02146,-0.01334
2010-01-26,-0.02167,-0.01490
2010-01-27,-0.02605,-0.01462
2010-01-28,-0.03050,-0.02183
2010-01-29,-0.03838,-0.02926
2010-02-01,-0.02664,-0.01903
2010-02-02,-0.01966,-0.01183
2010-02-03,-0.02135,-0.01432
2010-02-04,-0.03894,-0.03427
2010-02-05,-0.04028,-0.03457
2010-02-08,-0.04422,-0.03994
2010-02-09,-0.03736,-0.03105
2010-02-10,-0.03529,-0.03395
2010-02-11,-0.02826,-0.03077
2010-02-12,-0.02661,-0.03176
2010-02-15,-0.02661,-0.03176
2010-02-16,-0.01898,-0.02294
2010-02-17,-0.01312,-0.01954
2010-02-18,-0.00938,-0.01637
2010-02-19,-0.00913,-0.01648
2010-02-22,-0.01096,-0.01661
2010-02-23,-0.01719,-0.01985
2010-02-24,-0.01782,-0.01703
2010-02-25,-0.01554,-0.01358
2010-02-26,-0.01266,-0.01414
2010-03-01,-0.00486,-0.01022
2010-03-02,0.00208,-0.00796
2010-03-03,0.00540,-0.00749
2010-03-04,0.00317,-0.00785
2010-03-05,0.01369,0.00324
2010-03-08,0.01446,0.00113
2010-03-09,0.01269,-0.00028
2010-03-10,0.01555,0.00273
2010-03-11,0.01651,0.00407
2010-03-12,0.01836,0.00298
2010-03-15,0.01666,0.00115
2010-03-16,0.02277,0.00623
2010-03-17,0.02498,0.00762
2010-03-18,0.02123,0.00515
2010-03-19,0.01724,0.00066
2010-03-22,0.01761,0.00467
2010-03-23,0.02266,0.00932
2010-03-24,0.01855,0.00666
2010-03-25,0.01974,0.00463
2010-03-26,0.02132,0.00793
2010-03-29,0.02579,0.01038
2010-03-30,0.02620,0.00973
2010-03-31,0.02620,0.00700
2010-04-01,0.03766,0.01249
2010-04-02,0.03766,0.01249
2010-04-05,0.04078,0.01376
2010-04-06,0.04013,0.01337
2010-04-07,0.03724,0.01122
2010-04-08,0.03468,0.01104
2010-04-09,0.04205,0.01712
2010-04-12,0.04102,0.01689
2010-04-13,0.03696,0.01548
2010-04-14,0.04517,0.02258
2010-04-15,0.04668,0.02493
2010-04-16,0.03400,0.01636
2010-04-19,0.03315,0.01655
2010-04-20,0.03661,0.01358
2010-04-21,0.03722,0.01341
2010-04-22,0.03562,0.01563
2010-04-23,0.04226,0.02141
2010-04-26,0.04745,0.02208
2010-04-27,0.03408,0.01143
2010-04-28,0.02611,0.00716
2010-04-29,0.03599,0.01535
2010-04-30,0.03599,0.01183
2010-05-03,0.03500,0.01450
2010-05-04,0.01878,0.00285
2010-05-05,0.00729,-0.00433
2010-05-06,-0.00004,-0.01249
2010-05-07,-0.01760,-0.02775
2010-05-10,0.01211,-0.00727
2010-05-11,0.01453,-0.01090
2010-05-12,0.02889,0.00025
2010-05-13,0.02568,-0.00647
2010-05-14,0.01171,-0.01399
2010-05-17,-0.00232,-0.01813
2010-05-18,-0.00315,-0.02577
2010-05-19,-0.01595,-0.02678
2010-05-20,-0.03683,-0.04026
2010-05-21,-0.03139,-0.03334
2010-05-24,-0.03139,-0.03334
2010-05-25,-0.03659,-0.03707
2010-05-26,-0.03184,-0.03737
2010-05-27,-0.01149,-0.02221
2010-05-28,-0.01503,-0.02878
2010-05-31,-0.01009,-0.02971
2010-06-01,-0.02207,-0.03715
2010-06-02,-0.01031,-0.02837
2010-06-03,-0.00483,-0.02480
2010-06-04,-0.02353,-0.03796
2010-06-07,-0.03176,-0.04661
2010-06-08,-0.03171,-0.04718
2010-06-09,-0.03334,-0.05043
2010-06-10,-0.01939,-0.03735
2010-06-11,-0.01408,-0.03330
2010-06-14,-0.01141,-0.03298
2010-06-15,0.00472,-0.01962
2010-06-16,0.00760,-0.02042
2010-06-17,0.00963,-0.01760
2010-06-18,0.00940,-0.02035
2010-06-21,0.01268,-0.01945
2010-06-22,0.00216,-0.02799
2010-06-23,-0.00063,-0.02354
2010-06-24,-0.01219,-0.03324
2010-06-25,-0.01174,-0.03291
2010-06-28,-0.01673,-0.03634
2010-06-29,-0.04494,-0.05182
2010-06-30,-0.04128,-0.05196
2010-07-01,-0.04128,-0.05196
2010-07-02,-0.05189,-0.05784
2010-07-05,-0.05541,-0.05876
2010-07-06,-0.05928,-0.05551
2010-07-07,-0.05515,-0.04118
2010-07-08,-0.05984,-0.03840
2010-07-09,-0.05584,-0.03661
2010-07-12,-0.05678,-0.03556
2010-07-13,-0.05657,-0.02748
2010-07-14,-0.05632,-0.02696
2010-07-15,-0.05226,-0.02200
2010-07-16,-0.05292,-0.03228
2010-07-19,-0.05804,-0.03086
2010-07-20,-0.05573,-0.02947
2010-07-21,-0.05583,-0.03506
2010-07-22,-0.05175,-0.02407
2010-07-23,-0.05159,-0.01900
2010-07-26,-0.05453,-0.01582
2010-07-27,-0.06007,-0.01638
2010-07-28,-0.05675,-0.01877
2010-07-29,-0.05390,-0.02000
2010-07-30,-0.04995,-0.02327
2010-08-02,-0.04995,-0.02327
2010-08-03,-0.04520,-0.01311
2010-08-04,-0.03902,-0.01277
2010-08-05,-0.03831,-0.01488
2010-08-06,-0.03186,-0.01070
2010-08-09,-0.03068,-0.00750
2010-08-10,-0.02920,-0.00981
2010-08-11,-0.03105,-0.02569
2010-08-12,-0.02388,-0.03050
2010-08-13,-0.02382,-0.03245
