Date,Fund,TD Balanced Growth Fund
2002-03-04,-0.001,0.013
2002-03-05,-0.002,0.012
2002-03-06,0.000,0.021
2002-03-07,-0.007,0.020
2002-03-08,-0.013,0.019
2002-03-11,-0.011,0.018
2002-03-12,-0.010,0.015
2002-03-13,-0.009,0.013
2002-03-14,-0.013,0.012
2002-03-15,-0.013,0.016
2002-03-18,-0.010,0.018
2002-03-19,-0.010,0.018
2002-03-20,-0.011,0.011
2002-03-21,-0.013,0.010
2002-03-22,-0.010,0.007
2002-03-25,-0.006,-0.001
2002-03-26,-0.005,0.003
2002-03-27,-0.000,0.009
2002-03-28,-0.002,0.012
2002-04-01,0.002,0.012
2002-04-02,0.001,0.010
2002-04-03,-0.010,0.005
2002-04-04,-0.011,0.001
2002-04-05,-0.014,-0.000
2002-04-08,-0.016,-0.003
2002-04-09,-0.020,-0.005
2002-04-10,-0.009,-0.000
2002-04-11,-0.013,-0.012
2002-04-12,-0.009,-0.008
2002-04-15,-0.010,-0.005
2002-04-16,-0.010,0.005
2002-04-17,-0.000,0.004
2002-04-18,-0.001,-0.000
2002-04-19,0.004,0.003
2002-04-22,0.001,-0.004
2002-04-23,0.002,-0.009
2002-04-24,0.004,-0.010
2002-04-25,0.004,-0.012
2002-04-26,0.016,-0.018
2002-04-29,0.014,-0.020
2002-04-30,0.007,-0.014
2002-05-01,0.011,-0.013
2002-05-02,0.012,-0.013
2002-05-03,0.019,-0.014
2002-05-06,0.025,-0.020
2002-05-07,0.023,-0.022
2002-05-08,0.025,-0.009
2002-05-09,0.027,-0.017
2002-05-10,0.031,-0.024
2002-05-13,0.044,-0.019
2002-05-14,0.031,-0.013
2002-05-15,0.030,-0.014
2002-05-16,0.035,-0.011
2002-05-17,0.041,-0.012
2002-05-21,0.065,-0.019
2002-05-22,0.068,-0.020
2002-05-23,0.085,-0.015
2002-05-24,0.085,-0.020
2002-05-27,0.080,-0.019
2002-05-28,0.089,-0.021
2002-05-29,0.088,-0.024
2002-05-30,0.074,-0.026
2002-05-31,0.079,-0.023
2002-06-03,0.085,-0.029
2002-06-04,0.084,-0.031
2002-06-05,0.068,-0.030
2002-06-06,0.071,-0.037
2002-06-07,0.058,-0.038
2002-06-10,0.038,-0.038
2002-06-11,0.046,-0.042
2002-06-12,0.038,-0.044
2002-06-13,0.027,-0.048
2002-06-14,0.036,-0.048
2002-06-17,0.029,-0.039
2002-06-18,0.038,-0.041
2002-06-19,0.034,-0.049
2002-06-20,0.046,-0.055
2002-06-21,0.045,-0.062
2002-06-24,0.049,-0.064
2002-06-25,0.042,-0.066
2002-06-26,0.034,-0.072
2002-06-27,0.026,-0.067
2002-06-28,0.026,-0.060
2002-07-02,0.020,-0.076
2002-07-03,0.017,-0.073
2002-07-04,0.014,-0.072
2002-07-05,0.006,-0.063
2002-07-08,0.018,-0.066
2002-07-09,0.029,-0.072
2002-07-10,0.033,-0.082
2002-07-11,0.031,-0.085
2002-07-12,0.031,-0.086
2002-07-15,0.028,-0.094
2002-07-16,0.021,-0.096
2002-07-17,0.015,-0.093
2002-07-18,0.016,-0.093
2002-07-19,0.021,-0.111
2002-07-22,0.014,-0.120
2002-07-23,-0.009,-0.134
2002-07-24,-0.009,-0.115
2002-07-25,-0.017,-0.121
2002-07-26,-0.035,-0.117
2002-07-29,-0.029,-0.102
2002-07-30,-0.018,-0.101
2002-07-31,-0.017,-0.094
2002-08-01,-0.016,-0.104
2002-08-02,-0.005,-0.107
2002-08-06,-0.009,-0.110
2002-08-07,-0.002,-0.109
2002-08-08,-0.005,-0.095
2002-08-09,0.005,-0.093
2002-08-12,0.006,-0.098
2002-08-13,0.005,-0.104
2002-08-14,-0.000,-0.098
2002-08-15,0.003,-0.097
2002-08-16,-0.000,-0.096
2002-08-19,-0.008,-0.082
2002-08-20,-0.002,-0.083
2002-08-21,-0.010,-0.082
2002-08-22,-0.009,-0.078
2002-08-23,-0.012,-0.088
2002-08-26,-0.003,-0.081
2002-08-27,0.006,-0.087
2002-08-28,0.008,-0.095
2002-08-29,0.019,-0.093
2002-08-30,0.018,-0.091
2002-09-03,0.024,-0.108
2002-09-04,0.022,-0.100
2002-09-05,0.032,-0.103
2002-09-06,0.028,-0.101
2002-09-09,0.033,-0.098
2002-09-10,0.026,-0.093
2002-09-11,0.028,-0.088
2002-09-12,0.040,-0.099
2002-09-13,0.040,-0.101
2002-09-16,0.041,-0.102
2002-09-17,0.034,-0.112
2002-09-18,0.037,-0.117
2002-09-19,0.040,-0.129
2002-09-20,0.038,-0.128
2002-09-23,0.038,-0.137
2002-09-24,0.039,-0.140
2002-09-25,0.030,-0.133
2002-09-26,0.018,-0.128
2002-09-27,0.020,-0.135
2002-09-30,0.020,-0.134
2002-10-01,0.014,-0.129
