Date,Fund,benchmark
2008-09-02,-0.01590,-0.01197
2008-09-03,-0.02210,-0.02068
2008-09-04,-0.03296,-0.04048
2008-09-05,-0.03292,-0.04128
2008-09-08,-0.04003,-0.03552
2008-09-09,-0.05766,-0.05939
2008-09-10,-0.04527,-0.04878
2008-09-11,-0.04187,-0.03829
2008-09-12,-0.03811,-0.03960
2008-09-15,-0.05244,-0.06705
2008-09-16,-0.05391,-0.06100
2008-09-17,-0.06468,-0.09050
2008-09-18,-0.06046,-0.07508
2008-09-19,-0.03527,-0.04646
2008-09-22,-0.04313,-0.07441
2008-09-23,-0.04806,-0.08263
2008-09-24,-0.04768,-0.08171
2008-09-25,-0.04774,-0.07423
2008-09-26,-0.06232,-0.08353
2008-09-29,-0.08655,-0.13606
2008-09-30,-0.07873,-0.09997
2008-10-01,-0.07591,-0.10339
2008-10-02,-0.07197,-0.13012
2008-10-03,-0.06878,-0.13575
2008-10-06,-0.06042,-0.15702
2008-10-07,-0.06338,-0.18293
2008-10-08,-0.06664,-0.18135
2008-10-09,-0.06752,-0.20965
2008-10-10,-0.07372,-0.21537
2008-10-13,-0.07372,-0.21537
2008-10-14,-0.07631,-0.16687
2008-10-15,-0.07386,-0.21105
2008-10-16,-0.07239,-0.19339
2008-10-17,-0.07284,-0.19386
2008-10-20,-0.07146,-0.15769
2008-10-21,-0.06936,-0.17390
2008-10-22,-0.06493,-0.19551
2008-10-23,-0.06518,-0.19051
2008-10-24,-0.06661,-0.20672
2008-10-27,-0.06547,-0.23241
2008-10-28,-0.06804,-0.18302
2008-10-29,-0.06957,-0.19511
2008-10-30,-0.06760,-0.17249
2008-10-31,-0.06947,-0.16918
2008-11-03,-0.06926,-0.17779
2008-11-04,-0.06673,-0.16208
2008-11-05,-0.06496,-0.18209
2008-11-06,-0.06336,-0.20233
2008-11-07,-0.06286,-0.18883
2008-11-10,-0.06313,-0.18823
2008-11-11,-0.06305,-0.20047
2008-11-12,-0.05950,-0.21966
2008-11-13,-0.06378,-0.19254
2008-11-14,-0.06036,-0.21130
2008-11-17,-0.05775,-0.22454
2008-11-18,-0.05747,-0.21835
2008-11-19,-0.05631,-0.24220
2008-11-20,-0.04965,-0.26871
2008-11-21,-0.05342,-0.24421
2008-11-24,-0.05397,-0.22772
2008-11-25,-0.04910,-0.22565
2008-11-26,-0.04715,-0.20885
2008-11-27,-0.04683,-0.20729
2008-11-28,-0.04547,-0.19444
2008-12-01,-0.03627,-0.24146
2008-12-02,-0.03733,-0.22442
2008-12-03,-0.03808,-0.21811
2008-12-04,-0.03339,-0.22721
2008-12-05,-0.03410,-0.21637
2008-12-08,-0.03456,-0.19911
2008-12-09,-0.03298,-0.20727
2008-12-10,-0.03307,-0.19659
2008-12-11,-0.03127,-0.21821
2008-12-12,-0.03257,-0.21015
2008-12-15,-0.03119,-0.21954
2008-12-16,-0.02462,-0.20385
2008-12-17,-0.02088,-0.20817
2008-12-18,-0.01528,-0.21843
2008-12-19,-0.01624,-0.21805
2008-12-22,-0.01604,-0.23052
2008-12-23,-0.01633,-0.23202
2008-12-24,-0.01626,-0.22997
2008-12-25,-0.01626,-0.22997
2008-12-26,-0.01626,-0.22997
2008-12-29,-0.00769,-0.22000
2008-12-30,-0.00977,-0.20741
2008-12-31,-0.00977,-0.20163
2009-01-01,-0.00977,-0.20163
2009-01-02,-0.01676,-0.18872
2009-01-05,-0.01908,-0.19652
2009-01-06,-0.01885,-0.19311
2009-01-07,-0.02008,-0.20611
2009-01-08,-0.01869,-0.20591
2009-01-09,-0.01432,-0.21403
2009-01-12,-0.01150,-0.22046
2009-01-13,-0.00973,-0.21569
2009-01-14,-0.00180,-0.22619
2009-01-15,-0.00383,-0.21943
2009-01-16,-0.00696,-0.21696
2009-01-19,-0.01024,-0.22027
2009-01-20,-0.00836,-0.24108
2009-01-21,-0.01157,-0.22490
2009-01-22,-0.01361,-0.23537
2009-01-23,-0.01692,-0.23737
2009-01-26,-0.02094,-0.23593
2009-01-27,-0.01952,-0.22926
2009-01-28,-0.02237,-0.21634
2009-01-29,-0.02669,-0.22972
2009-01-30,-0.02587,-0.23557
